,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,67,33,7,0.0,0.5,105,0,0,0,0,1,0,0,0,0
1,4,72,36,0,4.0,1.5,95,0,5,3,5,4,5,3,1,1
2,8,74,37,2,8.0,1.5,105,1,7,4,7,5,2,1,1,2
3,12,71,35,11,12.0,0.5,95,1,4,2,4,3,2,1,-1,1
4,16,67,33,7,16.0,0.5,105,2,0,0,0,1,5,3,-1,0
5,20,72,36,0,20.0,2.0,95,2,5,3,5,4,5,3,1,1
6,23,74,37,2,24.0,1.5,105,3,7,4,7,5,-5,-3,1,2
7,27,69,34,9,28.0,0.67,95,3,2,1,2,2,-2,-1,-1,1
8,33,67,33,7,32.0,0.5,105,4,0,0,0,1,1,1,-1,0
9,36,72,36,0,36.0,1.5,95,4,5,3,5,4,1,1,1,1
10,40,74,37,2,40.0,1.5,105,5,7,4,7,5,7,4,1,2
11,44,71,35,11,44.0,0.5,95,5,4,2,4,3,2,1,-1,1
12,47,72,36,0,48.0,2.0,105,6,5,3,5,4,3,2,1,2
13,50,72,36,0,52.0,1.5,95,6,5,3,5,4,1,1,0,2
14,55,74,37,2,56.0,1.5,105,7,7,4,7,5,-2,-1,1,3
15,60,69,34,9,60.0,0.67,95,7,2,1,2,2,-2,-1,-1,2
16,64,67,33,7,64.0,2.0,105,8,0,0,0,1,0,0,-1,1
17,67,79,40,7,68.0,2.0,95,8,12,7,0,1,5,3,1,2
18,70,76,38,4,72.0,1.5,105,9,9,5,9,6,2,1,-1,1
19,75,74,37,2,76.0,0.5,95,9,7,4,7,5,0,0,-1,0
20,78,67,33,7,80.0,2.0,105,10,0,0,0,1,-12,-7,-1,-1
21,81,79,40,7,84.0,3.5,95,10,12,7,0,1,5,3,1,0
22,83,79,40,7,88.0,0.67,105,11,12,7,0,1,5,3,0,0
23,88,69,34,9,92.0,2.0,95,11,2,1,2,2,-2,-1,-1,-1
24,91,67,33,7,96.0,0.67,105,12,0,0,0,1,5,3,-1,-2
25,97,79,40,7,100.0,1.5,95,12,12,7,0,1,5,3,1,-1
26,101,76,38,4,104.0,1.5,105,13,9,5,9,6,0,0,-1,-2
27,105,74,37,2,108.0,0.5,95,13,7,4,7,5,0,0,-1,-3
28,109,83,42,11,112.0,1.5,105,14,16,9,4,3,2,1,1,-2
29,113,79,40,7,116.0,0.67,95,14,12,7,0,1,1,1,-1,-3
30,118,79,40,7,120.0,0.67,105,15,12,7,0,1,8,5,0,-3
31,123,69,34,9,124.0,0.67,95,15,2,1,2,2,-2,-1,-1,-4
32,128,67,33,7,128.0,1.0,95,15,0,0,0,1,-4,-2,-1,-5
33,133,74,37,2,135.0,1.0,105,16,7,4,7,5,-2,-1,1,-4
34,137,71,35,11,139.0,1.0,95,16,4,2,4,3,2,1,-1,-5
35,141,67,33,7,143.0,1.0,105,17,0,0,0,1,0,0,-1,-6
36,145,72,36,0,147.0,1.0,95,17,5,3,5,4,1,1,1,-5
37,149,74,37,2,151.0,1.0,105,18,7,4,7,5,-2,-1,1,-4
38,153,69,34,9,155.0,0.67,95,18,2,1,2,2,-2,-1,-1,-5
39,157,67,33,7,159.0,1.0,105,19,0,0,0,1,0,0,-1,-6
40,161,72,36,0,163.0,1.0,95,19,5,3,5,4,1,1,1,-5
41,165,74,37,2,167.0,0.5,105,20,7,4,7,5,0,0,1,-4
42,169,71,35,11,171.0,1.0,95,20,4,2,4,3,2,1,-1,-5
43,173,72,36,0,175.0,1.0,105,21,5,3,5,4,5,3,1,-4
44,176,72,36,0,179.0,1.0,95,21,5,3,5,4,1,1,0,-4
45,180,74,37,2,183.0,1.0,105,22,7,4,7,5,-2,-1,1,-3
46,184,69,34,9,187.0,0.67,95,22,2,1,2,2,-2,-1,-1,-4
47,188,67,33,7,191.0,2.0,105,23,0,0,0,1,0,0,-1,-5
48,191,79,40,7,195.0,1.0,95,23,12,7,0,1,5,3,1,-4
49,194,76,38,4,199.0,1.0,105,24,9,5,9,6,0,0,-1,-5
50,198,74,37,2,203.0,0.5,95,24,7,4,7,5,0,0,-1,-6
51,201,67,33,7,207.0,2.0,105,25,0,0,0,1,-12,-7,-1,-7
52,204,79,40,7,211.0,1.0,95,25,12,7,0,1,5,3,1,-6
53,210,79,40,7,215.0,0.5,105,26,12,7,0,1,5,3,0,-6
54,215,69,34,9,219.0,0.67,95,26,2,1,2,2,-2,-1,-1,-7
55,219,69,34,9,223.0,0.5,105,27,2,1,2,2,2,1,0,-7
56,223,79,40,7,227.0,1.0,95,27,12,7,0,1,5,3,1,-6
57,226,76,38,4,231.0,1.0,105,28,9,5,9,6,0,0,-1,-7
58,230,74,37,2,235.0,1.0,95,28,7,4,7,5,0,0,-1,-8
59,234,83,42,11,239.0,0.67,105,29,16,9,4,3,2,1,1,-7
60,239,79,40,7,243.0,0.5,95,29,12,7,0,1,1,1,-1,-8
61,244,79,40,7,247.0,0.5,105,30,12,7,0,1,5,3,0,-8
62,249,69,34,9,251.0,0.67,95,30,2,1,2,2,-2,-1,-1,-9
