,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,66,32,6,0.0,1.0,105,0,-1,-1,11,7,0,0,0,0
1,3,73,36,1,3.0,1.0,95,0,6,3,6,4,11,6,1,1
2,6,74,37,2,6.0,1.0,105,1,7,4,7,5,5,3,1,2
3,9,76,38,4,9.0,1.0,95,1,9,5,9,6,2,1,1,3
4,12,81,41,9,12.0,1.0,105,2,14,8,2,2,2,1,1,4
5,15,73,36,1,15.0,1.0,95,2,6,3,6,4,-1,-1,-1,3
6,18,67,33,7,18.0,1.0,105,3,0,0,0,1,-2,-1,-1,2
7,21,69,34,9,21.0,1.0,95,3,2,1,2,2,2,1,1,3
8,24,66,32,6,24.0,1.0,105,4,-1,-1,11,7,4,2,-1,2
9,27,73,36,1,27.0,1.0,95,4,6,3,6,4,11,6,1,3
10,30,74,37,2,30.0,1.0,105,5,7,4,7,5,5,3,1,4
11,33,76,38,4,33.0,1.0,95,5,9,5,9,6,2,1,1,5
12,36,81,41,9,36.0,1.0,105,6,14,8,2,2,2,1,1,6
13,39,73,36,1,39.0,1.0,95,6,6,3,6,4,-1,-1,-1,5
14,42,69,34,9,42.0,1.0,105,7,2,1,2,2,2,1,-1,4
15,45,74,37,2,45.0,3.0,95,7,7,4,7,5,1,1,1,5
16,46,66,32,6,48.0,1.0,105,8,-1,-1,11,7,-8,-5,-1,4
17,49,73,36,1,51.0,1.0,95,8,6,3,6,4,11,6,1,5
18,52,74,37,2,54.0,1.0,105,9,7,4,7,5,5,3,1,6
19,55,76,38,4,57.0,1.0,95,9,9,5,9,6,2,1,1,7
20,58,81,41,9,60.0,1.0,105,10,14,8,2,2,2,1,1,8
21,61,73,36,1,63.0,1.0,95,10,6,3,6,4,-1,-1,-1,7
22,64,67,33,7,66.0,1.0,105,11,0,0,0,1,-2,-1,-1,6
23,67,69,34,9,69.0,1.0,95,11,2,1,2,2,2,1,1,7
24,70,66,32,6,72.0,1.0,105,12,-1,-1,11,7,4,2,-1,6
25,73,73,36,1,75.0,1.0,95,12,6,3,6,4,11,6,1,7
26,76,74,37,2,78.0,1.0,105,13,7,4,7,5,5,3,1,8
27,79,76,38,4,81.0,1.0,95,13,9,5,9,6,2,1,1,9
28,82,81,41,9,84.0,1.0,105,14,14,8,2,2,2,1,1,10
29,85,73,36,1,87.0,1.0,95,14,6,3,6,4,-1,-1,-1,9
30,88,69,34,9,90.0,1.0,105,15,2,1,2,2,2,1,-1,8
31,91,74,37,2,93.0,2.0,95,15,7,4,7,5,1,1,1,9
32,93,74,37,2,96.0,1.0,105,16,7,4,7,5,5,3,0,9
33,96,74,37,2,99.0,1.0,95,16,7,4,7,5,-7,-4,0,9
34,99,74,37,2,102.0,1.0,105,17,7,4,7,5,-7,-4,0,9
35,102,81,41,9,105.0,1.0,95,17,14,8,2,2,0,0,1,10
36,105,72,36,0,108.0,1.0,105,18,5,3,5,4,-2,-1,-1,9
37,108,72,36,0,111.0,1.0,95,18,5,3,5,4,-4,-2,0,9
38,111,72,36,0,114.0,1.0,105,19,5,3,5,4,-4,-2,0,9
39,114,79,40,7,117.0,1.0,95,19,12,7,0,1,0,0,1,10
40,117,78,39,6,120.0,1.0,105,20,11,6,11,7,2,1,-1,9
41,120,79,40,7,123.0,1.0,95,20,12,7,0,1,1,1,1,10
42,123,81,41,9,126.0,1.0,105,21,14,8,2,2,2,1,1,11
43,126,83,42,11,129.0,1.0,95,21,16,9,4,3,2,1,1,12
44,129,78,39,6,132.0,1.0,105,22,11,6,11,7,-1,-1,-1,11
45,132,73,36,1,135.0,1.0,95,22,6,3,6,4,-1,-1,-1,10
46,135,69,34,9,138.0,1.0,105,23,2,1,2,2,2,1,-1,9
47,138,74,37,2,141.0,3.0,95,23,7,4,7,5,1,1,1,10
48,139,66,32,6,144.0,1.0,105,24,-1,-1,11,7,-8,-5,-1,9
49,142,73,36,1,147.0,1.0,95,24,6,3,6,4,11,6,1,10
50,145,74,37,2,150.0,1.0,105,25,7,4,7,5,5,3,1,11
51,148,76,38,4,153.0,1.0,95,25,9,5,9,6,2,1,1,12
52,151,81,41,9,156.0,1.0,105,26,14,8,2,2,2,1,1,13
53,154,73,36,1,159.0,1.0,95,26,6,3,6,4,-1,-1,-1,12
54,157,67,33,7,162.0,1.0,105,27,0,0,0,1,-2,-1,-1,11
55,160,69,34,9,165.0,1.0,95,27,2,1,2,2,2,1,1,12
56,163,66,32,6,168.0,1.0,105,28,-1,-1,11,7,4,2,-1,11
57,166,73,36,1,171.0,1.0,95,28,6,3,6,4,11,6,1,12
58,169,74,37,2,174.0,1.0,105,29,7,4,7,5,5,3,1,13
59,172,76,38,4,177.0,1.0,95,29,9,5,9,6,2,1,1,14
60,175,81,41,9,180.0,1.0,105,30,14,8,2,2,2,1,1,15
61,178,73,36,1,183.0,1.0,95,30,6,3,6,4,-1,-1,-1,14
62,181,74,37,2,186.0,1.0,105,31,7,4,7,5,7,4,1,15
63,184,74,37,2,189.0,1.0,95,31,7,4,7,5,-7,-4,0,15
64,187,74,37,2,192.0,1.0,105,32,7,4,7,5,-7,-4,0,15
65,190,81,41,9,195.0,1.0,95,32,14,8,2,2,0,0,1,16
66,193,72,36,0,198.0,1.0,105,33,5,3,5,4,-2,-1,-1,15
67,196,72,36,0,201.0,1.0,95,33,5,3,5,4,-4,-2,0,15
68,199,72,36,0,204.0,1.0,105,34,5,3,5,4,-4,-2,0,15
69,202,79,40,7,207.0,1.0,95,34,12,7,0,1,0,0,1,16
70,205,78,39,6,210.0,1.0,105,35,11,6,11,7,2,1,-1,15
71,208,79,40,7,213.0,1.0,95,35,12,7,0,1,1,1,1,16
72,211,81,41,9,216.0,1.0,105,36,14,8,2,2,2,1,1,17
73,214,83,42,11,219.0,1.0,95,36,16,9,4,3,2,1,1,18
74,217,78,39,6,222.0,1.0,105,37,11,6,11,7,-1,-1,-1,17
75,220,73,36,1,225.0,1.0,95,37,6,3,6,4,-1,-1,-1,16
76,223,69,34,9,228.0,1.0,105,38,2,1,2,2,2,1,-1,15
77,226,74,37,2,231.0,3.0,95,38,7,4,7,5,1,1,1,16
