,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,62,30,2,0.0,3.0,105,0,0,0,0,1,0,0,0,0
1,2,64,31,4,4.0,1.0,95,0,2,1,2,2,-2,-1,1,1
2,6,62,30,2,8.0,1.0,105,1,0,0,0,1,-2,-1,-1,0
3,10,64,31,4,12.0,1.0,95,1,2,1,2,2,2,1,1,1
4,14,61,29,1,16.0,1.0,105,2,-1,-1,11,7,4,2,-1,0
5,18,67,33,7,20.0,1.0,95,2,5,3,5,4,3,2,1,1
6,22,73,36,1,24.0,1.0,105,3,11,6,11,7,-1,-1,1,2
7,26,74,37,2,28.0,1.0,95,3,12,7,0,1,1,1,1,3
8,30,62,30,2,32.0,3.0,105,4,0,0,0,1,-4,-2,-1,2
9,32,64,31,4,36.0,1.0,95,4,2,1,2,2,-2,-1,1,3
10,36,62,30,2,40.0,1.0,105,5,0,0,0,1,-2,-1,-1,2
11,40,64,31,4,44.0,1.0,95,5,2,1,2,2,2,1,1,3
12,44,69,34,9,48.0,1.0,105,6,7,4,7,5,-2,-1,1,4
13,48,74,37,2,52.0,1.0,95,6,12,7,0,1,1,1,1,5
14,52,66,32,6,56.0,1.0,105,7,4,2,4,3,-1,-1,-1,4
15,56,62,30,2,60.0,2.0,95,7,0,0,0,1,-7,-4,-1,3
16,60,62,30,2,64.0,3.0,105,8,0,0,0,1,1,1,0,3
17,62,64,31,4,68.0,1.0,95,8,2,1,2,2,-2,-1,1,4
18,66,62,30,2,72.0,1.0,105,9,0,0,0,1,-2,-1,-1,3
19,70,64,31,4,76.0,1.0,95,9,2,1,2,2,2,1,1,4
20,74,61,29,1,80.0,1.0,105,10,-1,-1,11,7,4,2,-1,3
21,78,67,33,7,84.0,1.0,95,10,5,3,5,4,3,2,1,4
22,82,73,36,1,88.0,1.0,105,11,11,6,11,7,-1,-1,1,5
23,86,74,37,2,92.0,1.0,95,11,12,7,0,1,1,1,1,6
24,90,62,30,2,96.0,3.0,105,12,0,0,0,1,-4,-2,-1,5
25,92,64,31,4,100.0,1.0,95,12,2,1,2,2,-2,-1,1,6
26,96,62,30,2,104.0,1.0,105,13,0,0,0,1,-2,-1,-1,5
27,100,64,31,4,108.0,1.0,95,13,2,1,2,2,2,1,1,6
28,104,69,34,9,112.0,1.0,105,14,7,4,7,5,-2,-1,1,7
29,108,74,37,2,116.0,1.0,95,14,12,7,0,1,1,1,1,8
30,112,66,32,6,120.0,1.0,105,15,4,2,4,3,-1,-1,-1,7
31,116,62,30,2,124.0,3.0,95,15,0,0,0,1,-7,-4,-1,6
32,118,78,39,6,128.0,1.0,105,16,16,9,4,3,2,1,1,7
33,122,74,37,2,132.0,2.0,95,16,12,7,0,1,1,1,-1,6
34,125,75,38,3,136.0,1.0,105,17,13,8,1,2,-3,-1,1,7
35,129,76,38,4,140.0,1.0,95,17,14,8,2,2,-2,-1,1,8
36,133,69,34,9,144.0,2.0,105,18,7,4,7,5,-2,-1,-1,7
37,136,71,35,11,148.0,1.0,95,18,9,5,9,6,2,1,1,8
38,140,69,34,9,152.0,1.0,105,19,7,4,7,5,-2,-1,-1,7
39,144,71,35,11,156.0,0.5,95,19,9,5,9,6,2,1,1,8
40,149,78,39,6,160.0,1.0,105,20,16,9,4,3,-1,-1,1,9
41,153,74,37,2,164.0,2.0,95,20,12,7,0,1,1,1,-1,8
42,156,75,38,3,168.0,1.0,105,21,13,8,1,2,-3,-1,1,9
43,160,76,38,4,172.0,1.0,95,21,14,8,2,2,-2,-1,1,10
44,164,69,34,9,176.0,1.0,105,22,7,4,7,5,-2,-1,-1,9
45,168,78,39,6,180.0,0.5,95,22,16,9,4,3,2,1,1,10
46,173,78,39,6,184.0,1.0,105,23,16,9,4,3,-1,-1,0,10
47,177,74,37,2,188.0,3.0,95,23,12,7,0,1,1,1,-1,9
48,179,78,39,6,192.0,1.0,105,24,16,9,4,3,2,1,1,10
49,183,74,37,2,196.0,2.0,95,24,12,7,0,1,1,1,-1,9
50,186,75,38,3,200.0,1.0,105,25,13,8,1,2,-3,-1,1,10
51,190,76,38,4,204.0,1.0,95,25,14,8,2,2,-2,-1,1,11
52,194,69,34,9,208.0,2.0,105,26,7,4,7,5,-2,-1,-1,10
53,197,71,35,11,212.0,1.0,95,26,9,5,9,6,2,1,1,11
54,201,69,34,9,216.0,1.0,105,27,7,4,7,5,-2,-1,-1,10
55,205,71,35,11,220.0,0.5,95,27,9,5,9,6,2,1,1,11
56,210,78,39,6,224.0,1.0,105,28,16,9,4,3,-1,-1,1,12
57,214,74,37,2,228.0,2.0,95,28,12,7,0,1,1,1,-1,11
58,217,75,38,3,232.0,1.0,105,29,13,8,1,2,-3,-1,1,12
59,221,76,38,4,236.0,1.0,95,29,14,8,2,2,-2,-1,1,13
60,225,69,34,9,240.0,1.0,105,30,7,4,7,5,-2,-1,-1,12
61,229,78,39,6,244.0,0.5,95,30,16,9,4,3,2,1,1,13
62,234,78,39,6,248.0,1.0,105,31,16,9,4,3,-1,-1,0,13
63,238,74,37,2,252.0,3.0,95,31,12,7,0,1,1,1,-1,12
64,240,69,34,9,256.0,2.0,105,32,7,4,7,5,-2,-1,-1,11
65,243,71,35,11,260.0,1.0,95,32,9,5,9,6,2,1,1,12
66,247,66,32,6,264.0,1.0,105,33,4,2,4,3,-1,-1,-1,11
67,251,67,33,7,268.0,1.0,95,33,5,3,5,4,1,1,1,12
68,255,64,31,4,272.0,2.0,105,34,2,1,2,2,2,1,-1,11
69,258,67,33,7,276.0,1.0,95,34,5,3,5,4,1,1,1,12
70,262,67,33,7,280.0,1.0,105,35,5,3,5,4,1,1,0,12
71,266,74,37,2,284.0,1.0,95,35,12,7,0,1,1,1,1,13
72,270,62,30,2,288.0,3.0,105,36,0,0,0,1,-4,-2,-1,12
73,272,64,31,4,292.0,1.0,95,36,2,1,2,2,-2,-1,1,13
74,276,62,30,2,296.0,1.0,105,37,0,0,0,1,-2,-1,-1,12
75,280,64,31,4,300.0,1.0,95,37,2,1,2,2,2,1,1,13
76,284,69,34,9,304.0,1.0,105,38,7,4,7,5,-2,-1,1,14
77,288,74,37,2,308.0,1.0,95,38,12,7,0,1,1,1,1,15
78,292,66,32,6,312.0,1.0,105,39,4,2,4,3,-1,-1,-1,14
79,296,62,30,2,316.0,2.0,95,39,0,0,0,1,-7,-4,-1,13
