,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,74,37,2,0.0,1.0,105,0,12,7,0,1,0,0,0,0
1,3,69,34,9,4.0,1.0,95,0,7,4,7,5,3,2,-1,-1
2,7,74,37,2,8.0,1.0,105,1,12,7,0,1,8,5,1,0
3,11,69,34,9,12.0,2.0,95,1,7,4,7,5,3,2,-1,-1
4,15,74,37,2,16.0,1.0,105,2,12,7,0,1,1,1,1,0
5,18,69,34,9,20.0,1.0,95,2,7,4,7,5,3,2,-1,-1
6,22,62,30,2,24.0,1.0,105,3,0,0,0,1,-4,-2,-1,-2
7,26,71,35,11,28.0,3.0,95,3,9,5,9,6,2,1,1,-1
8,28,74,37,2,32.0,1.0,105,4,12,7,0,1,1,1,1,0
9,31,69,34,9,36.0,1.0,95,4,7,4,7,5,3,2,-1,-1
10,35,74,37,2,40.0,1.0,105,5,12,7,0,1,8,5,1,0
11,39,69,34,9,44.0,2.0,95,5,7,4,7,5,3,2,-1,-1
12,43,74,37,2,48.0,1.0,105,6,12,7,0,1,1,1,1,0
13,47,71,35,11,52.0,1.0,95,6,9,5,9,6,2,1,-1,-1
14,51,62,30,2,56.0,1.0,105,7,0,0,0,1,-2,-1,-1,-2
15,55,71,35,11,60.0,3.0,95,7,9,5,9,6,2,1,1,-1
16,57,74,37,2,64.0,2.0,105,8,12,7,0,1,1,1,1,0
17,60,76,38,4,68.0,1.0,95,8,14,8,2,2,2,1,1,1
18,64,74,37,2,72.0,2.0,105,9,12,7,0,1,-4,-2,-1,0
19,67,78,39,6,76.0,1.0,95,9,16,9,4,3,4,2,1,1
20,70,74,37,2,80.0,2.0,105,10,12,7,0,1,-7,-4,-1,0
21,73,76,38,4,84.0,1.0,95,10,14,8,2,2,2,1,1,1
22,77,71,35,11,88.0,1.0,105,11,9,5,9,6,2,1,-1,0
23,81,71,35,11,92.0,1.0,95,11,9,5,9,6,2,1,0,0
24,85,74,37,2,96.0,2.0,105,12,12,7,0,1,1,1,1,1
25,88,76,38,4,100.0,1.0,95,12,14,8,2,2,2,1,1,2
26,92,74,37,2,104.0,2.0,105,13,12,7,0,1,-4,-2,-1,1
27,95,78,39,6,108.0,1.0,95,13,16,9,4,3,4,2,1,2
28,98,83,42,11,112.0,1.0,105,14,21,12,9,6,2,1,1,3
29,102,79,40,7,116.0,1.0,95,14,17,10,5,4,1,1,-1,2
30,106,71,35,11,120.0,1.0,105,15,9,5,9,6,-3,-2,-1,1
31,110,71,35,11,124.0,3.0,95,15,9,5,9,6,2,1,0,1
