,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,66,32,6,2.0,1.0,105,0,4,2,4,3,0,0,0,0
1,6,66,32,6,6.0,1.0,95,0,4,2,4,3,-3,-2,0,0
2,10,66,32,6,10.0,1.0,105,1,4,2,4,3,-3,-2,0,0
3,14,71,35,11,14.0,1.0,95,1,9,5,9,6,2,1,1,1
4,18,66,32,6,18.0,1.0,105,2,4,2,4,3,-3,-2,-1,0
5,22,64,31,4,22.0,1.0,95,2,2,1,2,2,-2,-1,-1,-1
6,26,62,30,2,26.0,1.0,105,3,0,0,0,1,-4,-2,-1,-2
7,30,62,30,2,30.0,2.0,95,3,0,0,0,1,-9,-5,0,-2
8,33,66,32,6,34.0,1.0,105,4,4,2,4,3,-1,-1,1,-1
9,37,69,34,9,38.0,1.0,95,4,7,4,7,5,3,2,1,0
10,41,62,30,2,42.0,1.0,105,5,0,0,0,1,-7,-4,-1,-1
11,45,71,35,11,46.0,1.0,95,5,9,5,9,6,9,5,1,0
12,49,74,37,2,50.0,2.0,105,6,12,7,0,1,1,1,1,1
13,52,64,31,4,54.0,1.0,95,6,2,1,2,2,-2,-1,-1,0
14,56,62,30,2,58.0,1.0,105,7,0,0,0,1,-4,-2,-1,-1
15,60,74,37,2,62.0,2.0,95,7,12,7,0,1,3,2,1,0
16,63,66,32,6,66.0,1.0,105,8,4,2,4,3,-1,-1,-1,-1
17,67,66,32,6,70.0,1.0,95,8,4,2,4,3,-3,-2,0,-1
18,71,66,32,6,74.0,1.0,105,9,4,2,4,3,-3,-2,0,-1
19,75,71,35,11,78.0,1.0,95,9,9,5,9,6,2,1,1,0
20,79,66,32,6,82.0,1.0,105,10,4,2,4,3,-3,-2,-1,-1
21,83,64,31,4,86.0,1.0,95,10,2,1,2,2,-2,-1,-1,-2
22,87,62,30,2,90.0,1.0,105,11,0,0,0,1,-4,-2,-1,-3
23,91,62,30,2,94.0,2.0,95,11,0,0,0,1,-9,-5,0,-3
24,94,66,32,6,98.0,1.0,105,12,4,2,4,3,-1,-1,1,-2
25,98,69,34,9,102.0,1.0,95,12,7,4,7,5,3,2,1,-1
26,102,62,30,2,106.0,1.0,105,13,0,0,0,1,-7,-4,-1,-2
27,106,71,35,11,110.0,1.0,95,13,9,5,9,6,9,5,1,-1
28,110,74,37,2,114.0,2.0,105,14,12,7,0,1,1,1,1,0
29,113,64,31,4,118.0,1.0,95,14,2,1,2,2,-2,-1,-1,-1
30,117,62,30,2,122.0,1.0,105,15,0,0,0,1,-4,-2,-1,-2
31,121,74,37,2,126.0,2.0,95,15,12,7,0,1,3,2,1,-1
32,123,78,39,6,130.0,3.0,105,16,16,9,4,3,2,1,1,0
33,125,78,39,6,134.0,1.0,95,16,16,9,4,3,-3,-2,0,0
34,129,78,39,6,138.0,1.0,105,17,16,9,4,3,2,1,0,0
35,133,69,34,9,142.0,1.0,95,17,7,4,7,5,-2,-1,-1,-1
36,137,78,39,6,146.0,1.0,105,18,16,9,4,3,2,1,1,0
37,141,78,39,6,150.0,1.0,95,18,16,9,4,3,-3,-2,0,0
38,145,78,39,6,154.0,2.0,105,19,16,9,4,3,2,1,0,0
39,148,78,39,6,158.0,1.0,95,19,16,9,4,3,0,0,0,0
40,152,78,39,6,162.0,3.0,105,20,16,9,4,3,2,1,0,0
41,154,78,39,6,166.0,1.0,95,20,16,9,4,3,-3,-2,0,0
42,158,78,39,6,170.0,1.0,105,21,16,9,4,3,2,1,0,0
43,162,69,34,9,174.0,1.0,95,21,7,4,7,5,-2,-1,-1,-1
44,166,78,39,6,178.0,1.0,105,22,16,9,4,3,2,1,1,0
45,170,71,35,11,182.0,1.0,95,22,9,5,9,6,-3,-2,-1,-1
46,174,74,37,2,186.0,1.0,105,23,12,7,0,1,3,2,1,0
47,178,74,37,2,190.0,2.0,95,23,12,7,0,1,0,0,0,0
48,181,78,39,6,194.0,3.0,105,24,16,9,4,3,-1,-1,1,1
49,183,78,39,6,198.0,1.0,95,24,16,9,4,3,-3,-2,0,1
50,187,78,39,6,202.0,1.0,105,25,16,9,4,3,2,1,0,1
51,191,69,34,9,206.0,1.0,95,25,7,4,7,5,-2,-1,-1,0
52,195,78,39,6,210.0,1.0,105,26,16,9,4,3,2,1,1,1
53,199,78,39,6,214.0,1.0,95,26,16,9,4,3,-3,-2,0,1
54,203,78,39,6,218.0,2.0,105,27,16,9,4,3,2,1,0,1
55,206,78,39,6,222.0,1.0,95,27,16,9,4,3,0,0,0,1
56,210,78,39,6,226.0,3.0,105,28,16,9,4,3,2,1,0,1
57,212,78,39,6,230.0,1.0,95,28,16,9,4,3,-3,-2,0,1
58,216,78,39,6,234.0,1.0,105,29,16,9,4,3,2,1,0,1
59,220,69,34,9,238.0,1.0,95,29,7,4,7,5,-2,-1,-1,0
60,224,78,39,6,242.0,1.0,105,30,16,9,4,3,2,1,1,1
61,228,71,35,11,246.0,1.0,95,30,9,5,9,6,-3,-2,-1,0
62,232,74,37,2,250.0,1.0,105,31,12,7,0,1,3,2,1,1
63,236,74,37,2,254.0,2.0,95,31,12,7,0,1,0,0,0,1
