,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,3,55,26,7,2.0,1.5,105,0,-12,-7,0,1,0,0,0,0
1,7,71,35,11,6.0,1.5,95,0,4,2,4,3,4,2,1,1
2,11,74,37,2,10.0,1.5,105,1,7,4,7,5,3,2,1,2
3,15,71,35,11,14.0,2.0,95,1,4,2,4,3,2,1,-1,1
4,19,72,36,0,18.0,1.5,105,2,5,3,5,4,1,1,1,2
5,23,69,34,9,22.0,1.5,95,2,2,1,2,2,-2,-1,-1,1
6,27,69,34,9,26.0,1.5,105,3,2,1,2,2,2,1,0,1
7,31,62,30,2,30.0,2.0,95,3,-5,-3,7,5,-2,-1,-1,0
8,35,55,26,7,34.0,2.0,105,4,-12,-7,0,1,-2,-1,-1,-1
9,38,71,35,11,38.0,1.5,95,4,4,2,4,3,4,2,1,0
10,42,74,37,2,42.0,1.5,105,5,7,4,7,5,3,2,1,1
11,46,67,33,7,46.0,2.0,95,5,0,0,0,1,1,1,-1,0
12,49,72,36,0,50.0,2.0,105,6,5,3,5,4,1,1,1,1
13,52,69,34,9,54.0,1.5,95,6,2,1,2,2,-2,-1,-1,0
14,57,67,33,7,58.0,2.0,105,7,0,0,0,1,-2,-1,-1,-1
15,59,67,33,7,62.0,2.0,95,7,0,0,0,1,-4,-2,0,-1
16,63,55,26,7,66.0,1.5,105,8,-12,-7,0,1,-2,-1,-1,-2
17,67,71,35,11,70.0,1.5,95,8,4,2,4,3,4,2,1,-1
18,71,74,37,2,74.0,1.5,105,9,7,4,7,5,3,2,1,0
19,75,71,35,11,78.0,2.0,95,9,4,2,4,3,2,1,-1,-1
20,79,72,36,0,82.0,1.5,105,10,5,3,5,4,1,1,1,0
21,83,69,34,9,86.0,1.5,95,10,2,1,2,2,-2,-1,-1,-1
22,87,69,34,9,90.0,1.5,105,11,2,1,2,2,2,1,0,-1
23,91,62,30,2,94.0,2.0,95,11,-5,-3,7,5,-2,-1,-1,-2
24,95,55,26,7,98.0,2.0,105,12,-12,-7,0,1,-2,-1,-1,-3
25,98,71,35,11,102.0,1.5,95,12,4,2,4,3,4,2,1,-2
26,102,74,37,2,106.0,1.5,105,13,7,4,7,5,3,2,1,-1
27,106,67,33,7,110.0,2.0,95,13,0,0,0,1,1,1,-1,-2
28,109,72,36,0,114.0,2.0,105,14,5,3,5,4,1,1,1,-1
29,112,69,34,9,118.0,1.5,95,14,2,1,2,2,-2,-1,-1,-2
30,117,67,33,7,122.0,2.0,105,15,0,0,0,1,-2,-1,-1,-3
31,119,67,33,7,126.0,2.0,95,15,0,0,0,1,-4,-2,0,-3
32,123,74,37,2,130.0,1.5,105,16,7,4,7,5,2,1,1,-2
33,127,79,40,7,134.0,2.0,95,16,12,7,0,1,5,3,1,-1
34,130,72,36,0,138.0,1.5,105,17,5,3,5,4,1,1,-1,-2
35,133,81,41,9,142.0,3.5,95,17,14,8,2,2,12,7,1,-1
36,135,78,39,6,146.0,3.5,105,18,11,6,11,7,-1,-1,-1,-2
37,137,78,39,6,150.0,1.5,95,18,11,6,11,7,-1,-1,0,-2
38,142,76,38,4,154.0,1.5,105,19,9,5,9,6,-2,-1,-1,-3
39,146,74,37,2,158.0,1.5,95,19,7,4,7,5,1,1,-1,-4
40,150,74,37,2,162.0,1.5,105,20,7,4,7,5,2,1,0,-4
41,153,79,40,7,166.0,3.5,95,20,12,7,0,1,8,5,1,-3
42,155,72,36,0,170.0,1.5,105,21,5,3,5,4,1,1,-1,-4
43,158,81,41,9,174.0,2.0,95,21,14,8,2,2,12,7,1,-3
44,161,78,39,6,178.0,1.5,105,22,11,6,11,7,2,1,-1,-4
45,165,72,36,0,182.0,2.0,95,22,5,3,5,4,1,1,-1,-5
46,169,67,33,7,186.0,0.67,105,23,0,0,0,1,5,3,-1,-6
47,173,67,33,7,190.0,2.0,95,23,0,0,0,1,1,1,0,-6
48,177,74,37,2,194.0,1.5,105,24,7,4,7,5,2,1,1,-5
49,181,79,40,7,198.0,2.0,95,24,12,7,0,1,5,3,1,-4
50,184,72,36,0,202.0,1.5,105,25,5,3,5,4,1,1,-1,-5
51,187,81,41,9,206.0,3.5,95,25,14,8,2,2,12,7,1,-4
52,189,78,39,6,210.0,3.5,105,26,11,6,11,7,-1,-1,-1,-5
53,191,78,39,6,214.0,1.5,95,26,11,6,11,7,-1,-1,0,-5
54,196,76,38,4,218.0,1.5,105,27,9,5,9,6,-2,-1,-1,-6
55,200,74,37,2,222.0,1.5,95,27,7,4,7,5,1,1,-1,-7
56,204,74,37,2,226.0,1.5,105,28,7,4,7,5,2,1,0,-7
57,207,79,40,7,230.0,3.5,95,28,12,7,0,1,8,5,1,-6
58,209,72,36,0,234.0,1.5,105,29,5,3,5,4,1,1,-1,-7
59,212,81,41,9,238.0,2.0,95,29,14,8,2,2,12,7,1,-6
60,215,78,39,6,242.0,1.5,105,30,11,6,11,7,2,1,-1,-7
61,219,72,36,0,246.0,2.0,95,30,5,3,5,4,1,1,-1,-8
62,223,67,33,7,250.0,0.67,105,31,0,0,0,1,5,3,-1,-9
63,227,67,33,7,254.0,2.0,95,31,0,0,0,1,1,1,0,-9
