,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,1,71,35,11,1.0,2.0,105,0,7,4,7,5,0,0,0,0
1,3,67,33,7,4.0,2.0,95,0,3,2,3,3,3,2,-1,-1
2,5,71,35,11,7.0,2.0,105,1,7,4,7,5,7,4,1,0
3,7,71,35,11,10.0,1.0,95,1,7,4,7,5,7,4,0,0
4,10,69,34,9,13.0,2.0,105,2,5,3,5,4,-5,-3,-1,-1
5,12,66,32,6,16.0,2.0,95,2,2,1,2,2,4,2,-1,-2
6,14,69,34,9,19.0,2.0,105,3,5,3,5,4,7,4,1,-1
7,16,66,32,6,22.0,1.0,95,3,2,1,2,2,4,2,-1,-2
8,19,71,35,11,25.0,2.0,105,4,7,4,7,5,2,1,1,-1
9,21,67,33,7,28.0,2.0,95,4,3,2,3,3,3,2,-1,-2
10,23,71,35,11,31.0,2.0,105,5,7,4,7,5,7,4,1,-1
11,25,71,35,11,34.0,1.0,95,5,7,4,7,5,7,4,0,-1
12,28,69,34,9,37.0,2.0,105,6,5,3,5,4,-5,-3,-1,-2
13,30,74,37,2,40.0,2.0,95,6,10,6,10,7,8,5,1,-1
14,32,64,31,4,43.0,0.5,105,7,0,0,0,1,-2,-1,-1,-2
15,36,64,31,4,46.0,3.0,95,7,0,0,0,1,0,0,0,-2
16,37,71,35,11,49.0,2.0,105,8,7,4,7,5,7,4,1,-1
17,39,67,33,7,52.0,2.0,95,8,3,2,3,3,3,2,-1,-2
18,41,71,35,11,55.0,2.0,105,9,7,4,7,5,7,4,1,-1
19,43,71,35,11,58.0,1.0,95,9,7,4,7,5,7,4,0,-1
20,46,69,34,9,61.0,2.0,105,10,5,3,5,4,-5,-3,-1,-2
21,48,66,32,6,64.0,2.0,95,10,2,1,2,2,4,2,-1,-3
22,50,69,34,9,67.0,2.0,105,11,5,3,5,4,7,4,1,-2
23,52,66,32,6,70.0,1.0,95,11,2,1,2,2,4,2,-1,-3
24,55,71,35,11,73.0,2.0,105,12,7,4,7,5,2,1,1,-2
25,57,67,33,7,76.0,2.0,95,12,3,2,3,3,3,2,-1,-3
26,59,71,35,11,79.0,2.0,105,13,7,4,7,5,7,4,1,-2
27,61,71,35,11,82.0,1.0,95,13,7,4,7,5,7,4,0,-2
28,64,69,34,9,85.0,2.0,105,14,5,3,5,4,-5,-3,-1,-3
29,66,74,37,2,88.0,2.0,95,14,10,6,10,7,8,5,1,-2
30,68,64,31,4,91.0,0.5,105,15,0,0,0,1,-2,-1,-1,-3
31,72,64,31,4,94.0,3.0,95,15,0,0,0,1,0,0,0,-3
32,73,76,38,4,97.0,2.0,105,16,12,7,0,1,12,7,1,-2
33,75,78,39,6,100.0,1.0,95,16,14,8,2,2,2,1,1,-1
34,78,76,38,4,103.0,2.0,105,17,12,7,0,1,5,3,-1,-2
35,80,78,39,6,106.0,1.0,95,17,14,8,2,2,2,1,1,-1
36,83,74,37,2,109.0,2.0,105,18,10,6,10,7,3,2,-1,-2
37,85,72,36,0,112.0,1.0,95,18,8,5,8,6,-2,-1,-1,-3
38,88,74,37,2,115.0,1.0,105,19,10,6,10,7,2,1,1,-2
39,91,71,35,11,118.0,1.0,95,19,7,4,7,5,0,0,-1,-3
40,94,72,36,0,121.0,1.0,105,20,8,5,8,6,-2,-1,1,-2
41,97,71,35,11,124.0,1.0,95,20,7,4,7,5,-1,-1,-1,-3
42,100,69,34,9,127.0,1.0,105,21,5,3,5,4,-2,-1,-1,-4
43,103,67,33,7,130.0,1.0,95,21,3,2,3,3,-2,-1,-1,-5
44,106,66,32,6,133.0,1.0,105,22,2,1,2,2,-1,-1,-1,-6
45,109,66,32,6,136.0,1.0,95,22,2,1,2,2,0,0,0,-6
46,112,64,31,4,139.0,0.5,105,23,0,0,0,1,-2,-1,-1,-7
47,116,64,31,4,142.0,3.0,95,23,0,0,0,1,0,0,0,-7
48,117,76,38,4,145.0,2.0,105,24,12,7,0,1,12,7,1,-6
49,119,78,39,6,148.0,1.0,95,24,14,8,2,2,2,1,1,-5
50,122,76,38,4,151.0,2.0,105,25,12,7,0,1,5,3,-1,-6
51,124,78,39,6,154.0,1.0,95,25,14,8,2,2,2,1,1,-5
52,127,74,37,2,157.0,2.0,105,26,10,6,10,7,3,2,-1,-6
53,129,72,36,0,160.0,1.0,95,26,8,5,8,6,-2,-1,-1,-7
54,132,74,37,2,163.0,1.0,105,27,10,6,10,7,2,1,1,-6
55,135,71,35,11,166.0,1.0,95,27,7,4,7,5,0,0,-1,-7
56,138,72,36,0,169.0,1.0,105,28,8,5,8,6,-2,-1,1,-6
57,141,71,35,11,172.0,1.0,95,28,7,4,7,5,-1,-1,-1,-7
58,144,69,34,9,175.0,1.0,105,29,5,3,5,4,-2,-1,-1,-8
59,147,67,33,7,178.0,1.0,95,29,3,2,3,3,-2,-1,-1,-9
60,150,66,32,6,181.0,1.0,105,30,2,1,2,2,-1,-1,-1,-10
61,153,66,32,6,184.0,1.0,95,30,2,1,2,2,0,0,0,-10
62,156,64,31,4,187.0,0.5,105,31,0,0,0,1,-2,-1,-1,-11
63,160,64,31,4,190.0,3.0,95,31,0,0,0,1,0,0,0,-11
