,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,71,35,11,0.0,2.0,105,0,9,5,9,6,0,0,0,0
1,3,71,35,11,4.0,1.0,95,0,9,5,9,6,5,3,0,0
2,7,64,31,4,8.0,3.0,105,1,2,1,2,2,-2,-1,-1,-1
3,9,64,31,4,12.0,1.0,95,1,2,1,2,2,-2,-1,0,-1
4,13,71,35,11,16.0,2.0,105,2,9,5,9,6,2,1,1,0
5,16,71,35,11,20.0,1.0,95,2,9,5,9,6,5,3,0,0
6,20,62,30,2,24.0,1.0,105,3,0,0,0,1,-4,-2,-1,-1
7,24,66,32,6,28.0,1.0,95,3,4,2,4,3,0,0,1,0
8,27,71,35,11,32.0,2.0,105,4,9,5,9,6,7,4,1,1
9,30,71,35,11,36.0,1.0,95,4,9,5,9,6,5,3,0,1
10,34,64,31,4,40.0,3.0,105,5,2,1,2,2,-2,-1,-1,0
11,36,64,31,4,44.0,1.0,95,5,2,1,2,2,-2,-1,0,0
12,40,71,35,11,48.0,1.0,105,6,9,5,9,6,2,1,1,1
13,43,62,30,2,52.0,1.0,95,6,0,0,0,1,-2,-1,-1,0
14,47,71,35,11,56.0,1.0,105,7,9,5,9,6,2,1,1,1
15,51,66,32,6,60.0,1.0,95,7,4,2,4,3,0,0,-1,0
16,54,71,35,11,64.0,2.0,105,8,9,5,9,6,7,4,1,1
17,57,71,35,11,68.0,1.0,95,8,9,5,9,6,5,3,0,1
18,61,64,31,4,72.0,3.0,105,9,2,1,2,2,-2,-1,-1,0
19,63,64,31,4,76.0,1.0,95,9,2,1,2,2,-2,-1,0,0
20,67,71,35,11,80.0,2.0,105,10,9,5,9,6,2,1,1,1
21,70,71,35,11,84.0,1.0,95,10,9,5,9,6,5,3,0,1
22,74,62,30,2,88.0,1.0,105,11,0,0,0,1,-4,-2,-1,0
23,78,66,32,6,92.0,1.0,95,11,4,2,4,3,0,0,1,1
24,81,71,35,11,96.0,2.0,105,12,9,5,9,6,7,4,1,2
25,84,71,35,11,100.0,1.0,95,12,9,5,9,6,5,3,0,2
26,88,64,31,4,104.0,3.0,105,13,2,1,2,2,-2,-1,-1,1
27,90,64,31,4,108.0,1.0,95,13,2,1,2,2,-2,-1,0,1
28,94,71,35,11,112.0,1.0,105,14,9,5,9,6,2,1,1,2
29,97,62,30,2,116.0,1.0,95,14,0,0,0,1,-2,-1,-1,1
30,101,71,35,11,120.0,1.0,105,15,9,5,9,6,2,1,1,2
31,105,66,32,6,124.0,1.0,95,15,4,2,4,3,0,0,-1,1
32,108,76,38,4,128.0,1.0,105,16,14,8,2,2,12,7,1,2
33,111,76,38,4,132.0,1.0,95,16,14,8,2,2,5,3,0,2
34,115,78,39,6,136.0,1.0,105,17,16,9,4,3,2,1,1,3
35,118,69,34,9,140.0,1.0,95,17,7,4,7,5,-5,-3,-1,2
36,122,76,38,4,144.0,1.0,105,18,14,8,2,2,2,1,1,3
37,125,76,38,4,148.0,1.0,95,18,14,8,2,2,5,3,0,3
38,129,74,37,2,152.0,1.0,105,19,12,7,0,1,-2,-1,-1,2
39,133,66,32,6,156.0,1.0,95,19,4,2,4,3,0,0,-1,1
40,136,76,38,4,160.0,1.0,105,20,14,8,2,2,12,7,1,2
41,139,76,38,4,164.0,1.0,95,20,14,8,2,2,5,3,0,2
42,143,78,39,6,168.0,3.0,105,21,16,9,4,3,2,1,1,3
43,145,74,37,2,172.0,1.0,95,21,12,7,0,1,-2,-1,-1,2
44,149,71,35,11,176.0,3.0,105,22,9,5,9,6,-3,-2,-1,1
45,151,76,38,4,180.0,1.0,95,22,14,8,2,2,2,1,1,2
46,155,74,37,2,184.0,1.0,105,23,12,7,0,1,-2,-1,-1,1
47,159,71,35,11,188.0,1.0,95,23,9,5,9,6,5,3,-1,0
48,162,76,38,4,192.0,1.0,105,24,14,8,2,2,12,7,1,1
49,165,76,38,4,196.0,1.0,95,24,14,8,2,2,5,3,0,1
50,169,78,39,6,200.0,1.0,105,25,16,9,4,3,2,1,1,2
51,172,69,34,9,204.0,1.0,95,25,7,4,7,5,-5,-3,-1,1
52,176,76,38,4,208.0,1.0,105,26,14,8,2,2,2,1,1,2
53,179,76,38,4,212.0,1.0,95,26,14,8,2,2,5,3,0,2
54,183,74,37,2,216.0,1.0,105,27,12,7,0,1,-2,-1,-1,1
55,187,66,32,6,220.0,1.0,95,27,4,2,4,3,0,0,-1,0
56,190,76,38,4,224.0,1.0,105,28,14,8,2,2,12,7,1,1
57,193,76,38,4,228.0,1.0,95,28,14,8,2,2,5,3,0,1
58,197,78,39,6,232.0,3.0,105,29,16,9,4,3,2,1,1,2
59,199,74,37,2,236.0,1.0,95,29,12,7,0,1,-2,-1,-1,1
60,203,71,35,11,240.0,3.0,105,30,9,5,9,6,-3,-2,-1,0
61,205,76,38,4,244.0,1.0,95,30,14,8,2,2,2,1,1,1
62,209,74,37,2,248.0,1.0,105,31,12,7,0,1,-2,-1,-1,0
63,213,71,35,11,252.0,1.0,95,31,9,5,9,6,5,3,-1,-1
