,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,67,33,7,1.0,1.0,105,0,3,2,3,3,0,0,0,0
1,5,64,31,4,4.0,1.0,95,0,0,0,0,1,0,0,-1,-1
2,8,71,35,11,7.0,1.0,105,1,7,4,7,5,2,1,1,0
3,11,71,35,11,10.0,1.0,95,1,7,4,7,5,0,0,0,0
4,14,69,34,9,13.0,1.0,105,2,5,3,5,4,-2,-1,-1,-1
5,17,62,30,2,16.0,1.0,95,2,-2,-1,10,7,0,0,-1,-2
6,20,69,34,9,19.0,1.0,105,3,5,3,5,4,0,0,1,-1
7,23,69,34,9,22.0,1.0,95,3,5,3,5,4,0,0,0,-1
8,26,71,35,11,25.0,1.0,105,4,7,4,7,5,-1,-1,1,0
9,29,64,31,4,28.0,1.0,95,4,0,0,0,1,0,0,-1,-1
10,32,71,35,11,31.0,1.0,105,5,7,4,7,5,2,1,1,0
11,35,71,35,11,34.0,1.0,95,5,7,4,7,5,0,0,0,0
12,38,74,37,2,37.0,1.0,105,6,10,6,10,7,-2,-1,1,1
13,41,71,35,11,40.0,1.0,95,6,7,4,7,5,0,0,-1,0
14,44,67,33,7,43.0,1.0,105,7,3,2,3,3,-4,-2,-1,-1
15,47,64,31,4,46.0,2.0,95,7,0,0,0,1,0,0,-1,-2
16,50,67,33,7,49.0,1.0,105,8,3,2,3,3,-2,-1,1,-1
17,53,64,31,4,52.0,1.0,95,8,0,0,0,1,0,0,-1,-2
18,56,71,35,11,55.0,1.0,105,9,7,4,7,5,2,1,1,-1
19,59,71,35,11,58.0,1.0,95,9,7,4,7,5,0,0,0,-1
20,62,69,34,9,61.0,1.0,105,10,5,3,5,4,-2,-1,-1,-2
21,65,62,30,2,64.0,1.0,95,10,-2,-1,10,7,0,0,-1,-3
22,68,69,34,9,67.0,1.0,105,11,5,3,5,4,0,0,1,-2
23,71,69,34,9,70.0,1.0,95,11,5,3,5,4,0,0,0,-2
24,74,71,35,11,73.0,1.0,105,12,7,4,7,5,-1,-1,1,-1
25,77,64,31,4,76.0,1.0,95,12,0,0,0,1,0,0,-1,-2
26,80,71,35,11,79.0,1.0,105,13,7,4,7,5,2,1,1,-1
27,83,71,35,11,82.0,1.0,95,13,7,4,7,5,0,0,0,-1
28,86,74,37,2,85.0,1.0,105,14,10,6,10,7,-2,-1,1,0
29,89,71,35,11,88.0,1.0,95,14,7,4,7,5,0,0,-1,-1
30,92,67,33,7,91.0,1.0,105,15,3,2,3,3,-4,-2,-1,-2
31,95,64,31,4,94.0,2.0,95,15,0,0,0,1,0,0,-1,-3
32,97,76,38,4,97.0,1.0,105,16,12,7,0,1,0,0,1,-2
33,100,76,38,4,100.0,1.0,95,16,12,7,0,1,0,0,0,-2
34,103,78,39,6,103.0,1.0,105,17,14,8,2,2,-1,-1,1,-1
35,106,74,37,2,106.0,2.0,95,17,10,6,10,7,0,0,-1,-2
36,108,74,37,2,109.0,1.0,105,18,10,6,10,7,-2,-1,0,-2
37,111,74,37,2,112.0,1.0,95,18,10,6,10,7,0,0,0,-2
38,114,71,35,11,115.0,1.0,105,19,7,4,7,5,-3,-2,-1,-3
39,117,69,34,9,118.0,2.0,95,19,5,3,5,4,0,0,-1,-4
40,119,76,38,4,121.0,1.0,105,20,12,7,0,1,0,0,1,-3
41,122,76,38,4,124.0,1.0,95,20,12,7,0,1,0,0,0,-3
42,125,81,41,9,127.0,1.0,105,21,17,10,5,4,2,1,1,-2
43,128,79,40,7,130.0,1.0,95,21,15,9,3,3,1,1,-1,-3
44,131,74,37,2,133.0,1.0,105,22,10,6,10,7,-2,-1,-1,-4
45,134,71,35,11,136.0,1.0,95,22,7,4,7,5,0,0,-1,-5
46,137,67,33,7,139.0,1.0,105,23,3,2,3,3,-4,-2,-1,-6
47,140,64,31,4,142.0,2.0,95,23,0,0,0,1,0,0,-1,-7
48,142,76,38,4,145.0,1.0,105,24,12,7,0,1,0,0,1,-6
49,145,76,38,4,148.0,1.0,95,24,12,7,0,1,0,0,0,-6
50,148,78,39,6,151.0,1.0,105,25,14,8,2,2,-1,-1,1,-5
51,151,74,37,2,154.0,2.0,95,25,10,6,10,7,0,0,-1,-6
52,153,74,37,2,157.0,1.0,105,26,10,6,10,7,-2,-1,0,-6
53,156,74,37,2,160.0,1.0,95,26,10,6,10,7,0,0,0,-6
54,159,71,35,11,163.0,1.0,105,27,7,4,7,5,-3,-2,-1,-7
55,162,69,34,9,166.0,2.0,95,27,5,3,5,4,0,0,-1,-8
56,164,76,38,4,169.0,1.0,105,28,12,7,0,1,0,0,1,-7
57,167,76,38,4,172.0,1.0,95,28,12,7,0,1,0,0,0,-7
58,170,81,41,9,175.0,1.0,105,29,17,10,5,4,2,1,1,-6
59,173,79,40,7,178.0,1.0,95,29,15,9,3,3,1,1,-1,-7
60,176,74,37,2,181.0,1.0,105,30,10,6,10,7,-2,-1,-1,-8
61,179,71,35,11,184.0,1.0,95,30,7,4,7,5,0,0,-1,-9
62,182,67,33,7,187.0,1.0,105,31,3,2,3,3,-4,-2,-1,-10
63,185,64,31,4,190.0,2.0,95,31,0,0,0,1,0,0,-1,-11
