,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,67,33,7,2.0,1.0,105,0,0,0,0,1,0,0,0,0
1,6,71,35,11,6.0,2.0,95,0,4,2,4,3,4,2,1,1
2,9,67,33,7,10.0,1.0,105,1,0,0,0,1,-2,-1,-1,0
3,13,73,36,1,14.0,1.0,95,1,6,3,6,4,-1,-1,1,1
4,17,66,32,6,18.0,1.0,105,2,-1,-1,11,7,-1,-1,-1,0
5,21,69,34,9,22.0,1.0,95,2,2,1,2,2,3,2,1,1
6,25,67,33,7,26.0,1.0,105,3,0,0,0,1,-2,-1,-1,0
7,29,73,36,1,30.0,1.0,95,3,6,3,6,4,-1,-1,1,1
8,33,67,33,7,34.0,1.0,105,4,0,0,0,1,-2,-1,-1,0
9,37,71,35,11,38.0,2.0,95,4,4,2,4,3,4,2,1,1
10,40,67,33,7,42.0,1.0,105,5,0,0,0,1,-2,-1,-1,0
11,44,73,36,1,46.0,1.0,95,5,6,3,6,4,-1,-1,1,1
12,48,66,32,6,50.0,1.0,105,6,-1,-1,11,7,-1,-1,-1,0
13,52,69,34,9,54.0,1.0,95,6,2,1,2,2,3,2,1,1
14,56,67,33,7,58.0,2.0,105,7,0,0,0,1,-2,-1,-1,0
15,58,67,33,7,62.0,2.0,95,7,0,0,0,1,-4,-2,0,0
16,61,67,33,7,66.0,1.0,105,8,0,0,0,1,-2,-1,0,0
17,65,71,35,11,70.0,2.0,95,8,4,2,4,3,4,2,1,1
18,68,67,33,7,74.0,1.0,105,9,0,0,0,1,-2,-1,-1,0
19,72,73,36,1,78.0,1.0,95,9,6,3,6,4,-1,-1,1,1
20,76,66,32,6,82.0,1.0,105,10,-1,-1,11,7,-1,-1,-1,0
21,80,69,34,9,86.0,1.0,95,10,2,1,2,2,3,2,1,1
22,84,67,33,7,90.0,1.0,105,11,0,0,0,1,-2,-1,-1,0
23,88,73,36,1,94.0,1.0,95,11,6,3,6,4,-1,-1,1,1
24,92,67,33,7,98.0,1.0,105,12,0,0,0,1,-2,-1,-1,0
25,96,71,35,11,102.0,2.0,95,12,4,2,4,3,4,2,1,1
26,99,67,33,7,106.0,1.0,105,13,0,0,0,1,-2,-1,-1,0
27,103,73,36,1,110.0,1.0,95,13,6,3,6,4,-1,-1,1,1
28,107,66,32,6,114.0,1.0,105,14,-1,-1,11,7,-1,-1,-1,0
29,111,69,34,9,118.0,1.0,95,14,2,1,2,2,3,2,1,1
30,115,67,33,7,122.0,2.0,105,15,0,0,0,1,-2,-1,-1,0
31,117,67,33,7,126.0,2.0,95,15,0,0,0,1,-4,-2,0,0
32,119,76,38,4,130.0,2.0,105,16,9,5,9,6,2,1,1,1
33,121,79,40,7,134.0,2.0,95,16,12,7,0,1,1,1,1,2
34,124,76,38,4,138.0,1.0,105,17,9,5,9,6,0,0,-1,1
35,128,71,35,11,142.0,2.0,95,17,4,2,4,3,-3,-2,-1,0
36,131,66,32,6,146.0,1.0,105,18,-1,-1,11,7,-1,-1,-1,-1
37,135,69,34,9,150.0,1.0,95,18,2,1,2,2,3,2,1,0
38,139,67,33,7,154.0,1.0,105,19,0,0,0,1,-2,-1,-1,-1
39,143,73,36,1,158.0,1.0,95,19,6,3,6,4,-1,-1,1,0
40,147,76,38,4,162.0,2.0,105,20,9,5,9,6,9,5,1,1
41,149,79,40,7,166.0,2.0,95,20,12,7,0,1,1,1,1,2
42,152,76,38,4,170.0,1.0,105,21,9,5,9,6,0,0,-1,1
43,156,71,35,11,174.0,2.0,95,21,4,2,4,3,-3,-2,-1,0
44,159,66,32,6,178.0,1.0,105,22,-1,-1,11,7,-1,-1,-1,-1
45,163,69,34,9,182.0,1.0,95,22,2,1,2,2,3,2,1,0
46,167,67,33,7,186.0,2.0,105,23,0,0,0,1,-2,-1,-1,-1
47,169,67,33,7,190.0,2.0,95,23,0,0,0,1,-4,-2,0,-1
48,171,76,38,4,194.0,2.0,105,24,9,5,9,6,2,1,1,0
49,173,79,40,7,198.0,2.0,95,24,12,7,0,1,1,1,1,1
50,176,76,38,4,202.0,1.0,105,25,9,5,9,6,0,0,-1,0
51,180,71,35,11,206.0,2.0,95,25,4,2,4,3,-3,-2,-1,-1
52,183,66,32,6,210.0,1.0,105,26,-1,-1,11,7,-1,-1,-1,-2
53,187,69,34,9,214.0,1.0,95,26,2,1,2,2,3,2,1,-1
54,191,67,33,7,218.0,1.0,105,27,0,0,0,1,-2,-1,-1,-2
55,195,73,36,1,222.0,1.0,95,27,6,3,6,4,-1,-1,1,-1
56,199,76,38,4,226.0,2.0,105,28,9,5,9,6,9,5,1,0
57,201,79,40,7,230.0,2.0,95,28,12,7,0,1,1,1,1,1
58,204,76,38,4,234.0,1.0,105,29,9,5,9,6,0,0,-1,0
59,208,71,35,11,238.0,2.0,95,29,4,2,4,3,-3,-2,-1,-1
60,211,66,32,6,242.0,1.0,105,30,-1,-1,11,7,-1,-1,-1,-2
61,215,69,34,9,246.0,1.0,95,30,2,1,2,2,3,2,1,-1
62,219,67,33,7,250.0,2.0,105,31,0,0,0,1,-2,-1,-1,-2
63,221,67,33,7,254.0,2.0,95,31,0,0,0,1,-4,-2,0,-2
