,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,69,34,9,0.0,1.0,105,0,7,4,7,5,0,0,0,0
1,3,62,30,2,3.0,3.0,95,0,0,0,0,1,0,0,-1,-1
2,4,69,34,9,6.0,1.0,105,1,7,4,7,5,7,4,1,0
3,7,66,32,6,9.0,1.0,95,1,4,2,4,3,4,2,-1,-1
4,10,69,34,9,12.0,1.0,105,2,7,4,7,5,-5,-3,1,0
5,13,62,30,2,15.0,1.0,95,2,0,0,0,1,0,0,-1,-1
6,16,64,31,4,18.0,2.0,105,3,2,1,2,2,-2,-1,1,0
7,18,67,33,7,21.0,1.0,95,3,5,3,5,4,1,1,1,1
8,21,69,34,9,24.0,1.0,105,4,7,4,7,5,5,3,1,2
9,24,62,30,2,27.0,1.0,95,4,0,0,0,1,0,0,-1,1
10,27,74,37,2,30.0,1.0,105,5,12,7,0,1,5,3,1,2
11,30,69,34,9,33.0,1.0,95,5,7,4,7,5,-2,-1,-1,1
12,33,67,33,7,36.0,1.0,105,6,5,3,5,4,-2,-1,-1,0
13,36,66,32,6,39.0,1.0,95,6,4,2,4,3,-10,-6,-1,-1
14,39,64,31,4,42.0,2.0,105,7,2,1,2,2,-10,-6,-1,-2
15,41,67,33,7,45.0,1.0,95,7,5,3,5,4,1,1,1,-1
16,44,69,34,9,48.0,1.0,105,8,7,4,7,5,5,3,1,0
17,47,62,30,2,51.0,3.0,95,8,0,0,0,1,0,0,-1,-1
18,48,69,34,9,54.0,1.0,105,9,7,4,7,5,7,4,1,0
19,51,66,32,6,57.0,1.0,95,9,4,2,4,3,4,2,-1,-1
20,54,69,34,9,60.0,1.0,105,10,7,4,7,5,-5,-3,1,0
21,57,62,30,2,63.0,1.0,95,10,0,0,0,1,0,0,-1,-1
22,60,64,31,4,66.0,2.0,105,11,2,1,2,2,-2,-1,1,0
23,62,67,33,7,69.0,1.0,95,11,5,3,5,4,1,1,1,1
24,65,69,34,9,72.0,1.0,105,12,7,4,7,5,5,3,1,2
25,68,62,30,2,75.0,1.0,95,12,0,0,0,1,0,0,-1,1
26,71,74,37,2,78.0,1.0,105,13,12,7,0,1,5,3,1,2
27,74,69,34,9,81.0,1.0,95,13,7,4,7,5,-2,-1,-1,1
28,77,67,33,7,84.0,1.0,105,14,5,3,5,4,-2,-1,-1,0
29,80,66,32,6,87.0,1.0,95,14,4,2,4,3,-10,-6,-1,-1
30,83,64,31,4,90.0,2.0,105,15,2,1,2,2,-10,-6,-1,-2
31,85,67,33,7,93.0,1.0,95,15,5,3,5,4,1,1,1,-1
32,88,74,37,2,96.0,3.0,105,16,12,7,0,1,10,6,1,0
33,89,74,37,2,99.0,1.0,95,16,12,7,0,1,0,0,0,0
34,92,74,37,2,102.0,1.0,105,17,12,7,0,1,8,5,0,0
35,95,74,37,2,105.0,1.0,95,17,12,7,0,1,0,0,0,0
36,98,74,37,2,108.0,3.0,105,18,12,7,0,1,8,5,0,0
37,99,74,37,2,111.0,1.0,95,18,12,7,0,1,0,0,0,0
38,102,64,31,4,114.0,2.0,105,19,2,1,2,2,-2,-1,-1,-1
39,104,67,33,7,117.0,1.0,95,19,5,3,5,4,1,1,1,0
40,107,74,37,2,120.0,1.0,105,20,12,7,0,1,10,6,1,1
41,110,73,36,1,123.0,1.0,95,20,11,6,11,7,-1,-1,-1,0
42,113,71,35,11,126.0,1.0,105,21,9,5,9,6,-2,-1,-1,-1
43,116,69,34,9,129.0,1.0,95,21,7,4,7,5,-2,-1,-1,-2
44,119,67,33,7,132.0,1.0,105,22,5,3,5,4,5,3,-1,-3
45,122,66,32,6,135.0,1.0,95,22,4,2,4,3,-1,-1,-1,-4
46,125,64,31,4,138.0,2.0,105,23,2,1,2,2,-2,-1,-1,-5
47,127,67,33,7,141.0,1.0,95,23,5,3,5,4,1,1,1,-4
48,130,74,37,2,144.0,3.0,105,24,12,7,0,1,10,6,1,-3
49,131,74,37,2,147.0,1.0,95,24,12,7,0,1,0,0,0,-3
50,134,74,37,2,150.0,1.0,105,25,12,7,0,1,8,5,0,-3
51,137,74,37,2,153.0,1.0,95,25,12,7,0,1,0,0,0,-3
52,140,74,37,2,156.0,3.0,105,26,12,7,0,1,8,5,0,-3
53,141,74,37,2,159.0,1.0,95,26,12,7,0,1,0,0,0,-3
54,144,64,31,4,162.0,2.0,105,27,2,1,2,2,-2,-1,-1,-4
55,146,67,33,7,165.0,1.0,95,27,5,3,5,4,1,1,1,-3
56,149,74,37,2,168.0,1.0,105,28,12,7,0,1,10,6,1,-2
57,152,73,36,1,171.0,1.0,95,28,11,6,11,7,-1,-1,-1,-3
58,155,71,35,11,174.0,1.0,105,29,9,5,9,6,-2,-1,-1,-4
59,158,69,34,9,177.0,1.0,95,29,7,4,7,5,-2,-1,-1,-5
60,161,67,33,7,180.0,1.0,105,30,5,3,5,4,5,3,-1,-6
61,164,66,32,6,183.0,1.0,95,30,4,2,4,3,-1,-1,-1,-7
62,167,64,31,4,186.0,2.0,105,31,2,1,2,2,-2,-1,-1,-8
63,169,67,33,7,189.0,1.0,95,31,5,3,5,4,1,1,1,-7
