,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,62,30,2,0.0,1.0,105,0,-5,-3,7,5,0,0,0,0
1,3,66,32,6,2.0,1.0,105,1,-1,-1,11,7,2,1,1,1
2,6,69,34,9,4.0,1.0,105,2,2,1,2,2,3,2,1,2
3,9,64,31,4,6.0,1.0,105,3,-3,-2,9,6,2,1,-1,1
4,12,66,32,6,8.0,1.0,105,4,-1,-1,11,7,2,1,1,2
5,15,69,34,9,10.0,1.0,105,5,2,1,2,2,3,2,1,3
6,18,64,31,4,12.0,1.0,105,6,-3,-2,9,6,2,1,-1,2
7,21,62,30,2,14.0,1.5,105,7,-5,-3,7,5,-2,-1,-1,1
8,26,66,32,6,18.0,1.0,105,8,-1,-1,11,7,2,1,1,2
9,29,69,34,9,20.0,1.0,105,9,2,1,2,2,3,2,1,3
10,32,64,31,4,22.0,1.0,105,10,-3,-2,9,6,2,1,-1,2
11,35,66,32,6,24.0,1.0,105,11,-1,-1,11,7,2,1,1,3
12,38,69,34,9,26.0,1.0,105,12,2,1,2,2,3,2,1,4
13,41,64,31,4,28.0,1.0,105,13,-3,-2,9,6,2,1,-1,3
14,44,62,30,2,30.0,1.5,105,14,-5,-3,7,5,-2,-1,-1,2
15,49,71,35,11,34.0,1.0,105,15,4,2,4,3,2,1,1,3
16,52,69,34,9,36.0,1.0,105,16,2,1,2,2,-2,-1,-1,2
17,55,64,31,4,38.0,1.0,105,17,-3,-2,9,6,2,1,-1,1
18,58,66,32,6,40.0,1.0,105,18,-1,-1,11,7,2,1,1,2
19,61,69,34,9,42.0,1.0,105,19,2,1,2,2,3,2,1,3
20,64,64,31,4,44.0,1.0,105,20,-3,-2,9,6,2,1,-1,2
21,67,64,31,4,46.0,1.5,105,21,-3,-2,9,6,2,1,0,2
22,72,71,35,11,50.0,1.0,105,22,4,2,4,3,2,1,1,3
23,75,69,34,9,52.0,1.0,105,23,2,1,2,2,-2,-1,-1,2
24,78,64,31,4,54.0,1.0,105,24,-3,-2,9,6,2,1,-1,1
25,81,66,32,6,56.0,1.0,105,25,-1,-1,11,7,2,1,1,2
26,84,69,34,9,58.0,1.0,105,26,2,1,2,2,3,2,1,3
27,87,64,31,4,60.0,1.0,105,27,-3,-2,9,6,2,1,-1,2
28,90,62,30,2,62.0,1.5,105,28,-5,-3,7,5,0,0,-1,1
