,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,74,37,2,1.0,1.0,105,0,7,4,7,5,0,0,0,0
1,5,79,40,7,4.0,2.0,95,0,12,7,0,1,12,7,1,1
2,7,76,38,4,7.0,1.0,105,1,9,5,9,6,-3,-2,-1,0
3,10,74,37,2,10.0,1.0,95,1,7,4,7,5,-5,-3,-1,-1
4,13,72,36,0,13.0,1.0,105,2,5,3,5,4,5,3,-1,-2
5,16,74,37,2,16.0,1.0,95,2,7,4,7,5,-2,-1,1,-1
6,19,66,32,6,19.0,1.0,105,3,-1,-1,11,7,-1,-1,-1,-2
7,22,69,34,9,22.0,2.0,95,3,2,1,2,2,0,0,1,-1
8,24,74,37,2,25.0,1.0,105,4,7,4,7,5,2,1,1,0
9,28,79,40,7,28.0,2.0,95,4,12,7,0,1,5,3,1,1
10,30,76,38,4,31.0,1.0,105,5,9,5,9,6,-3,-2,-1,0
11,33,74,37,2,34.0,1.0,95,5,7,4,7,5,-5,-3,-1,-1
12,36,72,36,0,37.0,1.0,105,6,5,3,5,4,5,3,-1,-2
13,39,74,37,2,40.0,1.0,95,6,7,4,7,5,-2,-1,1,-1
14,42,66,32,6,43.0,1.0,105,7,-1,-1,11,7,-1,-1,-1,-2
15,45,67,33,7,46.0,2.0,95,7,0,0,0,1,1,1,1,-1
16,48,74,37,2,49.0,1.0,105,8,7,4,7,5,2,1,1,0
17,51,79,40,7,52.0,2.0,95,8,12,7,0,1,12,7,1,1
18,53,76,38,4,55.0,1.0,105,9,9,5,9,6,-3,-2,-1,0
19,56,74,37,2,58.0,1.0,95,9,7,4,7,5,-5,-3,-1,-1
20,59,72,36,0,61.0,1.0,105,10,5,3,5,4,5,3,-1,-2
21,62,74,37,2,64.0,1.0,95,10,7,4,7,5,-2,-1,1,-1
22,65,66,32,6,67.0,1.0,105,11,-1,-1,11,7,-1,-1,-1,-2
23,68,69,34,9,70.0,2.0,95,11,2,1,2,2,0,0,1,-1
24,70,74,37,2,73.0,1.0,105,12,7,4,7,5,2,1,1,0
25,74,79,40,7,76.0,2.0,95,12,12,7,0,1,5,3,1,1
26,76,76,38,4,79.0,1.0,105,13,9,5,9,6,-3,-2,-1,0
27,79,74,37,2,82.0,1.0,95,13,7,4,7,5,-5,-3,-1,-1
28,82,72,36,0,85.0,1.0,105,14,5,3,5,4,5,3,-1,-2
29,85,74,37,2,88.0,1.0,95,14,7,4,7,5,-2,-1,1,-1
30,88,66,32,6,91.0,1.0,105,15,-1,-1,11,7,-1,-1,-1,-2
31,91,67,33,7,94.0,2.0,95,15,0,0,0,1,1,1,1,-1
32,93,71,35,11,97.0,1.0,105,16,4,2,4,3,2,1,1,0
33,96,74,37,2,100.0,1.0,95,16,7,4,7,5,7,4,1,1
34,99,76,38,4,103.0,1.0,105,17,9,5,9,6,9,5,1,2
35,102,74,37,2,106.0,1.0,95,17,7,4,7,5,7,4,-1,1
36,105,71,35,11,109.0,1.0,105,18,4,2,4,3,4,2,-1,0
37,108,74,37,2,112.0,1.0,95,18,7,4,7,5,7,4,1,1
38,111,66,32,6,115.0,1.0,105,19,-1,-1,11,7,4,2,-1,0
39,114,69,34,9,118.0,1.0,95,19,2,1,2,2,0,0,1,1
40,118,71,35,11,121.0,1.0,105,20,4,2,4,3,-1,-1,1,2
41,121,74,37,2,124.0,2.0,95,20,7,4,7,5,7,4,1,3
42,123,76,38,4,127.0,1.0,105,21,9,5,9,6,9,5,1,4
43,126,74,37,2,130.0,2.0,95,21,7,4,7,5,7,4,-1,3
44,128,71,35,11,133.0,1.0,105,22,4,2,4,3,-1,-1,-1,2
45,131,69,34,9,136.0,1.0,95,22,2,1,2,2,2,1,-1,1
46,134,71,35,11,139.0,1.0,105,23,4,2,4,3,2,1,1,2
47,137,67,33,7,142.0,2.0,95,23,0,0,0,1,1,1,-1,1
48,139,71,35,11,145.0,1.0,105,24,4,2,4,3,2,1,1,2
49,142,74,37,2,148.0,1.0,95,24,7,4,7,5,7,4,1,3
50,145,76,38,4,151.0,1.0,105,25,9,5,9,6,9,5,1,4
51,148,74,37,2,154.0,1.0,95,25,7,4,7,5,7,4,-1,3
52,151,71,35,11,157.0,1.0,105,26,4,2,4,3,4,2,-1,2
53,154,74,37,2,160.0,1.0,95,26,7,4,7,5,7,4,1,3
54,157,66,32,6,163.0,1.0,105,27,-1,-1,11,7,4,2,-1,2
55,160,69,34,9,166.0,1.0,95,27,2,1,2,2,0,0,1,3
56,164,74,37,2,169.0,1.0,105,28,7,4,7,5,2,1,1,4
57,167,79,40,7,172.0,1.0,95,28,12,7,0,1,5,3,1,5
58,170,76,38,4,175.0,0.5,105,29,9,5,9,6,-3,-2,-1,4
59,174,74,37,2,178.0,1.0,95,29,7,4,7,5,-2,-1,-1,3
60,177,72,36,0,181.0,1.0,105,30,5,3,5,4,-7,-4,-1,2
61,180,74,37,2,184.0,1.0,95,30,7,4,7,5,-2,-1,1,3
62,183,66,32,6,187.0,1.0,105,31,-1,-1,11,7,-1,-1,-1,2
63,186,67,33,7,190.0,2.0,95,31,0,0,0,1,1,1,1,3
