,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,62,30,2,0.0,1.0,105,0,0,0,0,1,0,0,0,0
1,3,69,34,9,3.0,1.0,95,0,7,4,7,5,3,2,1,1
2,6,69,34,9,6.0,1.0,105,1,7,4,7,5,-5,-3,0,1
3,9,71,35,11,9.0,1.0,95,1,9,5,9,6,-3,-2,1,2
4,12,74,37,2,12.0,1.0,105,2,12,7,0,1,3,2,1,3
5,15,66,32,6,15.0,1.0,95,2,4,2,4,3,-3,-2,-1,2
6,18,64,31,4,18.0,1.0,105,3,2,1,2,2,2,1,-1,1
7,21,64,31,4,21.0,1.0,95,3,2,1,2,2,0,0,0,1
8,24,62,30,2,24.0,1.0,105,4,0,0,0,1,-2,-1,-1,0
9,27,69,34,9,27.0,1.0,95,4,7,4,7,5,3,2,1,1
10,30,69,34,9,30.0,1.0,105,5,7,4,7,5,-5,-3,0,1
11,33,71,35,11,33.0,1.0,95,5,9,5,9,6,-3,-2,1,2
12,36,74,37,2,36.0,1.0,105,6,12,7,0,1,3,2,1,3
13,39,66,32,6,39.0,1.0,95,6,4,2,4,3,-3,-2,-1,2
14,42,64,31,4,42.0,1.0,105,7,2,1,2,2,2,1,-1,1
15,45,62,30,2,45.0,3.0,95,7,0,0,0,1,-2,-1,-1,0
16,46,62,30,2,48.0,1.0,105,8,0,0,0,1,0,0,0,0
17,49,69,34,9,51.0,1.0,95,8,7,4,7,5,3,2,1,1
18,52,69,34,9,54.0,1.0,105,9,7,4,7,5,-5,-3,0,1
19,55,71,35,11,57.0,1.0,95,9,9,5,9,6,-3,-2,1,2
20,58,74,37,2,60.0,1.0,105,10,12,7,0,1,3,2,1,3
21,61,66,32,6,63.0,1.0,95,10,4,2,4,3,-3,-2,-1,2
22,64,64,31,4,66.0,1.0,105,11,2,1,2,2,2,1,-1,1
23,67,64,31,4,69.0,1.0,95,11,2,1,2,2,0,0,0,1
24,70,62,30,2,72.0,1.0,105,12,0,0,0,1,-2,-1,-1,0
25,73,69,34,9,75.0,1.0,95,12,7,4,7,5,3,2,1,1
26,76,69,34,9,78.0,1.0,105,13,7,4,7,5,-5,-3,0,1
27,79,71,35,11,81.0,1.0,95,13,9,5,9,6,-3,-2,1,2
28,82,74,37,2,84.0,1.0,105,14,12,7,0,1,3,2,1,3
29,85,66,32,6,87.0,1.0,95,14,4,2,4,3,-3,-2,-1,2
30,88,64,31,4,90.0,1.0,105,15,2,1,2,2,2,1,-1,1
31,91,62,30,2,93.0,3.0,95,15,0,0,0,1,-2,-1,-1,0
32,92,69,34,9,96.0,1.0,105,16,7,4,7,5,7,4,1,1
33,95,76,38,4,99.0,1.0,95,16,14,8,2,2,2,1,1,2
34,98,78,39,6,102.0,1.0,105,17,16,9,4,3,2,1,1,3
35,101,79,40,7,105.0,1.0,95,17,17,10,5,4,1,1,1,4
36,104,74,37,2,108.0,1.0,105,18,12,7,0,1,-2,-1,-1,3
37,107,66,32,6,111.0,1.0,95,18,4,2,4,3,-3,-2,-1,2
38,110,64,31,4,114.0,1.0,105,19,2,1,2,2,2,1,-1,1
39,113,64,31,4,117.0,1.0,95,19,2,1,2,2,0,0,0,1
40,116,69,34,9,120.0,1.0,105,20,7,4,7,5,5,3,1,2
41,119,76,38,4,123.0,1.0,95,20,14,8,2,2,2,1,1,3
42,122,78,39,6,126.0,1.0,105,21,16,9,4,3,2,1,1,4
43,125,79,40,7,129.0,1.0,95,21,17,10,5,4,1,1,1,5
44,128,74,37,2,132.0,1.0,105,22,12,7,0,1,-2,-1,-1,4
45,131,66,32,6,135.0,1.0,95,22,4,2,4,3,-3,-2,-1,3
46,134,64,31,4,138.0,1.0,105,23,2,1,2,2,2,1,-1,2
47,137,62,30,2,141.0,3.0,95,23,0,0,0,1,-2,-1,-1,1
48,138,69,34,9,144.0,1.0,105,24,7,4,7,5,7,4,1,2
49,141,76,38,4,147.0,1.0,95,24,14,8,2,2,2,1,1,3
50,144,78,39,6,150.0,1.0,105,25,16,9,4,3,2,1,1,4
51,147,79,40,7,153.0,1.0,95,25,17,10,5,4,1,1,1,5
52,150,74,37,2,156.0,1.0,105,26,12,7,0,1,-2,-1,-1,4
53,153,66,32,6,159.0,1.0,95,26,4,2,4,3,-3,-2,-1,3
54,156,64,31,4,162.0,1.0,105,27,2,1,2,2,2,1,-1,2
55,159,64,31,4,165.0,1.0,95,27,2,1,2,2,0,0,0,2
56,162,69,34,9,168.0,1.0,105,28,7,4,7,5,5,3,1,3
57,165,76,38,4,171.0,1.0,95,28,14,8,2,2,2,1,1,4
58,168,78,39,6,174.0,1.0,105,29,16,9,4,3,2,1,1,5
59,171,79,40,7,177.0,1.0,95,29,17,10,5,4,1,1,1,6
60,174,74,37,2,180.0,1.0,105,30,12,7,0,1,-2,-1,-1,5
61,177,66,32,6,183.0,1.0,95,30,4,2,4,3,-3,-2,-1,4
62,180,64,31,4,186.0,1.0,105,31,2,1,2,2,2,1,-1,3
63,183,62,30,2,189.0,3.0,95,31,0,0,0,1,-2,-1,-1,2
