,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,64,31,4,0.0,1.0,105,0,-5,-3,7,5,0,0,0,0
1,4,71,35,11,4.0,2.0,95,0,2,1,2,2,-2,-1,1,1
2,7,76,38,4,8.0,0.67,105,1,7,4,7,5,-2,-1,1,2
3,12,71,35,11,12.0,1.0,95,1,2,1,2,2,2,1,-1,1
4,16,64,31,4,16.0,1.0,105,2,-5,-3,7,5,-5,-3,-1,0
5,20,71,35,11,20.0,2.0,95,2,2,1,2,2,-2,-1,1,1
6,23,76,38,4,24.0,1.0,105,3,7,4,7,5,-2,-1,1,2
7,27,73,36,1,28.0,1.0,95,3,4,2,4,3,2,1,-1,1
8,31,64,31,4,32.0,1.0,105,4,-5,-3,7,5,-2,-1,-1,0
9,35,71,35,11,36.0,2.0,95,4,2,1,2,2,-2,-1,1,1
10,38,76,38,4,40.0,0.67,105,5,7,4,7,5,-2,-1,1,2
11,43,71,35,11,44.0,1.0,95,5,2,1,2,2,2,1,-1,1
12,47,64,31,4,48.0,1.0,105,6,-5,-3,7,5,-5,-3,-1,0
13,51,71,35,11,52.0,2.0,95,6,2,1,2,2,-2,-1,1,1
14,54,76,38,4,56.0,1.0,105,7,7,4,7,5,-2,-1,1,2
15,58,73,36,1,60.0,1.0,95,7,4,2,4,3,2,1,-1,1
16,61,64,31,4,64.0,1.0,105,8,-5,-3,7,5,-5,-3,-1,0
17,65,71,35,11,68.0,2.0,95,8,2,1,2,2,-2,-1,1,1
18,68,76,38,4,72.0,0.67,105,9,7,4,7,5,-2,-1,1,2
19,73,71,35,11,76.0,1.0,95,9,2,1,2,2,2,1,-1,1
20,77,64,31,4,80.0,1.0,105,10,-5,-3,7,5,-5,-3,-1,0
21,81,71,35,11,84.0,2.0,95,10,2,1,2,2,-2,-1,1,1
22,84,76,38,4,88.0,1.0,105,11,7,4,7,5,-2,-1,1,2
23,88,73,36,1,92.0,1.0,95,11,4,2,4,3,2,1,-1,1
24,92,64,31,4,96.0,1.0,105,12,-5,-3,7,5,-2,-1,-1,0
25,96,71,35,11,100.0,2.0,95,12,2,1,2,2,-2,-1,1,1
26,99,76,38,4,104.0,0.67,105,13,7,4,7,5,-2,-1,1,2
27,104,71,35,11,108.0,1.0,95,13,2,1,2,2,2,1,-1,1
28,108,64,31,4,112.0,1.0,105,14,-5,-3,7,5,-5,-3,-1,0
29,112,71,35,11,116.0,2.0,95,14,2,1,2,2,-2,-1,1,1
30,115,76,38,4,120.0,1.0,105,15,7,4,7,5,-2,-1,1,2
31,119,73,36,1,124.0,1.0,95,15,4,2,4,3,2,1,-1,1
32,122,81,41,9,128.0,1.0,105,16,12,7,0,1,12,7,1,2
33,126,76,38,4,132.0,0.67,95,16,7,4,7,5,-5,-3,-1,1
34,131,74,37,2,136.0,1.0,105,17,5,3,5,4,-2,-1,-1,0
35,135,71,35,11,140.0,1.0,95,17,2,1,2,2,2,1,-1,-1
36,139,81,41,9,144.0,1.0,105,18,12,7,0,1,12,7,1,0
37,143,76,38,4,148.0,1.0,95,18,7,4,7,5,-5,-3,-1,-1
38,147,83,42,11,152.0,1.0,105,19,14,8,2,2,2,1,1,0
39,151,81,41,9,156.0,2.0,95,19,12,7,0,1,-4,-2,-1,-1
40,154,85,43,1,160.0,1.0,105,20,16,9,4,3,2,1,1,0
41,158,76,38,4,164.0,0.67,95,20,7,4,7,5,-5,-3,-1,-1
42,163,74,37,2,168.0,1.0,105,21,5,3,5,4,-2,-1,-1,-2
43,167,71,35,11,172.0,1.0,95,21,2,1,2,2,2,1,-1,-3
44,171,64,31,4,176.0,1.0,105,22,-5,-3,7,5,-5,-3,-1,-4
45,175,71,35,11,180.0,2.0,95,22,2,1,2,2,-2,-1,1,-3
46,178,76,38,4,184.0,1.0,105,23,7,4,7,5,-2,-1,1,-2
47,182,73,36,1,188.0,1.0,95,23,4,2,4,3,2,1,-1,-3
48,185,81,41,9,192.0,1.0,105,24,12,7,0,1,12,7,1,-2
49,189,76,38,4,196.0,0.67,95,24,7,4,7,5,-5,-3,-1,-3
50,194,74,37,2,200.0,1.0,105,25,5,3,5,4,-2,-1,-1,-4
51,198,71,35,11,204.0,1.0,95,25,2,1,2,2,2,1,-1,-5
52,202,81,41,9,208.0,1.0,105,26,12,7,0,1,12,7,1,-4
53,206,76,38,4,212.0,1.0,95,26,7,4,7,5,-5,-3,-1,-5
54,210,83,42,11,216.0,1.0,105,27,14,8,2,2,2,1,1,-4
55,214,81,41,9,220.0,2.0,95,27,12,7,0,1,-4,-2,-1,-5
56,217,85,43,1,224.0,1.0,105,28,16,9,4,3,2,1,1,-4
57,221,76,38,4,228.0,0.67,95,28,7,4,7,5,-5,-3,-1,-5
58,226,74,37,2,232.0,1.0,105,29,5,3,5,4,-2,-1,-1,-6
59,230,71,35,11,236.0,1.0,95,29,2,1,2,2,2,1,-1,-7
60,234,64,31,4,240.0,1.0,105,30,-5,-3,7,5,-5,-3,-1,-8
61,238,71,35,11,244.0,2.0,95,30,2,1,2,2,-2,-1,1,-7
62,241,76,38,4,248.0,1.0,105,31,7,4,7,5,-2,-1,1,-6
63,245,73,36,1,252.0,1.0,95,31,4,2,4,3,2,1,-1,-7
