,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,1,67,33,7,1.0,1.0,105,0,0,0,0,1,0,0,0,0
1,4,74,37,2,4.0,2.0,95,0,7,4,7,5,3,2,1,1
2,6,74,37,2,7.0,2.0,95,0,7,4,7,5,-2,-1,0,1
3,8,69,34,9,10.0,2.0,95,0,2,1,2,2,-2,-1,-1,0
4,10,67,33,7,13.0,1.0,105,1,0,0,0,1,5,3,-1,-1
5,13,69,34,9,16.0,2.0,95,1,2,1,2,2,-2,-1,1,0
6,15,67,33,7,19.0,1.0,95,1,0,0,0,1,-4,-2,-1,-1
7,18,74,37,2,22.0,2.0,95,1,7,4,7,5,3,2,1,0
8,20,67,33,7,25.0,1.0,105,2,0,0,0,1,5,3,-1,-1
9,23,74,37,2,28.0,2.0,95,2,7,4,7,5,3,2,1,0
10,25,74,37,2,31.0,2.0,95,2,7,4,7,5,-2,-1,0,0
11,27,69,34,9,34.0,2.0,95,2,2,1,2,2,-2,-1,-1,-1
12,29,67,33,7,37.0,1.0,105,3,0,0,0,1,5,3,-1,-2
13,32,69,34,9,40.0,2.0,95,3,2,1,2,2,-2,-1,1,-1
14,34,67,33,7,43.0,5.0,95,3,0,0,0,1,-4,-2,-1,-2
15,36,67,33,7,49.0,1.0,105,4,0,0,0,1,5,3,0,-2
16,39,74,37,2,52.0,2.0,95,4,7,4,7,5,3,2,1,-1
17,41,74,37,2,55.0,2.0,95,4,7,4,7,5,-2,-1,0,-1
18,43,69,34,9,58.0,2.0,95,4,2,1,2,2,-2,-1,-1,-2
19,45,67,33,7,61.0,1.0,105,5,0,0,0,1,5,3,-1,-3
20,48,69,34,9,64.0,2.0,95,5,2,1,2,2,-2,-1,1,-2
21,50,67,33,7,67.0,1.0,95,5,0,0,0,1,-4,-2,-1,-3
22,53,74,37,2,70.0,2.0,95,5,7,4,7,5,3,2,1,-2
23,55,67,33,7,73.0,1.0,105,6,0,0,0,1,5,3,-1,-3
24,58,74,37,2,76.0,2.0,95,6,7,4,7,5,3,2,1,-2
25,60,74,37,2,79.0,2.0,95,6,7,4,7,5,-2,-1,0,-2
26,62,69,34,9,82.0,2.0,95,6,2,1,2,2,-2,-1,-1,-3
27,64,67,33,7,85.0,1.0,105,7,0,0,0,1,5,3,-1,-4
28,67,69,34,9,88.0,2.0,95,7,2,1,2,2,-2,-1,1,-3
29,69,67,33,7,91.0,5.0,95,7,0,0,0,1,-4,-2,-1,-4
30,71,79,40,7,97.0,2.0,105,8,12,7,0,1,5,3,1,-3
31,73,79,40,7,100.0,1.0,95,8,12,7,0,1,0,0,0,-3
32,76,78,39,6,103.0,2.0,95,8,11,6,11,7,-1,-1,-1,-4
33,78,78,39,6,106.0,1.0,95,8,11,6,11,7,0,0,0,-4
34,81,76,38,4,109.0,1.0,105,9,9,5,9,6,-2,-1,-1,-5
35,84,74,37,2,112.0,2.0,95,9,7,4,7,5,-5,-3,-1,-6
36,86,69,34,9,115.0,5.0,95,9,2,1,2,2,-2,-1,-1,-7
37,88,79,40,7,121.0,1.0,105,10,12,7,0,1,5,3,1,-6
38,91,79,40,7,124.0,1.0,95,10,12,7,0,1,0,0,0,-6
39,94,78,39,6,127.0,1.0,95,10,11,6,11,7,-1,-1,-1,-7
40,97,78,39,6,130.0,1.0,95,10,11,6,11,7,0,0,0,-7
41,100,79,40,7,133.0,1.0,105,11,12,7,0,1,1,1,1,-6
42,103,72,36,0,136.0,2.0,95,11,5,3,5,4,1,1,-1,-7
43,105,67,33,7,139.0,5.0,95,11,0,0,0,1,1,1,-1,-8
44,107,79,40,7,145.0,2.0,105,12,12,7,0,1,5,3,1,-7
45,109,79,40,7,148.0,1.0,95,12,12,7,0,1,0,0,0,-7
46,112,78,39,6,151.0,2.0,95,12,11,6,11,7,-1,-1,-1,-8
47,114,78,39,6,154.0,3.0,95,12,11,6,11,7,0,0,0,-8
48,115,76,38,4,157.0,1.0,105,13,9,5,9,6,-2,-1,-1,-9
49,118,74,37,2,160.0,2.0,95,13,7,4,7,5,-5,-3,-1,-10
50,120,69,34,9,163.0,5.0,95,13,2,1,2,2,-2,-1,-1,-11
51,122,67,33,7,169.0,1.0,105,14,0,0,0,1,5,3,-1,-12
52,125,74,37,2,172.0,2.0,95,14,7,4,7,5,3,2,1,-11
53,127,74,37,2,175.0,2.0,95,14,7,4,7,5,-2,-1,0,-11
54,129,69,34,9,178.0,2.0,95,14,2,1,2,2,-2,-1,-1,-12
55,131,71,35,11,181.0,1.0,105,15,4,2,4,3,-1,-1,1,-11
56,134,69,34,9,184.0,2.0,95,15,2,1,2,2,2,1,-1,-12
57,136,67,33,7,187.0,5.0,95,15,0,0,0,1,1,1,-1,-13
