,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,67,33,7,0.0,2.0,105,0,0,0,0,1,0,0,0,0
1,3,69,34,9,4.0,3.0,95,0,2,1,2,2,2,1,1,1
2,5,64,31,4,8.0,1.0,105,1,-3,-2,9,6,-3,-2,-1,0
3,9,62,30,2,12.0,2.0,95,1,-5,-3,7,5,-2,-1,-1,-1
4,12,67,33,7,16.0,2.0,105,2,0,0,0,1,1,1,1,0
5,15,69,34,9,20.0,1.0,95,2,2,1,2,2,2,1,1,1
6,19,67,33,7,24.0,1.0,105,3,0,0,0,1,-4,-2,-1,0
7,23,69,34,9,28.0,3.0,95,3,2,1,2,2,2,1,1,1
8,25,67,33,7,32.0,2.0,105,4,0,0,0,1,1,1,-1,0
9,28,69,34,9,36.0,3.0,95,4,2,1,2,2,2,1,1,1
10,30,64,31,4,40.0,1.0,105,5,-3,-2,9,6,-3,-2,-1,0
11,34,62,30,2,44.0,2.0,95,5,-5,-3,7,5,-2,-1,-1,-1
12,37,67,33,7,48.0,2.0,105,6,0,0,0,1,1,1,1,0
13,40,69,34,9,52.0,1.0,95,6,2,1,2,2,2,1,1,1
14,44,67,33,7,56.0,1.0,105,7,0,0,0,1,-4,-2,-1,0
15,48,67,33,7,60.0,4.0,95,7,0,0,0,1,0,0,0,0
16,49,69,34,9,64.0,1.0,105,8,2,1,2,2,2,1,1,1
17,53,74,37,2,68.0,1.0,95,8,7,4,7,5,-2,-1,1,2
18,57,71,35,11,72.0,1.0,105,9,4,2,4,3,-1,-1,-1,1
19,61,69,34,9,76.0,1.0,95,9,2,1,2,2,-2,-1,-1,0
20,65,62,30,2,80.0,1.0,105,10,-5,-3,7,5,-5,-3,-1,-1
21,69,69,34,9,84.0,1.0,95,10,2,1,2,2,-2,-1,1,0
22,73,69,34,9,88.0,1.0,105,11,2,1,2,2,2,1,0,0
23,77,69,34,9,92.0,3.0,95,11,2,1,2,2,2,1,0,0
24,79,74,37,2,96.0,3.0,105,12,7,4,7,5,3,2,1,1
25,81,78,39,6,100.0,2.0,95,12,11,6,11,7,2,1,1,2
26,84,72,36,0,104.0,2.0,105,13,5,3,5,4,-2,-1,-1,1
27,87,71,35,11,108.0,1.0,95,13,4,2,4,3,-1,-1,-1,0
28,91,62,30,2,112.0,1.0,105,14,-5,-3,7,5,-2,-1,-1,-1
29,95,69,34,9,116.0,1.0,95,14,2,1,2,2,-2,-1,1,0
30,99,69,34,9,120.0,1.0,105,15,2,1,2,2,2,1,0,0
31,103,69,34,9,124.0,4.0,95,15,2,1,2,2,-2,-1,0,0
