,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,76,38,4,0.0,1.5,105,0,9,5,9,6,0,0,0,0
1,7,64,31,4,6.0,3.0,105,1,-3,-2,9,6,-7,-4,-1,-1
2,11,67,33,7,12.0,3.0,105,2,0,0,0,1,1,1,1,0
3,15,74,37,2,18.0,1.0,105,3,7,4,7,5,2,1,1,1
4,20,76,38,4,24.0,1.5,105,4,9,5,9,6,-3,-2,1,2
5,27,64,31,4,30.0,3.0,105,5,-3,-2,9,6,-7,-4,-1,1
6,31,67,33,7,36.0,2.0,105,6,0,0,0,1,1,1,1,2
7,34,74,37,2,42.0,3.0,105,7,7,4,7,5,3,2,1,3
8,38,76,38,4,48.0,1.5,105,8,9,5,9,6,-3,-2,1,4
9,45,64,31,4,54.0,3.0,105,9,-3,-2,9,6,-7,-4,-1,3
10,49,67,33,7,60.0,3.0,105,10,0,0,0,1,1,1,1,4
11,53,74,37,2,66.0,1.0,105,11,7,4,7,5,2,1,1,5
12,56,72,36,0,72.0,1.5,105,12,5,3,5,4,-2,-1,-1,4
13,60,79,40,7,78.0,0.67,105,13,12,7,0,1,1,1,1,5
14,65,78,39,6,84.0,1.5,105,14,11,6,11,7,-1,-1,-1,4
15,69,72,36,0,90.0,3.0,105,15,5,3,5,4,-2,-1,-1,3
16,73,76,38,4,96.0,1.5,105,16,9,5,9,6,-3,-2,1,4
17,80,64,31,4,102.0,3.0,105,17,-3,-2,9,6,-7,-4,-1,3
18,84,67,33,7,108.0,3.0,105,18,0,0,0,1,1,1,1,4
19,88,74,37,2,114.0,1.0,105,19,7,4,7,5,2,1,1,5
20,93,76,38,4,120.0,1.5,105,20,9,5,9,6,-3,-2,1,6
21,100,64,31,4,126.0,3.0,105,21,-3,-2,9,6,-7,-4,-1,5
22,104,67,33,7,132.0,2.0,105,22,0,0,0,1,1,1,1,6
23,107,74,37,2,138.0,3.0,105,23,7,4,7,5,3,2,1,7
24,111,76,38,4,144.0,1.5,105,24,9,5,9,6,-3,-2,1,8
25,118,64,31,4,150.0,3.0,105,25,-3,-2,9,6,-7,-4,-1,7
26,122,67,33,7,156.0,3.0,105,26,0,0,0,1,1,1,1,8
27,126,74,37,2,162.0,1.0,105,27,7,4,7,5,2,1,1,9
28,129,72,36,0,168.0,1.5,105,28,5,3,5,4,-2,-1,-1,8
29,133,79,40,7,174.0,0.67,105,29,12,7,0,1,1,1,1,9
30,138,78,39,6,180.0,1.5,105,30,11,6,11,7,-1,-1,-1,8
31,142,72,36,0,186.0,6.0,105,31,5,3,5,4,-2,-1,-1,7
32,143,81,41,9,192.0,1.5,105,32,14,8,2,2,9,5,1,8
33,147,81,41,9,198.0,1.5,105,33,14,8,2,2,7,4,0,8
34,151,79,40,7,204.0,1.5,105,34,12,7,0,1,5,3,-1,7
35,155,79,40,7,210.0,1.5,105,35,12,7,0,1,7,4,0,7
36,159,81,41,9,216.0,1.5,105,36,14,8,2,2,9,5,1,8
37,163,81,41,9,222.0,1.5,105,37,14,8,2,2,7,4,0,8
38,167,79,40,7,228.0,2.0,105,38,12,7,0,1,5,3,-1,7
39,170,72,36,0,234.0,6.0,105,39,5,3,5,4,-2,-1,-1,6
40,171,81,41,9,240.0,1.5,105,40,14,8,2,2,9,5,1,7
41,175,81,41,9,246.0,1.5,105,41,14,8,2,2,9,5,0,7
42,179,79,40,7,252.0,1.5,105,42,12,7,0,1,7,4,-1,6
43,183,79,40,7,258.0,1.5,105,43,12,7,0,1,8,5,0,6
44,187,81,41,9,264.0,1.5,105,44,14,8,2,2,10,6,1,7
45,191,81,41,9,270.0,1.5,105,45,14,8,2,2,7,4,0,7
46,195,79,40,7,276.0,2.0,105,46,12,7,0,1,5,3,-1,6
47,198,72,36,0,282.0,6.0,105,47,5,3,5,4,-2,-1,-1,5
48,199,81,41,9,288.0,1.5,105,48,14,8,2,2,9,5,1,6
49,203,81,41,9,294.0,1.5,105,49,14,8,2,2,7,4,0,6
50,207,79,40,7,300.0,1.5,105,50,12,7,0,1,5,3,-1,5
51,211,79,40,7,306.0,1.5,105,51,12,7,0,1,7,4,0,5
52,215,81,41,9,312.0,1.5,105,52,14,8,2,2,9,5,1,6
53,219,81,41,9,318.0,1.5,105,53,14,8,2,2,7,4,0,6
54,223,79,40,7,324.0,2.0,105,54,12,7,0,1,5,3,-1,5
55,226,72,36,0,330.0,6.0,105,55,5,3,5,4,-2,-1,-1,4
56,227,81,41,9,336.0,1.5,105,56,14,8,2,2,9,5,1,5
57,231,81,41,9,342.0,1.5,105,57,14,8,2,2,9,5,0,5
58,235,79,40,7,348.0,1.5,105,58,12,7,0,1,7,4,-1,4
59,239,79,40,7,354.0,1.5,105,59,12,7,0,1,8,5,0,4
60,243,81,41,9,360.0,1.5,105,60,14,8,2,2,10,6,1,5
61,247,81,41,9,366.0,1.5,105,61,14,8,2,2,7,4,0,5
62,251,79,40,7,372.0,2.0,105,62,12,7,0,1,5,3,-1,4
63,254,72,36,0,378.0,2.0,105,63,5,3,5,4,-2,-1,-1,3
64,257,76,38,4,384.0,6.0,105,64,9,5,9,6,5,3,1,4
