,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,69,34,9,2.0,2.0,105,0,7,4,7,5,0,0,0,0
1,4,74,37,2,6.0,1.5,95,0,12,7,0,1,0,0,1,1
2,8,76,38,4,10.0,2.0,105,1,14,8,2,2,2,1,1,2
3,10,71,35,11,14.0,2.0,95,1,9,5,9,6,0,0,-1,1
4,13,73,36,1,18.0,2.0,105,2,11,6,11,7,-1,-1,1,2
5,15,67,33,7,22.0,2.0,95,2,5,3,5,4,3,2,-1,1
6,17,71,35,11,26.0,1.5,105,3,9,5,9,6,-2,-1,1,2
7,21,69,34,9,30.0,0.67,95,3,7,4,7,5,-2,-1,-1,1
8,27,69,34,9,34.0,2.0,105,4,7,4,7,5,2,1,0,1
9,29,74,37,2,38.0,2.0,95,4,12,7,0,1,0,0,1,2
10,33,76,38,4,42.0,2.0,105,5,14,8,2,2,2,1,1,3
11,35,71,35,11,46.0,2.0,95,5,9,5,9,6,0,0,-1,2
12,39,73,36,1,50.0,1.5,105,6,11,6,11,7,-1,-1,1,3
13,43,69,34,9,54.0,1.5,95,6,7,4,7,5,1,1,-1,2
14,48,74,37,2,58.0,2.0,105,7,12,7,0,1,1,1,1,3
15,50,62,30,2,62.0,2.0,95,7,0,0,0,1,0,0,-1,2
16,53,69,34,9,66.0,2.0,105,8,7,4,7,5,2,1,1,3
17,55,74,37,2,70.0,1.5,95,8,12,7,0,1,0,0,1,4
18,59,76,38,4,74.0,2.0,105,9,14,8,2,2,2,1,1,5
19,61,71,35,11,78.0,2.0,95,9,9,5,9,6,0,0,-1,4
20,64,73,36,1,82.0,2.0,105,10,11,6,11,7,-1,-1,1,5
21,66,67,33,7,86.0,2.0,95,10,5,3,5,4,3,2,-1,4
22,68,71,35,11,90.0,1.5,105,11,9,5,9,6,-2,-1,1,5
23,72,69,34,9,94.0,0.67,95,11,7,4,7,5,-2,-1,-1,4
24,78,69,34,9,98.0,2.0,105,12,7,4,7,5,2,1,0,4
25,80,74,37,2,102.0,2.0,95,12,12,7,0,1,0,0,1,5
26,84,76,38,4,106.0,2.0,105,13,14,8,2,2,2,1,1,6
27,86,71,35,11,110.0,2.0,95,13,9,5,9,6,0,0,-1,5
28,90,73,36,1,114.0,1.5,105,14,11,6,11,7,-1,-1,1,6
29,94,69,34,9,118.0,1.5,95,14,7,4,7,5,1,1,-1,5
30,99,74,37,2,122.0,2.0,105,15,12,7,0,1,1,1,1,6
31,101,62,30,2,126.0,2.0,95,15,0,0,0,1,0,0,-1,5
32,103,71,35,11,130.0,2.0,105,16,9,5,9,6,-1,-1,1,6
33,106,67,33,7,134.0,2.0,95,16,5,3,5,4,-2,-1,-1,5
34,108,71,35,11,138.0,1.5,105,17,9,5,9,6,4,2,1,6
35,112,74,37,2,142.0,2.0,95,17,12,7,0,1,3,2,1,7
36,114,78,39,6,146.0,1.5,105,18,16,9,4,3,-1,-1,1,8
37,118,72,36,0,150.0,2.0,95,18,10,6,10,7,1,1,-1,7
38,120,78,39,6,154.0,1.5,105,19,16,9,4,3,4,2,1,8
39,124,76,38,4,158.0,1.5,95,19,14,8,2,2,-2,-1,-1,7
40,129,71,35,11,162.0,2.0,105,20,9,5,9,6,-1,-1,-1,6
41,132,67,33,7,166.0,2.0,95,20,5,3,5,4,-2,-1,-1,5
42,134,71,35,11,170.0,1.5,105,21,9,5,9,6,4,2,1,6
43,139,74,37,2,174.0,2.0,95,21,12,7,0,1,3,2,1,7
44,141,78,39,6,178.0,2.0,105,22,16,9,4,3,-1,-1,1,8
45,144,72,36,0,182.0,1.5,95,22,10,6,10,7,1,1,-1,7
46,149,74,37,2,186.0,1.5,105,23,12,7,0,1,-2,-1,1,8
47,153,67,33,7,190.0,2.0,95,23,5,3,5,4,1,1,-1,7
48,155,71,35,11,194.0,2.0,105,24,9,5,9,6,-1,-1,1,8
49,158,67,33,7,198.0,2.0,95,24,5,3,5,4,-2,-1,-1,7
50,160,71,35,11,202.0,1.5,105,25,9,5,9,6,4,2,1,8
51,164,74,37,2,206.0,2.0,95,25,12,7,0,1,3,2,1,9
52,166,78,39,6,210.0,1.5,105,26,16,9,4,3,-1,-1,1,10
53,170,72,36,0,214.0,2.0,95,26,10,6,10,7,1,1,-1,9
54,172,78,39,6,218.0,1.5,105,27,16,9,4,3,4,2,1,10
55,176,76,38,4,222.0,1.5,95,27,14,8,2,2,-2,-1,-1,9
56,181,71,35,11,226.0,2.0,105,28,9,5,9,6,-1,-1,-1,8
57,184,67,33,7,230.0,2.0,95,28,5,3,5,4,-2,-1,-1,7
58,186,71,35,11,234.0,1.5,105,29,9,5,9,6,4,2,1,8
59,191,74,37,2,238.0,2.0,95,29,12,7,0,1,3,2,1,9
60,193,78,39,6,242.0,2.0,105,30,16,9,4,3,-1,-1,1,10
61,196,72,36,0,246.0,1.5,95,30,10,6,10,7,1,1,-1,9
62,201,74,37,2,250.0,1.5,105,31,12,7,0,1,-2,-1,1,10
63,205,67,33,7,254.0,2.0,95,31,5,3,5,4,1,1,-1,9
64,208,69,34,9,258.0,2.0,105,32,7,4,7,5,2,1,1,10
65,210,74,37,2,262.0,2.0,95,32,12,7,0,1,5,3,1,11
66,212,78,39,6,266.0,1.5,105,33,16,9,4,3,4,2,1,12
67,216,76,38,4,270.0,2.0,95,33,14,8,2,2,-2,-1,-1,11
68,218,73,36,1,274.0,2.0,105,34,11,6,11,7,2,1,-1,10
69,220,73,36,1,278.0,1.5,95,34,11,6,11,7,4,2,0,10
70,224,71,35,11,282.0,1.5,105,35,9,5,9,6,-2,-1,-1,9
71,228,71,35,11,286.0,1.5,95,35,9,5,9,6,4,2,0,9
72,233,69,34,9,290.0,2.0,105,36,7,4,7,5,2,1,-1,8
73,236,74,37,2,294.0,2.0,95,36,12,7,0,1,5,3,1,9
74,239,78,39,6,298.0,2.0,105,37,16,9,4,3,4,2,1,10
75,243,76,38,4,302.0,1.5,95,37,14,8,2,2,-2,-1,-1,9
76,247,73,36,1,306.0,2.0,105,38,11,6,11,7,2,1,-1,8
77,250,73,36,1,310.0,2.0,95,38,11,6,11,7,4,2,0,8
78,254,76,38,4,314.0,2.0,105,39,14,8,2,2,3,2,1,9
79,256,74,37,2,318.0,2.0,95,39,12,7,0,1,1,1,-1,8
80,259,69,34,9,322.0,2.0,105,40,7,4,7,5,2,1,-1,7
81,261,74,37,2,326.0,2.0,95,40,12,7,0,1,5,3,1,8
82,263,78,39,6,330.0,1.5,105,41,16,9,4,3,4,2,1,9
83,267,76,38,4,334.0,2.0,95,41,14,8,2,2,-2,-1,-1,8
84,269,73,36,1,338.0,2.0,105,42,11,6,11,7,2,1,-1,7
85,271,73,36,1,342.0,1.5,95,42,11,6,11,7,4,2,0,7
86,275,71,35,11,346.0,1.5,105,43,9,5,9,6,-2,-1,-1,6
87,279,71,35,11,350.0,1.5,95,43,9,5,9,6,4,2,0,6
88,284,69,34,9,354.0,2.0,105,44,7,4,7,5,2,1,-1,5
89,287,74,37,2,358.0,2.0,95,44,12,7,0,1,5,3,1,6
90,290,78,39,6,362.0,2.0,105,45,16,9,4,3,4,2,1,7
91,294,76,38,4,366.0,1.5,95,45,14,8,2,2,-2,-1,-1,6
92,298,73,36,1,370.0,2.0,105,46,11,6,11,7,2,1,-1,5
93,301,73,36,1,374.0,2.0,95,46,11,6,11,7,4,2,0,5
94,305,76,38,4,378.0,2.0,105,47,14,8,2,2,3,2,1,6
95,307,74,37,2,382.0,2.0,95,47,12,7,0,1,1,1,-1,5
96,311,67,33,7,386.0,2.0,105,48,5,3,5,4,-5,-3,-1,4
97,314,62,30,2,390.0,2.0,95,48,0,0,0,1,-2,-1,-1,3
98,316,55,26,7,394.0,1.5,105,49,-7,-4,5,4,-7,-4,-1,2
99,320,71,35,11,398.0,2.0,95,49,9,5,9,6,4,2,1,3
100,323,72,36,0,402.0,2.0,105,50,10,6,10,7,1,1,1,4
101,325,78,39,6,406.0,1.5,95,50,16,9,4,3,0,0,1,5
102,329,76,38,4,410.0,1.5,105,51,14,8,2,2,-2,-1,-1,4
103,333,74,37,2,414.0,2.0,95,51,12,7,0,1,-2,-1,-1,3
104,337,67,33,7,418.0,2.0,105,52,5,3,5,4,-5,-3,-1,2
105,340,62,30,2,422.0,2.0,95,52,0,0,0,1,-2,-1,-1,1
106,343,55,26,7,426.0,1.5,105,53,-7,-4,5,4,-4,-2,-1,0
107,347,71,35,11,430.0,2.0,95,53,9,5,9,6,4,2,1,1
108,351,72,36,0,434.0,2.0,105,54,10,6,10,7,1,1,1,2
109,353,76,38,4,438.0,1.5,95,54,14,8,2,2,0,0,1,3
110,357,76,38,4,442.0,1.5,105,55,14,8,2,2,3,2,0,3
111,362,67,33,7,446.0,2.0,95,55,5,3,5,4,1,1,-1,2
112,366,67,33,7,450.0,2.0,105,56,5,3,5,4,-5,-3,0,2
113,369,62,30,2,454.0,2.0,95,56,0,0,0,1,-2,-1,-1,1
114,371,55,26,7,458.0,1.5,105,57,-7,-4,5,4,-7,-4,-1,0
115,375,71,35,11,462.0,2.0,95,57,9,5,9,6,4,2,1,1
116,378,72,36,0,466.0,2.0,105,58,10,6,10,7,1,1,1,2
117,380,78,39,6,470.0,1.5,95,58,16,9,4,3,0,0,1,3
118,384,76,38,4,474.0,1.5,105,59,14,8,2,2,-2,-1,-1,2
119,388,74,37,2,478.0,2.0,95,59,12,7,0,1,-2,-1,-1,1
120,392,67,33,7,482.0,2.0,105,60,5,3,5,4,-5,-3,-1,0
121,395,62,30,2,486.0,2.0,95,60,0,0,0,1,-2,-1,-1,-1
122,398,55,26,7,490.0,1.5,105,61,-7,-4,5,4,-4,-2,-1,-2
123,402,71,35,11,494.0,2.0,95,61,9,5,9,6,4,2,1,-1
124,406,72,36,0,498.0,2.0,105,62,10,6,10,7,1,1,1,0
125,408,76,38,4,502.0,1.5,95,62,14,8,2,2,0,0,1,1
126,412,76,38,4,506.0,1.5,105,63,14,8,2,2,3,2,0,1
127,417,67,33,7,510.0,2.0,95,63,5,3,5,4,1,1,-1,0
