,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,74,37,2,0.0,2.0,105,0,7,4,7,5,0,0,0,0
1,2,71,35,11,3.0,1.0,95,0,4,2,4,3,-1,-1,-1,-1
2,5,64,31,4,6.0,0.5,105,1,-3,-2,9,6,-3,-2,-1,-2
3,9,60,29,0,9.0,1.0,95,1,-7,-4,5,4,-4,-2,-1,-3
4,12,62,30,2,12.0,1.0,105,2,-5,-3,7,5,-5,-3,1,-2
5,15,72,36,0,15.0,1.0,95,2,5,3,5,4,3,2,1,-1
6,18,67,33,7,18.0,1.0,105,3,0,0,0,1,-2,-1,-1,-2
7,21,74,37,2,21.0,1.0,95,3,7,4,7,5,-2,-1,1,-1
8,24,74,37,2,24.0,1.0,105,4,7,4,7,5,2,1,0,-1
9,27,74,37,2,27.0,1.0,95,4,7,4,7,5,-2,-1,0,-1
10,30,64,31,4,30.0,0.5,105,5,-3,-2,9,6,-3,-2,-1,-2
11,34,60,29,0,33.0,1.0,95,5,-7,-4,5,4,-4,-2,-1,-3
12,37,62,30,2,36.0,1.0,105,6,-5,-3,7,5,-5,-3,1,-2
13,40,71,35,11,39.0,1.0,95,6,4,2,4,3,-1,-1,1,-1
14,43,69,34,9,42.0,1.0,105,7,2,1,2,2,3,2,-1,-2
15,46,67,33,7,45.0,1.0,95,7,0,0,0,1,1,1,-1,-3
16,49,74,37,2,48.0,2.0,105,8,7,4,7,5,2,1,1,-2
17,51,71,35,11,51.0,1.0,95,8,4,2,4,3,-1,-1,-1,-3
18,54,64,31,4,54.0,0.5,105,9,-3,-2,9,6,-3,-2,-1,-4
19,58,60,29,0,57.0,1.0,95,9,-7,-4,5,4,-4,-2,-1,-5
20,61,62,30,2,60.0,1.0,105,10,-5,-3,7,5,-5,-3,1,-4
21,64,72,36,0,63.0,1.0,95,10,5,3,5,4,3,2,1,-3
22,67,67,33,7,66.0,1.0,105,11,0,0,0,1,-2,-1,-1,-4
23,70,74,37,2,69.0,1.0,95,11,7,4,7,5,-2,-1,1,-3
24,73,74,37,2,72.0,1.0,105,12,7,4,7,5,2,1,0,-3
25,76,74,37,2,75.0,1.0,95,12,7,4,7,5,-2,-1,0,-3
26,79,64,31,4,78.0,0.5,105,13,-3,-2,9,6,-3,-2,-1,-4
27,83,60,29,0,81.0,1.0,95,13,-7,-4,5,4,-4,-2,-1,-5
28,86,62,30,2,84.0,1.0,105,14,-5,-3,7,5,-5,-3,1,-4
29,89,71,35,11,87.0,1.0,95,14,4,2,4,3,-1,-1,1,-3
30,92,69,34,9,90.0,1.0,105,15,2,1,2,2,3,2,-1,-4
31,95,67,33,7,93.0,2.0,95,15,0,0,0,1,1,1,-1,-5
32,97,67,33,7,96.0,1.0,105,16,0,0,0,1,5,3,0,-5
33,100,79,40,7,99.0,1.0,95,16,12,7,0,1,5,3,1,-4
34,103,76,38,4,102.0,1.0,105,17,9,5,9,6,-3,-2,-1,-5
35,106,74,37,2,105.0,1.0,95,17,7,4,7,5,-2,-1,-1,-6
36,109,69,34,9,108.0,1.0,105,18,2,1,2,2,2,1,-1,-7
37,112,81,41,9,111.0,2.0,95,18,14,8,2,2,5,3,1,-6
38,114,78,39,6,114.0,0.5,105,19,11,6,11,7,-1,-1,-1,-7
39,118,74,37,2,117.0,1.0,95,19,7,4,7,5,-4,-2,-1,-8
40,121,79,40,7,120.0,1.0,105,20,12,7,0,1,1,1,1,-7
41,124,74,37,2,123.0,1.0,95,20,7,4,7,5,-5,-3,-1,-8
42,127,64,31,4,126.0,0.5,105,21,-3,-2,9,6,-3,-2,-1,-9
43,131,60,29,0,129.0,1.0,95,21,-7,-4,5,4,-4,-2,-1,-10
44,134,62,30,2,132.0,1.0,105,22,-5,-3,7,5,-5,-3,1,-9
45,137,71,35,11,135.0,1.0,95,22,4,2,4,3,-1,-1,1,-8
46,140,69,34,9,138.0,1.0,105,23,2,1,2,2,3,2,-1,-9
47,143,67,33,7,141.0,3.0,95,23,0,0,0,1,1,1,-1,-10
48,144,67,33,7,144.0,1.0,105,24,0,0,0,1,0,0,0,-10
49,147,79,40,7,147.0,1.0,95,24,12,7,0,1,5,3,1,-9
50,150,76,38,4,150.0,1.0,105,25,9,5,9,6,-3,-2,-1,-10
51,153,74,37,2,153.0,1.0,95,25,7,4,7,5,-2,-1,-1,-11
52,156,69,34,9,156.0,1.0,105,26,2,1,2,2,2,1,-1,-12
53,159,81,41,9,159.0,2.0,95,26,14,8,2,2,5,3,1,-11
54,161,78,39,6,162.0,0.5,105,27,11,6,11,7,-1,-1,-1,-12
55,165,74,37,2,165.0,1.0,95,27,7,4,7,5,-4,-2,-1,-13
56,168,79,40,7,168.0,1.0,105,28,12,7,0,1,1,1,1,-12
57,171,74,37,2,171.0,1.0,95,28,7,4,7,5,-5,-3,-1,-13
58,174,64,31,4,174.0,0.5,105,29,-3,-2,9,6,-3,-2,-1,-14
59,178,60,29,0,177.0,1.0,95,29,-7,-4,5,4,-4,-2,-1,-15
60,181,62,30,2,180.0,1.0,105,30,-5,-3,7,5,-5,-3,1,-14
61,184,71,35,11,183.0,1.0,95,30,4,2,4,3,-1,-1,1,-13
62,187,69,34,9,186.0,1.0,105,31,2,1,2,2,3,2,-1,-14
63,190,67,33,7,189.0,3.0,95,31,0,0,0,1,1,1,-1,-15
