,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,73,36,1,2.0,2.0,105,0,4,2,4,3,0,0,0,0
1,5,71,35,11,6.0,2.0,95,0,2,1,2,2,-5,-3,-1,-1
2,8,73,36,1,10.0,1.0,105,1,4,2,4,3,2,1,1,0
3,12,71,35,11,14.0,2.0,95,1,2,1,2,2,-5,-3,-1,-1
4,15,73,36,1,18.0,2.0,105,2,4,2,4,3,2,1,1,0
5,18,81,41,9,22.0,1.0,95,2,12,7,0,1,5,3,1,1
6,22,76,38,4,26.0,1.0,105,3,7,4,7,5,0,0,-1,0
7,26,78,39,6,30.0,3.0,95,3,9,5,9,6,2,1,1,1
8,28,81,41,9,34.0,1.0,105,4,12,7,0,1,1,1,1,2
9,32,78,39,6,38.0,1.0,95,4,9,5,9,6,2,1,-1,1
10,36,73,36,1,42.0,1.0,105,5,4,2,4,3,2,1,-1,0
11,40,71,35,11,46.0,2.0,95,5,2,1,2,2,-5,-3,-1,-1
12,43,73,36,1,50.0,1.0,105,6,4,2,4,3,2,1,1,0
13,47,71,35,11,54.0,1.0,95,6,2,1,2,2,-5,-3,-1,-1
14,51,64,31,4,58.0,1.0,105,7,-5,-3,7,5,0,0,-1,-2
15,55,69,34,9,62.0,2.0,95,7,0,0,0,1,-2,-1,1,-1
16,58,73,36,1,66.0,1.0,105,8,4,2,4,3,2,1,1,0
17,62,71,35,11,70.0,2.0,95,8,2,1,2,2,-5,-3,-1,-1
18,65,73,36,1,74.0,2.0,105,9,4,2,4,3,2,1,1,0
19,68,71,35,11,78.0,2.0,95,9,2,1,2,2,-5,-3,-1,-1
20,71,73,36,1,82.0,2.0,105,10,4,2,4,3,2,1,1,0
21,74,81,41,9,86.0,1.0,95,10,12,7,0,1,5,3,1,1
22,78,76,38,4,90.0,1.0,105,11,7,4,7,5,0,0,-1,0
23,82,78,39,6,94.0,3.0,95,11,9,5,9,6,2,1,1,1
24,84,81,41,9,98.0,2.0,105,12,12,7,0,1,1,1,1,2
25,88,78,39,6,102.0,1.0,95,12,9,5,9,6,2,1,-1,1
26,92,73,36,1,106.0,1.0,105,13,4,2,4,3,2,1,-1,0
27,96,71,35,11,110.0,2.0,95,13,2,1,2,2,-5,-3,-1,-1
28,99,73,36,1,114.0,1.0,105,14,4,2,4,3,2,1,1,0
29,103,71,35,11,118.0,1.0,95,14,2,1,2,2,-5,-3,-1,-1
30,107,64,31,4,122.0,1.0,105,15,-5,-3,7,5,0,0,-1,-2
31,111,69,34,9,126.0,2.0,95,15,0,0,0,1,-2,-1,1,-1
32,114,78,39,6,130.0,2.0,105,16,9,5,9,6,2,1,1,0
33,117,78,39,6,134.0,1.0,95,16,9,5,9,6,2,1,0,0
34,124,76,38,4,142.0,1.0,95,16,7,4,7,5,3,2,-1,-1
35,129,71,35,11,146.0,2.0,105,17,2,1,2,2,2,1,-1,-2
36,132,71,35,11,150.0,1.0,95,17,2,1,2,2,2,1,0,-2
37,136,73,36,1,154.0,1.0,105,18,4,2,4,3,2,1,1,-1
38,140,76,38,4,158.0,1.0,95,18,7,4,7,5,3,2,1,0
39,144,78,39,6,162.0,2.0,105,19,9,5,9,6,2,1,1,1
40,147,78,39,6,166.0,1.0,95,19,9,5,9,6,2,1,0,1
41,154,76,38,4,174.0,1.0,95,19,7,4,7,5,3,2,-1,0
42,159,71,35,11,178.0,2.0,105,20,2,1,2,2,2,1,-1,-1
43,162,71,35,11,182.0,1.0,95,20,2,1,2,2,2,1,0,-1
44,166,64,31,4,186.0,1.0,105,21,-5,-3,7,5,-2,-1,-1,-2
45,170,69,34,9,190.0,2.0,95,21,0,0,0,1,-2,-1,1,-1
46,173,78,39,6,194.0,2.0,105,22,9,5,9,6,2,1,1,0
47,176,78,39,6,198.0,1.0,95,22,9,5,9,6,2,1,0,0
48,183,76,38,4,206.0,1.0,95,22,7,4,7,5,3,2,-1,-1
49,188,71,35,11,210.0,2.0,105,23,2,1,2,2,2,1,-1,-2
50,191,71,35,11,214.0,1.0,95,23,2,1,2,2,2,1,0,-2
51,195,73,36,1,218.0,1.0,105,24,4,2,4,3,2,1,1,-1
52,199,76,38,4,222.0,1.0,95,24,7,4,7,5,3,2,1,0
53,203,78,39,6,226.0,2.0,105,25,9,5,9,6,2,1,1,1
54,206,78,39,6,230.0,1.0,95,25,9,5,9,6,2,1,0,1
55,213,76,38,4,238.0,1.0,95,25,7,4,7,5,3,2,-1,0
56,218,71,35,11,242.0,2.0,105,26,2,1,2,2,2,1,-1,-1
57,221,71,35,11,246.0,1.0,95,26,2,1,2,2,2,1,0,-1
58,225,64,31,4,250.0,1.0,105,27,-5,-3,7,5,-2,-1,-1,-2
59,229,69,34,9,254.0,2.0,95,27,0,0,0,1,-2,-1,1,-1
