,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,69,34,9,2.0,0.67,105,0,2,1,2,2,0,0,0,0
1,7,69,34,9,6.0,1.0,95,0,2,1,2,2,5,3,0,0
2,11,57,27,9,10.0,1.0,105,1,-10,-6,2,2,-5,-3,-1,-1
3,15,66,32,6,14.0,1.0,95,1,-1,-1,11,7,2,1,1,0
4,19,72,36,0,18.0,0.67,105,2,5,3,5,4,1,1,1,1
5,24,72,36,0,22.0,1.0,95,2,5,3,5,4,-4,-2,0,1
6,28,60,29,0,26.0,2.0,105,3,-7,-4,5,4,-4,-2,-1,0
7,31,60,29,0,30.0,1.0,95,3,-7,-4,5,4,1,1,0,0
8,35,69,34,9,34.0,1.0,105,4,2,1,2,2,2,1,1,1
9,39,69,34,9,38.0,1.0,95,4,2,1,2,2,7,4,0,1
10,43,69,34,9,42.0,1.0,105,5,2,1,2,2,-3,-2,0,1
11,47,60,29,0,46.0,1.0,95,5,-7,-4,5,4,-2,-1,-1,0
12,51,69,34,9,50.0,1.0,105,6,2,1,2,2,2,1,1,1
13,55,76,38,4,54.0,1.0,95,6,9,5,9,6,2,1,1,2
14,59,72,36,0,58.0,1.0,105,7,5,3,5,4,1,1,-1,1
15,63,62,30,2,62.0,2.0,95,7,-5,-3,7,5,-2,-1,-1,0
16,66,69,34,9,66.0,0.67,105,8,2,1,2,2,-2,-1,1,1
17,71,69,34,9,70.0,1.0,95,8,2,1,2,2,5,3,0,1
18,75,57,27,9,74.0,1.0,105,9,-10,-6,2,2,-5,-3,-1,0
19,79,66,32,6,78.0,1.0,95,9,-1,-1,11,7,2,1,1,1
20,83,72,36,0,82.0,0.67,105,10,5,3,5,4,1,1,1,2
21,88,72,36,0,86.0,1.0,95,10,5,3,5,4,-4,-2,0,2
22,92,60,29,0,90.0,2.0,105,11,-7,-4,5,4,-4,-2,-1,1
23,95,60,29,0,94.0,1.0,95,11,-7,-4,5,4,1,1,0,1
24,99,69,34,9,98.0,1.0,105,12,2,1,2,2,2,1,1,2
25,103,69,34,9,102.0,1.0,95,12,2,1,2,2,7,4,0,2
26,107,69,34,9,106.0,1.0,105,13,2,1,2,2,-3,-2,0,2
27,111,60,29,0,110.0,1.0,95,13,-7,-4,5,4,-2,-1,-1,1
28,115,69,34,9,114.0,1.0,105,14,2,1,2,2,2,1,1,2
29,119,76,38,4,118.0,1.0,95,14,9,5,9,6,2,1,1,3
30,123,72,36,0,122.0,1.0,105,15,5,3,5,4,1,1,-1,2
31,127,62,30,2,126.0,2.0,95,15,-5,-3,7,5,-2,-1,-1,1
32,130,69,34,9,130.0,1.0,105,16,2,1,2,2,-2,-1,1,2
33,134,69,34,9,134.0,1.0,95,16,2,1,2,2,-5,-3,0,2
34,138,81,41,9,138.0,1.0,105,17,14,8,2,2,7,4,1,3
35,142,81,41,9,142.0,1.0,95,17,14,8,2,2,7,4,0,3
36,146,69,34,9,146.0,1.0,105,18,2,1,2,2,-5,-3,-1,2
37,150,69,34,9,150.0,1.0,95,18,2,1,2,2,-3,-2,0,2
38,154,79,40,7,154.0,1.0,105,19,12,7,0,1,7,4,1,3
39,158,79,40,7,158.0,1.0,95,19,12,7,0,1,7,4,0,3
40,162,69,34,9,162.0,1.0,105,20,2,1,2,2,-3,-2,-1,2
41,166,69,34,9,166.0,1.0,95,20,2,1,2,2,-5,-3,0,2
42,170,81,41,9,170.0,1.0,105,21,14,8,2,2,7,4,1,3
43,174,74,37,2,174.0,1.0,95,21,7,4,7,5,0,0,-1,2
44,178,72,36,0,178.0,1.0,105,22,5,3,5,4,1,1,-1,1
45,182,76,38,4,182.0,1.0,95,22,9,5,9,6,2,1,1,2
46,186,72,36,0,186.0,1.0,105,23,5,3,5,4,1,1,-1,1
47,190,62,30,2,190.0,2.0,95,23,-5,-3,7,5,-2,-1,-1,0
48,193,69,34,9,194.0,1.0,105,24,2,1,2,2,-2,-1,1,1
49,197,69,34,9,198.0,1.0,95,24,2,1,2,2,-5,-3,0,1
50,201,81,41,9,202.0,1.0,105,25,14,8,2,2,7,4,1,2
51,205,81,41,9,206.0,1.0,95,25,14,8,2,2,7,4,0,2
52,209,69,34,9,210.0,1.0,105,26,2,1,2,2,-5,-3,-1,1
53,213,69,34,9,214.0,1.0,95,26,2,1,2,2,-3,-2,0,1
54,217,79,40,7,218.0,1.0,105,27,12,7,0,1,7,4,1,2
55,221,79,40,7,222.0,1.0,95,27,12,7,0,1,7,4,0,2
56,225,69,34,9,226.0,1.0,105,28,2,1,2,2,-3,-2,-1,1
57,229,74,37,2,230.0,1.0,95,28,7,4,7,5,1,1,1,2
58,233,81,41,9,234.0,1.0,105,29,14,8,2,2,2,1,1,3
59,237,79,40,7,238.0,2.0,95,29,12,7,0,1,1,1,-1,2
60,240,78,39,6,242.0,1.0,105,30,11,6,11,7,-1,-1,-1,1
61,244,72,36,0,246.0,1.0,95,30,5,3,5,4,1,1,-1,0
62,248,72,36,0,250.0,1.0,105,31,5,3,5,4,-2,-1,0,0
63,252,62,30,2,254.0,4.0,95,31,-5,-3,7,5,-2,-1,-1,-1
