,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,71,35,11,0.0,1.0,105,0,9,5,9,6,0,0,0,0
1,3,71,35,11,4.0,1.0,95,0,9,5,9,6,7,4,0,0
2,7,71,35,11,8.0,1.0,105,1,9,5,9,6,2,1,0,0
3,10,74,37,2,12.0,1.0,95,1,12,7,0,1,10,6,1,1
4,15,71,35,11,16.0,1.0,105,2,9,5,9,6,2,1,-1,0
5,18,71,35,11,20.0,1.0,95,2,9,5,9,6,7,4,0,0
6,22,66,32,6,24.0,1.0,105,3,4,2,4,3,-3,-2,-1,-1
7,25,69,34,9,28.0,1.0,95,3,7,4,7,5,7,4,1,0
8,30,71,35,11,32.0,1.0,105,4,9,5,9,6,2,1,1,1
9,33,74,37,2,36.0,1.0,95,4,12,7,0,1,10,6,1,2
10,36,71,35,11,40.0,1.0,105,5,9,5,9,6,7,4,-1,1
11,39,74,37,2,44.0,1.0,95,5,12,7,0,1,10,6,1,2
12,44,71,35,11,48.0,1.0,105,6,9,5,9,6,2,1,-1,1
13,47,71,35,11,52.0,1.0,95,6,9,5,9,6,7,4,0,1
14,51,66,32,6,56.0,1.0,105,7,4,2,4,3,-3,-2,-1,0
15,54,69,34,9,60.0,1.0,95,7,7,4,7,5,7,4,1,1
16,59,71,35,11,64.0,1.0,105,8,9,5,9,6,2,1,1,2
17,63,74,37,2,68.0,2.0,95,8,12,7,0,1,1,1,1,3
18,66,71,35,11,72.0,1.0,105,9,9,5,9,6,-3,-2,-1,2
19,70,71,35,11,76.0,1.0,95,9,9,5,9,6,-3,-2,0,2
20,75,71,35,11,80.0,1.0,105,10,9,5,9,6,2,1,0,2
21,79,74,37,2,84.0,2.0,95,10,12,7,0,1,1,1,1,3
22,82,71,35,11,88.0,1.0,105,11,9,5,9,6,-3,-2,-1,2
23,86,74,37,2,92.0,1.0,95,11,12,7,0,1,3,2,1,3
24,91,71,35,11,96.0,1.0,105,12,9,5,9,6,2,1,-1,2
25,95,74,37,2,100.0,2.0,95,12,12,7,0,1,1,1,1,3
26,98,71,35,11,104.0,1.0,105,13,9,5,9,6,-3,-2,-1,2
27,102,79,40,7,108.0,1.0,95,13,17,10,5,4,1,1,1,3
28,106,71,35,11,112.0,1.0,105,14,9,5,9,6,-3,-2,-1,2
29,110,74,37,2,116.0,2.0,95,14,12,7,0,1,1,1,1,3
30,113,71,35,11,120.0,1.0,105,15,9,5,9,6,-3,-2,-1,2
31,117,74,37,2,124.0,1.0,95,15,12,7,0,1,3,2,1,3
32,122,71,35,11,128.0,1.0,105,16,9,5,9,6,2,1,-1,2
33,126,71,35,11,132.0,1.0,95,16,9,5,9,6,-3,-2,0,2
34,130,71,35,11,136.0,1.0,105,17,9,5,9,6,-3,-2,0,2
35,133,71,35,11,140.0,1.0,95,17,9,5,9,6,7,4,0,2
36,138,71,35,11,144.0,1.0,105,18,9,5,9,6,2,1,0,2
37,142,71,35,11,148.0,1.0,95,18,9,5,9,6,-3,-2,0,2
38,146,66,32,6,152.0,1.0,105,19,4,2,4,3,-1,-1,-1,1
39,149,69,34,9,156.0,1.0,95,19,7,4,7,5,7,4,1,2
40,154,71,35,11,160.0,1.0,105,20,9,5,9,6,2,1,1,3
41,158,71,35,11,164.0,1.0,95,20,9,5,9,6,-3,-2,0,3
42,162,71,35,11,168.0,1.0,105,21,9,5,9,6,-3,-2,0,3
43,165,71,35,11,172.0,1.0,95,21,9,5,9,6,7,4,0,3
44,168,69,34,9,176.0,2.0,105,22,7,4,7,5,5,3,-1,2
45,172,74,37,2,180.0,3.0,95,22,12,7,0,1,5,3,1,3
46,174,78,39,6,184.0,0.67,105,23,16,9,4,3,2,1,1,4
47,180,74,37,2,188.0,2.0,95,23,12,7,0,1,1,1,-1,3
