,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,67,33,7,2.0,1.0,105,0,0,0,0,1,0,0,0,0
1,5,62,30,2,5.0,1.0,95,0,-5,-3,7,5,-2,-1,-1,-1
2,8,67,33,7,8.0,1.0,105,1,0,0,0,1,1,1,1,0
3,11,72,36,0,11.0,2.0,95,1,5,3,5,4,5,3,1,1
4,13,69,34,9,14.0,1.0,105,2,2,1,2,2,-2,-1,-1,0
5,16,64,31,4,17.0,1.0,95,2,-3,-2,9,6,2,1,-1,-1
6,19,66,32,6,20.0,1.0,105,3,-1,-1,11,7,4,2,1,0
7,22,74,37,2,23.0,1.0,95,3,7,4,7,5,12,7,1,1
8,25,67,33,7,26.0,1.0,105,4,0,0,0,1,-2,-1,-1,0
9,28,62,30,2,29.0,1.0,95,4,-5,-3,7,5,-2,-1,-1,-1
10,31,67,33,7,32.0,1.0,105,5,0,0,0,1,1,1,1,0
11,34,72,36,0,35.0,2.0,95,5,5,3,5,4,5,3,1,1
12,36,69,34,9,38.0,1.0,105,6,2,1,2,2,-2,-1,-1,0
13,39,62,30,2,41.0,1.0,95,6,-5,-3,7,5,0,0,-1,-1
14,42,67,33,7,44.0,1.0,105,7,0,0,0,1,1,1,1,0
15,45,67,33,7,47.0,1.0,95,7,0,0,0,1,-2,-1,0,0
16,48,67,33,7,50.0,1.0,105,8,0,0,0,1,3,2,0,0
17,51,62,30,2,53.0,1.0,95,8,-5,-3,7,5,-2,-1,-1,-1
18,54,67,33,7,56.0,1.0,105,9,0,0,0,1,1,1,1,0
19,57,72,36,0,59.0,2.0,95,9,5,3,5,4,5,3,1,1
20,59,69,34,9,62.0,1.0,105,10,2,1,2,2,-2,-1,-1,0
21,62,64,31,4,65.0,1.0,95,10,-3,-2,9,6,2,1,-1,-1
22,65,66,32,6,68.0,1.0,105,11,-1,-1,11,7,4,2,1,0
23,68,74,37,2,71.0,1.0,95,11,7,4,7,5,12,7,1,1
24,71,67,33,7,74.0,1.0,105,12,0,0,0,1,-2,-1,-1,0
25,74,62,30,2,77.0,1.0,95,12,-5,-3,7,5,-2,-1,-1,-1
26,77,67,33,7,80.0,1.0,105,13,0,0,0,1,1,1,1,0
27,80,72,36,0,83.0,2.0,95,13,5,3,5,4,5,3,1,1
28,82,69,34,9,86.0,1.0,105,14,2,1,2,2,-2,-1,-1,0
29,85,62,30,2,89.0,1.0,95,14,-5,-3,7,5,0,0,-1,-1
30,88,67,33,7,92.0,1.0,105,15,0,0,0,1,1,1,1,0
31,91,67,33,7,95.0,1.0,95,15,0,0,0,1,-2,-1,0,0
32,94,69,34,9,98.0,1.0,105,16,2,1,2,2,-2,-1,1,1
33,97,62,30,2,101.0,1.0,95,16,-5,-3,7,5,0,0,-1,0
34,100,69,34,9,104.0,1.0,105,17,2,1,2,2,7,4,1,1
35,103,74,37,2,107.0,1.0,95,17,7,4,7,5,12,7,1,2
36,106,71,35,11,110.0,1.0,105,18,4,2,4,3,2,1,-1,1
37,109,55,26,7,113.0,1.0,95,18,-12,-7,0,1,-12,-7,-1,0
38,112,71,35,11,116.0,1.0,105,19,4,2,4,3,4,2,1,1
39,115,67,33,7,119.0,1.0,95,19,0,0,0,1,-4,-2,-1,0
40,118,69,34,9,122.0,1.0,105,20,2,1,2,2,-2,-1,1,1
41,121,62,30,2,125.0,1.0,95,20,-5,-3,7,5,0,0,-1,0
42,124,69,34,9,128.0,1.0,105,21,2,1,2,2,7,4,1,1
43,127,79,40,7,131.0,1.0,95,21,12,7,0,1,1,1,1,2
44,130,74,37,2,134.0,1.0,105,22,7,4,7,5,-2,-1,-1,1
45,133,72,36,0,137.0,1.0,95,22,5,3,5,4,5,3,-1,0
46,136,67,33,7,140.0,1.0,105,23,0,0,0,1,1,1,-1,-1
47,139,62,30,2,143.0,1.0,95,23,-5,-3,7,5,0,0,-1,-2
48,142,69,34,9,146.0,1.0,105,24,2,1,2,2,2,1,1,-1
49,145,62,30,2,149.0,1.0,95,24,-5,-3,7,5,0,0,-1,-2
50,148,69,34,9,152.0,1.0,105,25,2,1,2,2,7,4,1,-1
51,151,74,37,2,155.0,1.0,95,25,7,4,7,5,12,7,1,0
52,154,71,35,11,158.0,1.0,105,26,4,2,4,3,2,1,-1,-1
53,157,55,26,7,161.0,1.0,95,26,-12,-7,0,1,-12,-7,-1,-2
54,160,71,35,11,164.0,1.0,105,27,4,2,4,3,4,2,1,-1
55,163,67,33,7,167.0,1.0,95,27,0,0,0,1,-4,-2,-1,-2
56,166,69,34,9,170.0,1.0,105,28,2,1,2,2,-2,-1,1,-1
57,169,62,30,2,173.0,1.0,95,28,-5,-3,7,5,0,0,-1,-2
58,172,69,34,9,176.0,1.0,105,29,2,1,2,2,7,4,1,-1
59,175,79,40,7,179.0,1.0,95,29,12,7,0,1,1,1,1,0
60,178,74,37,2,182.0,1.0,105,30,7,4,7,5,-2,-1,-1,-1
61,181,72,36,0,185.0,1.0,95,30,5,3,5,4,5,3,-1,-2
62,184,67,33,7,188.0,1.0,105,31,0,0,0,1,1,1,-1,-3
63,187,62,30,2,191.0,1.0,95,31,-5,-3,7,5,0,0,-1,-4
64,190,72,36,0,194.0,3.0,105,32,5,3,5,4,1,1,1,-3
65,191,71,35,11,197.0,3.0,95,32,4,2,4,3,-1,-1,-1,-4
66,192,69,34,9,200.0,2.0,105,33,2,1,2,2,-2,-1,-1,-5
67,194,62,30,2,203.0,1.0,95,33,-5,-3,7,5,0,0,-1,-6
68,197,67,33,7,206.0,1.0,105,34,0,0,0,1,1,1,1,-5
69,200,71,35,11,209.0,1.0,95,34,4,2,4,3,4,2,1,-4
70,203,67,33,7,212.0,1.0,105,35,0,0,0,1,-4,-2,-1,-5
71,206,74,37,2,215.0,1.0,95,35,7,4,7,5,3,2,1,-4
72,209,72,36,0,218.0,3.0,105,36,5,3,5,4,5,3,-1,-5
73,210,71,35,11,221.0,3.0,95,36,4,2,4,3,-1,-1,-1,-6
74,211,69,34,9,224.0,1.0,105,37,2,1,2,2,-2,-1,-1,-7
75,214,78,39,6,227.0,1.0,95,37,11,6,11,7,4,2,1,-6
76,217,79,40,7,230.0,1.0,105,38,12,7,0,1,-2,-1,1,-5
77,220,74,37,2,233.0,1.0,95,38,7,4,7,5,2,1,-1,-6
78,223,69,34,9,236.0,1.0,105,39,2,1,2,2,2,1,-1,-7
79,226,67,33,7,239.0,1.0,95,39,0,0,0,1,1,1,-1,-8
80,229,72,36,0,242.0,3.0,105,40,5,3,5,4,1,1,1,-7
81,230,71,35,11,245.0,3.0,95,40,4,2,4,3,-1,-1,-1,-8
82,231,69,34,9,248.0,2.0,105,41,2,1,2,2,-2,-1,-1,-9
83,233,62,30,2,251.0,1.0,95,41,-5,-3,7,5,0,0,-1,-10
84,236,67,33,7,254.0,1.0,105,42,0,0,0,1,1,1,1,-9
85,239,71,35,11,257.0,1.0,95,42,4,2,4,3,4,2,1,-8
86,242,67,33,7,260.0,1.0,105,43,0,0,0,1,-4,-2,-1,-9
87,245,74,37,2,263.0,1.0,95,43,7,4,7,5,3,2,1,-8
88,248,72,36,0,266.0,3.0,105,44,5,3,5,4,5,3,-1,-9
89,249,71,35,11,269.0,3.0,95,44,4,2,4,3,-1,-1,-1,-10
90,250,69,34,9,272.0,1.0,105,45,2,1,2,2,-2,-1,-1,-11
91,253,78,39,6,275.0,1.0,95,45,11,6,11,7,4,2,1,-10
92,256,79,40,7,278.0,1.0,105,46,12,7,0,1,-2,-1,1,-9
