,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,81,41,9,0.0,1.0,105,0,19,11,7,5,0,0,0,0
1,6,79,40,7,4.0,1.0,95,0,17,10,5,4,-4,-2,-1,-1
2,10,81,41,9,8.0,1.0,105,1,19,11,7,5,3,2,1,0
3,14,76,38,4,12.0,1.0,95,1,14,8,2,2,-2,-1,-1,-1
4,19,76,38,4,16.0,1.0,105,2,14,8,2,2,2,1,0,-1
5,25,79,40,7,20.0,1.0,95,2,17,10,5,4,1,1,1,0
6,30,71,35,11,24.0,1.0,105,3,9,5,9,6,-8,-5,-1,-1
7,34,76,38,4,28.0,1.0,95,3,14,8,2,2,-7,-4,1,0
8,37,81,41,9,32.0,1.0,105,4,19,11,7,5,2,1,1,1
9,41,81,41,9,36.0,1.0,95,4,19,11,7,5,3,2,0,1
10,45,81,41,9,40.0,1.0,105,5,19,11,7,5,3,2,0,1
11,48,76,38,4,44.0,1.0,95,5,14,8,2,2,-2,-1,-1,0
12,52,66,32,6,48.0,1.0,105,6,4,2,4,3,-3,-2,-1,-1
13,56,79,40,7,52.0,1.0,95,6,17,10,5,4,1,1,1,0
14,60,73,36,1,56.0,1.0,105,7,11,6,11,7,-1,-1,-1,-1
15,64,62,30,2,60.0,2.0,95,7,0,0,0,1,-2,-1,-1,-2
16,65,81,41,9,64.0,1.0,105,8,19,11,7,5,19,11,1,-1
17,69,81,41,9,68.0,1.0,95,8,19,11,7,5,3,2,0,-1
18,73,81,41,9,72.0,1.0,105,9,19,11,7,5,3,2,0,-1
19,76,76,38,4,76.0,1.0,95,9,14,8,2,2,-2,-1,-1,-2
20,81,76,38,4,80.0,1.0,105,10,14,8,2,2,2,1,0,-2
21,87,79,40,7,84.0,1.0,95,10,17,10,5,4,1,1,1,-1
22,93,76,38,4,88.0,1.0,105,11,14,8,2,2,5,3,-1,-2
23,97,79,40,7,92.0,1.0,95,11,17,10,5,4,3,2,1,-1
24,100,81,41,9,96.0,1.0,105,12,19,11,7,5,2,1,1,0
25,104,81,41,9,100.0,1.0,95,12,19,11,7,5,3,2,0,0
26,108,81,41,9,104.0,1.0,105,13,19,11,7,5,3,2,0,0
27,111,76,38,4,108.0,1.0,95,13,14,8,2,2,-2,-1,-1,-1
28,115,66,32,6,112.0,2.0,105,14,4,2,4,3,-3,-2,-1,-2
29,118,67,33,7,116.0,1.0,95,14,5,3,5,4,1,1,1,-1
30,122,73,36,1,120.0,1.0,105,15,11,6,11,7,-1,-1,1,0
31,126,62,30,2,124.0,2.0,95,15,0,0,0,1,-2,-1,-1,-1
32,127,78,39,6,128.0,0.67,105,16,16,9,4,3,16,9,1,0
33,132,81,41,9,132.0,1.0,95,16,19,11,7,5,3,2,1,1
34,136,79,40,7,136.0,1.0,105,17,17,10,5,4,-2,-1,-1,0
35,140,71,35,11,140.0,0.67,95,17,9,5,9,6,-8,-5,-1,-1
36,144,73,36,1,144.0,1.0,105,18,11,6,11,7,-6,-4,1,0
37,148,76,38,4,148.0,1.0,95,18,14,8,2,2,7,4,1,1
38,152,74,37,2,152.0,2.0,105,19,12,7,0,1,-7,-4,-1,0
39,155,78,39,6,156.0,1.0,95,19,16,9,4,3,2,1,1,1
40,159,66,32,6,160.0,0.67,105,20,4,2,4,3,-1,-1,-1,0
41,164,81,41,9,164.0,1.0,95,20,19,11,7,5,3,2,1,1
42,169,79,40,7,168.0,1.0,105,21,17,10,5,4,-2,-1,-1,0
43,173,67,33,7,172.0,1.0,95,21,5,3,5,4,-4,-2,-1,-1
44,177,73,36,1,176.0,1.0,105,22,11,6,11,7,2,1,1,0
45,180,76,38,4,180.0,1.0,95,22,14,8,2,2,-5,-3,1,1
46,184,74,37,2,184.0,1.0,105,23,12,7,0,1,5,3,-1,0
47,188,74,37,2,188.0,2.0,95,23,12,7,0,1,-4,-2,0,0
48,189,78,39,6,192.0,1.0,105,24,16,9,4,3,4,2,1,1
49,193,69,34,9,196.0,1.0,95,24,7,4,7,5,-9,-5,-1,0
50,197,67,33,7,200.0,1.0,105,25,5,3,5,4,-2,-1,-1,-1
51,201,71,35,11,204.0,0.67,95,25,9,5,9,6,-8,-5,1,0
52,205,73,36,1,208.0,1.0,105,26,11,6,11,7,-6,-4,1,1
53,209,76,38,4,212.0,1.0,95,26,14,8,2,2,3,2,1,2
54,213,74,37,2,216.0,2.0,105,27,12,7,0,1,-2,-1,-1,1
55,216,78,39,6,220.0,1.0,95,27,16,9,4,3,2,1,1,2
56,220,66,32,6,224.0,0.67,105,28,4,2,4,3,-1,-1,-1,1
57,225,81,41,9,228.0,1.0,95,28,19,11,7,5,3,2,1,2
58,228,79,40,7,232.0,1.0,105,29,17,10,5,4,1,1,-1,1
59,234,76,38,4,236.0,1.0,95,29,14,8,2,2,5,3,-1,0
60,238,73,36,1,240.0,1.0,105,30,11,6,11,7,-6,-4,-1,-1
61,241,76,38,4,244.0,1.0,95,30,14,8,2,2,7,4,1,0
62,245,74,37,2,248.0,1.0,105,31,12,7,0,1,5,3,-1,-1
63,249,74,37,2,252.0,2.0,95,31,12,7,0,1,-4,-2,0,-1
