,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,74,37,2,0.0,2.0,105,0,4,2,4,3,0,0,0,0
1,2,74,37,2,4.0,1.0,95,0,4,2,4,3,0,0,0,0
2,6,70,35,10,8.0,6.0,105,1,0,0,0,1,-2,-1,-1,-1
3,9,77,39,5,16.0,2.0,105,2,7,4,7,5,2,1,1,0
4,11,77,39,5,20.0,1.0,95,2,7,4,7,5,0,0,0,0
5,15,74,37,2,24.0,6.0,105,3,4,2,4,3,-1,-1,-1,-1
6,17,79,40,7,32.0,2.0,105,4,9,5,9,6,2,1,1,0
7,19,75,38,3,36.0,3.0,95,4,5,3,5,4,-4,-2,-1,-1
8,21,77,39,5,40.0,2.0,105,5,7,4,7,5,-2,-1,1,0
9,23,74,37,2,44.0,3.0,95,5,4,2,4,3,-3,-2,-1,-1
10,25,72,36,0,48.0,2.0,105,6,2,1,2,2,2,1,-1,-2
11,27,72,36,0,52.0,1.0,95,6,2,1,2,2,0,0,0,-2
12,31,70,35,10,56.0,6.0,105,7,0,0,0,1,-4,-2,-1,-3
13,33,74,37,2,64.0,2.0,95,7,4,2,4,3,0,0,1,-2
14,36,74,37,2,68.0,1.0,95,7,4,2,4,3,-1,-1,0,-2
15,38,70,35,10,70.0,6.0,105,8,0,0,0,1,-2,-1,-1,-3
16,41,77,39,5,78.0,2.0,105,9,7,4,7,5,2,1,1,-2
17,43,77,39,5,82.0,1.0,95,9,7,4,7,5,0,0,0,-2
18,47,74,37,2,86.0,6.0,105,10,4,2,4,3,-1,-1,-1,-3
19,49,79,40,7,94.0,2.0,105,11,9,5,9,6,2,1,1,-2
20,51,75,38,3,98.0,3.0,95,11,5,3,5,4,-4,-2,-1,-3
21,53,77,39,5,102.0,2.0,105,12,7,4,7,5,-2,-1,1,-2
22,55,74,37,2,106.0,3.0,95,12,4,2,4,3,-3,-2,-1,-3
23,57,72,36,0,110.0,2.0,105,13,2,1,2,2,2,1,-1,-4
24,59,72,36,0,114.0,1.0,95,13,2,1,2,2,0,0,0,-4
25,63,70,35,10,118.0,6.0,105,14,0,0,0,1,-4,-2,-1,-5
26,66,72,36,0,126.0,2.0,105,15,2,1,2,2,2,1,1,-4
27,68,72,36,0,130.0,2.0,95,15,2,1,2,2,0,0,0,-4
28,71,74,37,2,134.0,2.0,105,16,4,2,4,3,2,1,1,-3
29,73,74,37,2,138.0,2.0,95,16,4,2,4,3,0,0,0,-3
30,76,75,38,3,142.0,2.0,105,17,5,3,5,4,1,1,1,-2
31,78,75,38,3,146.0,1.0,95,17,5,3,5,4,0,0,0,-2
32,82,77,39,5,150.0,6.0,105,18,7,4,7,5,2,1,1,-1
33,85,72,36,0,158.0,2.0,105,19,2,1,2,2,2,1,-1,-2
34,87,72,36,0,162.0,2.0,95,19,2,1,2,2,0,0,0,-2
35,90,74,37,2,166.0,2.0,105,20,4,2,4,3,2,1,1,-1
36,92,74,37,2,170.0,2.0,95,20,4,2,4,3,0,0,0,-1
37,94,72,36,0,174.0,2.0,105,21,2,1,2,2,2,1,-1,-2
38,96,72,36,0,178.0,1.0,95,21,2,1,2,2,0,0,0,-2
39,100,70,35,10,182.0,6.0,105,22,0,0,0,1,-4,-2,-1,-3
40,103,72,36,0,190.0,2.0,105,23,2,1,2,2,2,1,1,-2
41,105,72,36,0,194.0,2.0,95,23,2,1,2,2,0,0,0,-2
42,108,74,37,2,198.0,2.0,105,24,4,2,4,3,2,1,1,-1
43,110,74,37,2,202.0,2.0,95,24,4,2,4,3,0,0,0,-1
44,113,75,38,3,206.0,2.0,105,25,5,3,5,4,1,1,1,0
45,115,75,38,3,210.0,1.0,95,25,5,3,5,4,0,0,0,0
46,119,77,39,5,214.0,6.0,105,26,7,4,7,5,2,1,1,1
47,122,72,36,0,222.0,2.0,105,27,2,1,2,2,2,1,-1,0
48,124,72,36,0,226.0,2.0,95,27,2,1,2,2,0,0,0,0
49,127,74,37,2,230.0,2.0,105,28,4,2,4,3,2,1,1,1
50,129,74,37,2,234.0,2.0,95,28,4,2,4,3,0,0,0,1
51,131,72,36,0,238.0,2.0,105,29,2,1,2,2,2,1,-1,0
52,133,72,36,0,242.0,1.0,95,29,2,1,2,2,0,0,0,0
53,137,70,35,10,246.0,6.0,105,30,0,0,0,1,-4,-2,-1,-1
