,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,62,30,2,0.0,2.0,105,0,0,0,0,1,0,0,0,0
1,4,66,32,6,4.0,1.0,95,0,4,2,4,3,4,2,1,1
2,8,67,33,7,8.0,2.0,105,1,5,3,5,4,1,1,1,2
3,11,66,32,6,12.0,1.0,95,1,4,2,4,3,-1,-1,-1,1
4,15,74,37,2,16.0,0.67,105,2,12,7,0,1,1,1,1,2
5,21,71,35,11,20.0,1.0,95,2,9,5,9,6,2,1,-1,1
6,25,78,39,6,24.0,1.0,105,3,16,9,4,3,2,1,1,2
7,30,79,40,7,28.0,1.0,95,3,17,10,5,4,5,3,1,3
8,34,62,30,2,32.0,2.0,105,4,0,0,0,1,-12,-7,-1,2
9,38,66,32,6,36.0,1.0,95,4,4,2,4,3,4,2,1,3
10,42,67,33,7,40.0,1.0,105,5,5,3,5,4,1,1,1,4
11,46,61,29,1,44.0,1.0,95,5,-1,-1,11,7,-1,-1,-1,3
12,50,74,37,2,48.0,1.0,105,6,12,7,0,1,8,5,1,4
13,54,76,38,4,52.0,1.0,95,6,14,8,2,2,-2,-1,1,5
14,58,69,34,9,56.0,1.0,105,7,7,4,7,5,-2,-1,-1,4
15,62,62,30,2,60.0,1.0,95,7,0,0,0,1,-2,-1,-1,3
16,66,62,30,2,64.0,2.0,105,8,0,0,0,1,1,1,0,3
17,70,66,32,6,68.0,1.0,95,8,4,2,4,3,4,2,1,4
18,74,67,33,7,72.0,2.0,105,9,5,3,5,4,1,1,1,5
19,77,66,32,6,76.0,1.0,95,9,4,2,4,3,-1,-1,-1,4
20,81,74,37,2,80.0,0.67,105,10,12,7,0,1,1,1,1,5
21,87,71,35,11,84.0,1.0,95,10,9,5,9,6,2,1,-1,4
22,91,78,39,6,88.0,1.0,105,11,16,9,4,3,2,1,1,5
23,96,79,40,7,92.0,1.0,95,11,17,10,5,4,5,3,1,6
24,100,62,30,2,96.0,1.0,105,12,0,0,0,1,-12,-7,-1,5
25,104,62,30,2,100.0,1.0,95,12,0,0,0,1,-7,-4,0,5
26,108,67,33,7,104.0,1.0,105,13,5,3,5,4,-2,-1,1,6
27,114,67,33,7,108.0,1.0,95,13,5,3,5,4,-4,-2,0,6
28,120,74,37,2,112.0,0.67,105,14,12,7,0,1,3,2,1,7
29,126,71,35,11,116.0,1.0,95,14,9,5,9,6,2,1,-1,6
30,130,69,34,9,120.0,1.0,105,15,7,4,7,5,-2,-1,-1,5
31,134,66,32,6,124.0,1.0,95,15,4,2,4,3,2,1,-1,4
32,137,81,41,9,128.0,1.0,105,16,19,11,7,5,19,11,1,5
33,143,81,41,9,132.0,1.0,95,16,19,11,7,5,-2,-1,0,5
34,147,79,40,7,136.0,0.67,105,17,17,10,5,4,1,1,-1,4
35,153,76,38,4,140.0,1.0,95,17,14,8,2,2,-2,-1,-1,3
36,157,74,37,2,144.0,0.67,105,18,12,7,0,1,1,1,-1,2
37,163,71,35,11,148.0,1.0,95,18,9,5,9,6,2,1,-1,1
38,167,78,39,6,152.0,1.0,105,19,16,9,4,3,2,1,1,2
39,171,76,38,4,156.0,1.0,95,19,14,8,2,2,-2,-1,-1,1
40,173,81,41,9,160.0,1.0,105,20,19,11,7,5,5,3,1,2
41,179,81,41,9,164.0,1.0,95,20,19,11,7,5,-2,-1,0,2
42,183,79,40,7,168.0,1.0,105,21,17,10,5,4,1,1,-1,1
43,187,76,38,4,172.0,1.0,95,21,14,8,2,2,-3,-2,-1,0
44,191,74,37,2,176.0,0.67,105,22,12,7,0,1,1,1,-1,-1
45,197,71,35,11,180.0,1.0,95,22,9,5,9,6,2,1,-1,-2
