,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,69,34,9,0.0,1.0,105,0,0,0,0,1,0,0,0,0
1,4,76,38,4,4.0,2.0,95,0,7,4,7,5,3,2,1,1
2,7,71,35,11,8.0,1.0,105,1,2,1,2,2,0,0,-1,0
3,10,78,39,6,12.0,1.0,95,1,9,5,9,6,2,1,1,1
4,14,76,38,4,16.0,1.0,105,2,7,4,7,5,0,0,-1,0
5,17,78,39,6,20.0,1.0,95,2,9,5,9,6,0,0,1,1
6,21,76,38,4,24.0,1.0,105,3,7,4,7,5,0,0,-1,0
7,24,78,39,6,28.0,1.0,95,3,9,5,9,6,0,0,1,1
8,28,69,34,9,32.0,1.0,105,4,0,0,0,1,-2,-1,-1,0
9,32,76,38,4,36.0,2.0,95,4,7,4,7,5,3,2,1,1
10,35,71,35,11,40.0,1.0,105,5,2,1,2,2,0,0,-1,0
11,38,78,39,6,44.0,1.0,95,5,9,5,9,6,2,1,1,1
12,42,76,38,4,48.0,1.0,105,6,7,4,7,5,0,0,-1,0
13,45,78,39,6,52.0,1.0,95,6,9,5,9,6,0,0,1,1
14,49,76,38,4,56.0,1.0,105,7,7,4,7,5,-2,-1,-1,0
15,53,69,34,9,60.0,4.0,95,7,0,0,0,1,-4,-2,-1,-1
16,54,69,34,9,64.0,1.0,105,8,0,0,0,1,0,0,0,-1
17,58,76,38,4,68.0,2.0,95,8,7,4,7,5,3,2,1,0
18,61,71,35,11,72.0,1.0,105,9,2,1,2,2,0,0,-1,-1
19,64,78,39,6,76.0,1.0,95,9,9,5,9,6,2,1,1,0
20,68,76,38,4,80.0,1.0,105,10,7,4,7,5,0,0,-1,-1
21,71,78,39,6,84.0,1.0,95,10,9,5,9,6,0,0,1,0
22,75,76,38,4,88.0,1.0,105,11,7,4,7,5,0,0,-1,-1
23,78,78,39,6,92.0,1.0,95,11,9,5,9,6,0,0,1,0
24,82,69,34,9,96.0,1.0,105,12,0,0,0,1,-2,-1,-1,-1
25,86,76,38,4,100.0,2.0,95,12,7,4,7,5,3,2,1,0
26,89,71,35,11,104.0,1.0,105,13,2,1,2,2,0,0,-1,-1
27,92,78,39,6,108.0,1.0,95,13,9,5,9,6,2,1,1,0
28,96,76,38,4,112.0,1.0,105,14,7,4,7,5,0,0,-1,-1
29,99,78,39,6,116.0,1.0,95,14,9,5,9,6,0,0,1,0
30,103,76,38,4,120.0,1.0,105,15,7,4,7,5,-2,-1,-1,-1
31,107,69,34,9,124.0,4.0,95,15,0,0,0,1,-4,-2,-1,-2
32,108,81,41,9,128.0,1.0,105,16,12,7,0,1,12,7,1,-1
33,112,71,35,11,132.0,3.0,95,16,2,1,2,2,-2,-1,-1,-2
34,114,76,38,4,136.0,1.0,105,17,7,4,7,5,3,2,1,-1
35,117,69,34,9,140.0,2.0,95,17,0,0,0,1,0,0,-1,-2
36,120,76,38,4,144.0,1.0,105,18,7,4,7,5,0,0,1,-1
37,123,78,39,6,148.0,1.0,95,18,9,5,9,6,0,0,1,0
38,127,76,38,4,152.0,1.0,105,19,7,4,7,5,0,0,-1,-1
39,130,78,39,6,156.0,1.0,95,19,9,5,9,6,0,0,1,0
40,134,81,41,9,160.0,1.0,105,20,12,7,0,1,5,3,1,1
41,138,71,35,11,164.0,3.0,95,20,2,1,2,2,-2,-1,-1,0
42,140,76,38,4,168.0,1.0,105,21,7,4,7,5,3,2,1,1
43,143,69,34,9,172.0,2.0,95,21,0,0,0,1,0,0,-1,0
44,146,76,38,4,176.0,1.0,105,22,7,4,7,5,0,0,1,1
45,149,78,39,6,180.0,1.0,95,22,9,5,9,6,0,0,1,2
46,153,76,38,4,184.0,1.0,105,23,7,4,7,5,0,0,-1,1
47,157,69,34,9,188.0,4.0,95,23,0,0,0,1,-4,-2,-1,0
48,158,81,41,9,192.0,1.0,105,24,12,7,0,1,12,7,1,1
49,162,71,35,11,196.0,3.0,95,24,2,1,2,2,-2,-1,-1,0
50,164,76,38,4,200.0,1.0,105,25,7,4,7,5,3,2,1,1
51,167,69,34,9,204.0,2.0,95,25,0,0,0,1,0,0,-1,0
52,170,76,38,4,208.0,1.0,105,26,7,4,7,5,0,0,1,1
53,173,78,39,6,212.0,1.0,95,26,9,5,9,6,0,0,1,2
54,177,76,38,4,216.0,1.0,105,27,7,4,7,5,0,0,-1,1
55,180,78,39,6,220.0,1.0,95,27,9,5,9,6,0,0,1,2
56,184,81,41,9,224.0,1.0,105,28,12,7,0,1,5,3,1,3
57,188,71,35,11,228.0,3.0,95,28,2,1,2,2,-2,-1,-1,2
58,190,76,38,4,232.0,1.0,105,29,7,4,7,5,3,2,1,3
59,193,69,34,9,236.0,2.0,95,29,0,0,0,1,0,0,-1,2
60,196,76,38,4,240.0,1.0,105,30,7,4,7,5,0,0,1,3
61,199,78,39,6,244.0,1.0,95,30,9,5,9,6,0,0,1,4
62,203,76,38,4,248.0,1.0,105,31,7,4,7,5,0,0,-1,3
63,207,69,34,9,252.0,4.0,95,31,0,0,0,1,-4,-2,-1,2
