,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,1,74,37,2,1.0,0.5,105,0,7,4,7,5,0,0,0,0
1,7,69,34,9,5.0,0.5,95,0,2,1,2,2,-2,-1,-1,-1
2,11,60,29,0,9.0,1.5,105,1,-7,-4,5,4,1,1,-1,-2
3,15,67,33,7,13.0,2.0,95,1,0,0,0,1,1,1,1,-1
4,18,69,34,9,17.0,0.67,105,2,2,1,2,2,-2,-1,1,0
5,24,69,34,9,21.0,0.5,95,2,2,1,2,2,-5,-3,0,0
6,28,60,29,0,25.0,1.5,105,3,-7,-4,5,4,1,1,-1,-1
7,32,69,34,9,29.0,2.0,95,3,2,1,2,2,2,1,1,0
8,35,74,37,2,33.0,0.5,105,4,7,4,7,5,-2,-1,1,1
9,41,69,34,9,37.0,0.5,95,4,2,1,2,2,-2,-1,-1,0
10,45,64,31,4,41.0,0.5,105,5,-3,-2,9,6,2,1,-1,-1
11,49,57,27,9,45.0,0.5,95,5,-10,-6,2,2,0,0,-1,-2
12,54,60,29,0,49.0,0.67,105,6,-7,-4,5,4,1,1,1,-1
13,60,64,31,4,53.0,0.67,95,6,-3,-2,9,6,5,3,1,0
14,66,64,31,4,57.0,0.67,105,7,-3,-2,9,6,2,1,0,0
15,72,69,34,9,61.0,2.0,95,7,2,1,2,2,1,1,1,1
16,75,69,34,9,65.0,0.5,105,8,2,1,2,2,-2,-1,0,1
17,79,69,34,9,69.0,0.5,95,8,2,1,2,2,-2,-1,0,1
18,85,67,33,7,73.0,0.5,105,9,0,0,0,1,5,3,-1,0
19,89,59,28,11,77.0,2.0,95,9,-8,-5,4,3,-3,-2,-1,-1
20,92,69,34,9,81.0,0.5,105,10,2,1,2,2,-2,-1,1,0
21,96,69,34,9,85.0,0.5,95,10,2,1,2,2,-2,-1,0,0
22,102,72,36,0,89.0,1.5,105,11,5,3,5,4,-9,-5,1,1
23,106,69,34,9,93.0,2.0,95,11,2,1,2,2,2,1,-1,0
24,109,74,37,2,97.0,0.5,105,12,7,4,7,5,-2,-1,1,1
25,115,69,34,9,101.0,0.5,95,12,2,1,2,2,-2,-1,-1,0
26,119,64,31,4,105.0,0.5,105,13,-3,-2,9,6,2,1,-1,-1
27,123,57,27,9,109.0,0.5,95,13,-10,-6,2,2,0,0,-1,-2
28,128,60,29,0,113.0,0.67,105,14,-7,-4,5,4,1,1,1,-1
29,134,64,31,4,117.0,0.67,95,14,-3,-2,9,6,5,3,1,0
30,140,64,31,4,121.0,0.67,105,15,-3,-2,9,6,2,1,0,0
31,146,69,34,9,125.0,2.0,95,15,2,1,2,2,1,1,1,1
