,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,67,33,7,2.0,1.0,105,0,0,0,0,1,0,0,0,0
1,5,69,34,9,5.0,1.0,95,0,2,1,2,2,2,1,1,1
2,8,71,35,11,8.0,1.0,105,1,4,2,4,3,2,1,1,2
3,11,79,40,7,11.0,1.0,95,1,12,7,0,1,3,2,1,3
4,14,67,33,7,14.0,1.0,105,2,0,0,0,1,-4,-2,-1,2
5,17,72,36,0,17.0,1.0,95,2,5,3,5,4,1,1,1,3
6,20,71,35,11,20.0,1.0,105,3,4,2,4,3,2,1,-1,2
7,23,64,31,4,23.0,1.0,95,3,-3,-2,9,6,0,0,-1,1
8,26,67,33,7,26.0,1.0,105,4,0,0,0,1,3,2,1,2
9,29,69,34,9,29.0,1.0,95,4,2,1,2,2,2,1,1,3
10,32,71,35,11,32.0,1.0,105,5,4,2,4,3,2,1,1,4
11,35,79,40,7,35.0,1.0,95,5,12,7,0,1,3,2,1,5
12,38,72,36,0,38.0,1.0,105,6,5,3,5,4,1,1,-1,4
13,41,71,35,11,41.0,0.5,95,6,4,2,4,3,2,1,-1,3
14,45,69,34,9,44.0,1.0,105,7,2,1,2,2,-2,-1,-1,2
15,48,67,33,7,47.0,1.0,95,7,0,0,0,1,0,0,-1,1
16,51,67,33,7,50.0,1.0,105,8,0,0,0,1,3,2,0,1
17,54,69,34,9,53.0,1.0,95,8,2,1,2,2,2,1,1,2
18,57,71,35,11,56.0,1.0,105,9,4,2,4,3,2,1,1,3
19,60,79,40,7,59.0,1.0,95,9,12,7,0,1,3,2,1,4
20,63,67,33,7,62.0,1.0,105,10,0,0,0,1,-4,-2,-1,3
21,66,72,36,0,65.0,1.0,95,10,5,3,5,4,1,1,1,4
22,69,71,35,11,68.0,1.0,105,11,4,2,4,3,2,1,-1,3
23,72,64,31,4,71.0,1.0,95,11,-3,-2,9,6,0,0,-1,2
24,75,67,33,7,74.0,1.0,105,12,0,0,0,1,3,2,1,3
25,78,69,34,9,77.0,1.0,95,12,2,1,2,2,2,1,1,4
26,81,71,35,11,80.0,1.0,105,13,4,2,4,3,2,1,1,5
27,84,79,40,7,83.0,1.0,95,13,12,7,0,1,3,2,1,6
28,87,72,36,0,86.0,1.0,105,14,5,3,5,4,1,1,-1,5
29,90,71,35,11,89.0,0.5,95,14,4,2,4,3,2,1,-1,4
30,94,69,34,9,92.0,1.0,105,15,2,1,2,2,-2,-1,-1,3
31,97,67,33,7,95.0,1.0,95,15,0,0,0,1,0,0,-1,2
32,100,79,40,7,98.0,3.0,105,16,12,7,0,1,5,3,1,3
33,101,76,38,4,101.0,1.0,95,16,9,5,9,6,-3,-2,-1,2
34,104,76,38,4,104.0,1.0,105,17,9,5,9,6,-3,-2,0,2
35,107,78,39,6,107.0,1.0,95,17,11,6,11,7,-1,-1,1,3
36,110,79,40,7,110.0,1.0,105,18,12,7,0,1,5,3,1,4
37,113,76,38,4,113.0,1.0,95,18,9,5,9,6,-3,-2,-1,3
38,116,81,41,9,116.0,2.0,105,19,14,8,2,2,2,1,1,4
39,118,74,37,2,119.0,1.0,95,19,7,4,7,5,-4,-2,-1,3
40,121,79,40,7,122.0,1.0,105,20,12,7,0,1,1,1,1,4
41,124,81,41,9,125.0,1.0,95,20,14,8,2,2,5,3,1,5
42,127,79,40,7,128.0,1.0,105,21,12,7,0,1,1,1,-1,4
43,130,78,39,6,131.0,1.0,95,21,11,6,11,7,2,1,-1,3
44,133,72,36,0,134.0,1.0,105,22,5,3,5,4,1,1,-1,2
45,136,71,35,11,137.0,0.5,95,22,4,2,4,3,2,1,-1,1
46,140,69,34,9,140.0,1.0,105,23,2,1,2,2,-2,-1,-1,0
47,143,67,33,7,143.0,1.0,95,23,0,0,0,1,0,0,-1,-1
48,146,79,40,7,146.0,3.0,105,24,12,7,0,1,5,3,1,0
49,147,76,38,4,149.0,1.0,95,24,9,5,9,6,-3,-2,-1,-1
50,150,76,38,4,152.0,1.0,105,25,9,5,9,6,-3,-2,0,-1
51,153,78,39,6,155.0,1.0,95,25,11,6,11,7,-1,-1,1,0
52,156,79,40,7,158.0,1.0,105,26,12,7,0,1,5,3,1,1
53,159,76,38,4,161.0,1.0,95,26,9,5,9,6,-3,-2,-1,0
54,162,81,41,9,164.0,2.0,105,27,14,8,2,2,2,1,1,1
55,164,74,37,2,167.0,1.0,95,27,7,4,7,5,-4,-2,-1,0
56,167,79,40,7,170.0,1.0,105,28,12,7,0,1,1,1,1,1
57,170,81,41,9,173.0,1.0,95,28,14,8,2,2,5,3,1,2
58,173,79,40,7,176.0,1.0,105,29,12,7,0,1,1,1,-1,1
59,176,78,39,6,179.0,1.0,95,29,11,6,11,7,2,1,-1,0
60,179,72,36,0,182.0,1.0,105,30,5,3,5,4,1,1,-1,-1
61,182,71,35,11,185.0,0.5,95,30,4,2,4,3,2,1,-1,-2
62,186,69,34,9,188.0,1.0,105,31,2,1,2,2,-2,-1,-1,-3
63,189,67,33,7,191.0,1.0,95,31,0,0,0,1,0,0,-1,-4
