,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,1,69,34,9,1.0,1.0,105,0,7,4,7,5,0,0,0,0
1,5,69,34,9,5.0,2.0,95,0,7,4,7,5,3,2,0,0
2,8,74,37,2,9.0,1.0,105,1,12,7,0,1,3,2,1,1
3,12,74,37,2,13.0,2.0,95,1,12,7,0,1,-2,-1,0,1
4,15,71,35,11,17.0,1.0,105,2,9,5,9,6,-2,-1,-1,0
5,19,71,35,11,21.0,2.0,95,2,9,5,9,6,2,1,0,0
6,22,81,41,9,25.0,1.0,105,3,19,11,7,5,-2,-1,1,1
7,26,71,35,11,29.0,2.0,95,3,9,5,9,6,-3,-2,-1,0
8,29,69,34,9,33.0,1.0,105,4,7,4,7,5,-5,-3,-1,-1
9,33,69,34,9,37.0,2.0,95,4,7,4,7,5,3,2,0,-1
10,36,74,37,2,41.0,1.0,105,5,12,7,0,1,3,2,1,0
11,40,74,37,2,45.0,2.0,95,5,12,7,0,1,-2,-1,0,0
12,43,71,35,11,49.0,1.0,105,6,9,5,9,6,-2,-1,-1,-1
13,47,71,35,11,53.0,1.0,95,6,9,5,9,6,2,1,0,-1
14,51,76,38,4,57.0,1.0,105,7,14,8,2,2,-3,-2,1,0
15,55,74,37,2,61.0,2.0,95,7,12,7,0,1,-4,-2,-1,-1
16,58,69,34,9,65.0,1.0,105,8,7,4,7,5,-2,-1,-1,-2
17,62,69,34,9,69.0,2.0,95,8,7,4,7,5,3,2,0,-2
18,65,74,37,2,73.0,1.0,105,9,12,7,0,1,3,2,1,-1
19,69,74,37,2,77.0,2.0,95,9,12,7,0,1,-2,-1,0,-1
20,72,71,35,11,81.0,1.0,105,10,9,5,9,6,-2,-1,-1,-2
21,76,71,35,11,85.0,2.0,95,10,9,5,9,6,2,1,0,-2
22,79,81,41,9,89.0,1.0,105,11,19,11,7,5,-2,-1,1,-1
23,83,71,35,11,93.0,2.0,95,11,9,5,9,6,-3,-2,-1,-2
24,86,69,34,9,97.0,1.0,105,12,7,4,7,5,-5,-3,-1,-3
25,90,69,34,9,101.0,2.0,95,12,7,4,7,5,3,2,0,-3
26,93,74,37,2,105.0,1.0,105,13,12,7,0,1,3,2,1,-2
27,97,74,37,2,109.0,2.0,95,13,12,7,0,1,-2,-1,0,-2
28,100,71,35,11,113.0,1.0,105,14,9,5,9,6,-2,-1,-1,-3
29,104,71,35,11,117.0,1.0,95,14,9,5,9,6,2,1,0,-3
30,108,76,38,4,121.0,1.0,105,15,14,8,2,2,-3,-2,1,-2
31,112,74,37,2,125.0,2.0,95,15,12,7,0,1,-4,-2,-1,-3
32,115,81,41,9,129.0,1.0,105,16,19,11,7,5,2,1,1,-2
33,119,81,41,9,133.0,2.0,95,16,19,11,7,5,3,2,0,-2
34,122,81,41,9,137.0,1.0,105,17,19,11,7,5,-2,-1,0,-2
35,126,74,37,2,141.0,2.0,95,17,12,7,0,1,-4,-2,-1,-3
36,129,76,38,4,145.0,1.0,105,18,14,8,2,2,-2,-1,1,-2
37,133,76,38,4,149.0,2.0,95,18,14,8,2,2,-2,-1,0,-2
38,136,79,40,7,153.0,2.0,105,19,17,10,5,4,1,1,1,-1
39,139,76,38,4,157.0,1.0,95,19,14,8,2,2,-2,-1,-1,-2
40,143,81,41,9,161.0,1.0,105,20,19,11,7,5,10,6,1,-1
41,147,81,41,9,165.0,2.0,95,20,19,11,7,5,3,2,0,-1
42,150,81,41,9,169.0,1.0,105,21,19,11,7,5,-2,-1,0,-1
43,154,74,37,2,173.0,2.0,95,21,12,7,0,1,-4,-2,-1,-2
44,157,76,38,4,177.0,1.0,105,22,14,8,2,2,-2,-1,1,-1
45,161,76,38,4,181.0,1.0,95,22,14,8,2,2,2,1,0,-1
46,165,74,37,2,185.0,1.0,105,23,12,7,0,1,-2,-1,-1,-2
47,169,62,30,2,189.0,2.0,95,23,0,0,0,1,-4,-2,-1,-3
48,172,81,41,9,193.0,1.0,105,24,19,11,7,5,2,1,1,-2
49,176,81,41,9,197.0,2.0,95,24,19,11,7,5,3,2,0,-2
50,179,81,41,9,201.0,1.0,105,25,19,11,7,5,-2,-1,0,-2
51,183,74,37,2,205.0,2.0,95,25,12,7,0,1,-4,-2,-1,-3
52,186,76,38,4,209.0,1.0,105,26,14,8,2,2,-2,-1,1,-2
53,190,76,38,4,213.0,2.0,95,26,14,8,2,2,-2,-1,0,-2
54,193,79,40,7,217.0,2.0,105,27,17,10,5,4,1,1,1,-1
55,196,76,38,4,221.0,1.0,95,27,14,8,2,2,-2,-1,-1,-2
56,200,69,34,9,225.0,1.0,105,28,7,4,7,5,-2,-1,-1,-3
57,204,69,34,9,229.0,2.0,95,28,7,4,7,5,3,2,0,-3
58,207,74,37,2,233.0,1.0,105,29,12,7,0,1,3,2,1,-2
59,211,74,37,2,237.0,2.0,95,29,12,7,0,1,-2,-1,0,-2
60,214,71,35,11,241.0,1.0,105,30,9,5,9,6,-2,-1,-1,-3
61,218,71,35,11,245.0,1.0,95,30,9,5,9,6,2,1,0,-3
62,222,76,38,4,249.0,1.0,105,31,14,8,2,2,-3,-2,1,-2
63,226,74,37,2,253.0,2.0,95,31,12,7,0,1,-4,-2,-1,-3
