,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,69,34,9,0.0,1.0,105,0,7,4,7,5,0,0,0,0
1,3,69,34,9,3.0,1.0,95,0,7,4,7,5,7,4,0,0
2,6,74,37,2,6.0,1.0,105,1,12,7,0,1,12,7,1,1
3,9,69,34,9,9.0,3.0,95,1,7,4,7,5,-2,-1,-1,0
4,10,67,33,7,12.0,1.0,105,2,5,3,5,4,-2,-1,-1,-1
5,13,71,35,11,15.0,1.0,95,2,9,5,9,6,4,2,1,0
6,16,69,34,9,18.0,1.0,105,3,7,4,7,5,2,1,-1,-1
7,19,62,30,2,21.0,3.0,95,3,0,0,0,1,0,0,-1,-2
8,20,69,34,9,24.0,1.0,105,4,7,4,7,5,7,4,1,-1
9,23,74,37,2,27.0,1.0,95,4,12,7,0,1,5,3,1,0
10,26,78,39,6,30.0,1.0,105,5,16,9,4,3,4,2,1,1
11,29,71,35,11,33.0,3.0,95,5,9,5,9,6,-3,-2,-1,0
12,30,64,31,4,36.0,1.0,105,6,2,1,2,2,-7,-4,-1,-1
13,33,69,34,9,39.0,1.0,95,6,7,4,7,5,2,1,1,0
14,36,74,37,2,42.0,1.0,105,7,12,7,0,1,1,1,1,1
15,39,62,30,2,45.0,3.0,95,7,0,0,0,1,-4,-2,-1,0
16,40,69,34,9,48.0,1.0,105,8,7,4,7,5,7,4,1,1
17,43,69,34,9,51.0,1.0,95,8,7,4,7,5,7,4,0,1
18,46,74,37,2,54.0,1.0,105,9,12,7,0,1,12,7,1,2
19,49,69,34,9,57.0,3.0,95,9,7,4,7,5,-2,-1,-1,1
20,50,67,33,7,60.0,1.0,105,10,5,3,5,4,-2,-1,-1,0
21,53,71,35,11,63.0,1.0,95,10,9,5,9,6,4,2,1,1
22,56,69,34,9,66.0,1.0,105,11,7,4,7,5,2,1,-1,0
23,59,62,30,2,69.0,3.0,95,11,0,0,0,1,0,0,-1,-1
24,60,69,34,9,72.0,1.0,105,12,7,4,7,5,7,4,1,0
25,63,74,37,2,75.0,1.0,95,12,12,7,0,1,5,3,1,1
26,66,78,39,6,78.0,1.0,105,13,16,9,4,3,4,2,1,2
27,69,71,35,11,81.0,3.0,95,13,9,5,9,6,-3,-2,-1,1
28,70,64,31,4,84.0,1.0,105,14,2,1,2,2,-7,-4,-1,0
29,73,69,34,9,87.0,1.0,95,14,7,4,7,5,2,1,1,1
30,76,74,37,2,90.0,1.0,105,15,12,7,0,1,1,1,1,2
31,79,62,30,2,93.0,3.0,95,15,0,0,0,1,-4,-2,-1,1
32,80,78,39,6,96.0,2.0,105,16,16,9,4,3,16,9,1,2
33,82,78,39,6,99.0,1.0,95,16,16,9,4,3,0,0,0,2
34,85,76,38,4,102.0,2.0,105,17,14,8,2,2,2,1,-1,1
35,87,76,38,4,105.0,1.0,95,17,14,8,2,2,0,0,0,1
36,90,74,37,2,108.0,1.0,105,18,12,7,0,1,5,3,-1,0
37,93,71,35,11,111.0,1.0,95,18,9,5,9,6,-3,-2,-1,-1
38,96,76,38,4,114.0,1.0,105,19,14,8,2,2,2,1,1,0
39,99,69,34,9,117.0,3.0,95,19,7,4,7,5,0,0,-1,-1
40,100,78,39,6,120.0,2.0,105,20,16,9,4,3,9,5,1,0
41,102,78,39,6,123.0,1.0,95,20,16,9,4,3,0,0,0,0
42,105,76,38,4,126.0,1.0,105,21,14,8,2,2,7,4,-1,-1
43,108,76,38,4,129.0,1.0,95,21,14,8,2,2,0,0,0,-1
44,111,67,33,7,132.0,1.0,105,22,5,3,5,4,-2,-1,-1,-2
45,114,73,36,1,135.0,1.0,95,22,11,6,11,7,2,1,1,-1
46,117,74,37,2,138.0,1.0,105,23,12,7,0,1,-2,-1,1,0
47,120,62,30,2,141.0,3.0,95,23,0,0,0,1,-4,-2,-1,-1
48,121,78,39,6,144.0,2.0,105,24,16,9,4,3,16,9,1,0
49,123,78,39,6,147.0,1.0,95,24,16,9,4,3,0,0,0,0
50,126,76,38,4,150.0,2.0,105,25,14,8,2,2,2,1,-1,-1
51,128,76,38,4,153.0,1.0,95,25,14,8,2,2,0,0,0,-1
52,131,74,37,2,156.0,1.0,105,26,12,7,0,1,5,3,-1,-2
53,134,71,35,11,159.0,1.0,95,26,9,5,9,6,-3,-2,-1,-3
54,137,76,38,4,162.0,1.0,105,27,14,8,2,2,2,1,1,-2
55,140,69,34,9,165.0,3.0,95,27,7,4,7,5,0,0,-1,-3
56,141,78,39,6,168.0,2.0,105,28,16,9,4,3,9,5,1,-2
57,143,78,39,6,171.0,1.0,95,28,16,9,4,3,0,0,0,-2
58,146,76,38,4,174.0,1.0,105,29,14,8,2,2,7,4,-1,-3
59,149,76,38,4,177.0,1.0,95,29,14,8,2,2,0,0,0,-3
60,152,67,33,7,180.0,1.0,105,30,5,3,5,4,-2,-1,-1,-4
61,155,73,36,1,183.0,1.0,95,30,11,6,11,7,2,1,1,-3
62,158,74,37,2,186.0,1.0,105,31,12,7,0,1,-2,-1,1,-2
63,161,62,30,2,189.0,3.0,95,31,0,0,0,1,-4,-2,-1,-3
