,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,76,38,4,0.0,1.0,105,0,14,8,2,2,0,0,0,0
1,5,76,38,4,3.0,1.0,95,0,14,8,2,2,0,0,0,0
2,8,76,38,4,6.0,1.0,105,1,14,8,2,2,3,2,0,0
3,11,76,38,4,9.0,2.0,95,1,14,8,2,2,0,0,0,0
4,13,76,38,4,12.0,1.0,105,2,14,8,2,2,-2,-1,0,0
5,16,76,38,4,15.0,1.0,95,2,14,8,2,2,0,0,0,0
6,19,74,37,2,18.0,1.0,105,3,12,7,0,1,1,1,-1,-1
7,22,71,35,11,21.0,1.0,95,3,9,5,9,6,0,0,-1,-2
8,25,76,38,4,24.0,1.0,105,4,14,8,2,2,2,1,1,-1
9,30,76,38,4,27.0,1.0,95,4,14,8,2,2,0,0,0,-1
10,33,76,38,4,30.0,1.0,105,5,14,8,2,2,3,2,0,-1
11,36,76,38,4,33.0,2.0,95,5,14,8,2,2,0,0,0,-1
12,38,78,39,6,36.0,1.0,105,6,16,9,4,3,-1,-1,1,0
13,43,76,38,4,39.0,1.0,95,6,14,8,2,2,-2,-1,-1,-1
14,46,78,39,6,42.0,1.0,105,7,16,9,4,3,5,3,1,0
15,49,71,35,11,45.0,1.0,95,7,9,5,9,6,0,0,-1,-1
16,52,76,38,4,48.0,1.0,105,8,14,8,2,2,2,1,1,0
17,57,76,38,4,51.0,1.0,95,8,14,8,2,2,0,0,0,0
18,60,76,38,4,54.0,1.0,105,9,14,8,2,2,3,2,0,0
19,63,76,38,4,57.0,2.0,95,9,14,8,2,2,0,0,0,0
20,65,76,38,4,60.0,1.0,105,10,14,8,2,2,-2,-1,0,0
21,68,76,38,4,63.0,1.0,95,10,14,8,2,2,0,0,0,0
22,71,74,37,2,66.0,1.0,105,11,12,7,0,1,1,1,-1,-1
23,74,71,35,11,69.0,1.0,95,11,9,5,9,6,0,0,-1,-2
24,77,76,38,4,72.0,1.0,105,12,14,8,2,2,2,1,1,-1
25,82,76,38,4,75.0,1.0,95,12,14,8,2,2,0,0,0,-1
26,85,76,38,4,78.0,1.0,105,13,14,8,2,2,3,2,0,-1
27,88,76,38,4,81.0,2.0,95,13,14,8,2,2,0,0,0,-1
28,90,78,39,6,84.0,1.0,105,14,16,9,4,3,-1,-1,1,0
29,95,76,38,4,87.0,1.0,95,14,14,8,2,2,-2,-1,-1,-1
30,98,78,39,6,90.0,1.0,105,15,16,9,4,3,5,3,1,0
31,101,71,35,11,93.0,1.0,95,15,9,5,9,6,0,0,-1,-1
32,104,76,38,4,96.0,1.0,105,16,14,8,2,2,2,1,1,0
33,107,81,41,9,99.0,1.0,95,16,19,11,7,5,8,5,1,1
34,110,76,38,4,102.0,1.0,105,17,14,8,2,2,3,2,-1,0
35,113,76,38,4,105.0,2.0,95,17,14,8,2,2,0,0,0,0
36,115,76,38,4,108.0,1.0,105,18,14,8,2,2,-2,-1,0,0
37,118,81,41,9,111.0,1.0,95,18,19,11,7,5,8,5,1,1
38,121,71,35,11,114.0,1.0,105,19,9,5,9,6,-2,-1,-1,0
39,124,71,35,11,117.0,1.0,95,19,9,5,9,6,0,0,0,0
40,127,76,38,4,120.0,1.0,105,20,14,8,2,2,2,1,1,1
41,130,81,41,9,123.0,1.0,95,20,19,11,7,5,8,5,1,2
42,133,76,38,4,126.0,1.0,105,21,14,8,2,2,3,2,-1,1
43,136,76,38,4,129.0,2.0,95,21,14,8,2,2,0,0,0,1
44,138,78,39,6,132.0,1.0,105,22,16,9,4,3,-1,-1,1,2
45,143,76,38,4,135.0,1.0,95,22,14,8,2,2,-2,-1,-1,1
46,146,78,39,6,138.0,1.0,105,23,16,9,4,3,5,3,1,2
47,149,71,35,11,141.0,1.0,95,23,9,5,9,6,0,0,-1,1
48,152,76,38,4,144.0,1.0,105,24,14,8,2,2,2,1,1,2
49,155,81,41,9,147.0,1.0,95,24,19,11,7,5,8,5,1,3
50,158,76,38,4,150.0,1.0,105,25,14,8,2,2,3,2,-1,2
51,161,76,38,4,153.0,2.0,95,25,14,8,2,2,0,0,0,2
52,163,76,38,4,156.0,1.0,105,26,14,8,2,2,-2,-1,0,2
53,166,81,41,9,159.0,1.0,95,26,19,11,7,5,8,5,1,3
54,169,71,35,11,162.0,1.0,105,27,9,5,9,6,-2,-1,-1,2
55,172,71,35,11,165.0,1.0,95,27,9,5,9,6,0,0,0,2
56,175,76,38,4,168.0,1.0,105,28,14,8,2,2,2,1,1,3
57,178,81,41,9,171.0,1.0,95,28,19,11,7,5,8,5,1,4
58,181,76,38,4,174.0,1.0,105,29,14,8,2,2,3,2,-1,3
59,184,76,38,4,177.0,2.0,95,29,14,8,2,2,0,0,0,3
60,186,78,39,6,180.0,1.0,105,30,16,9,4,3,-1,-1,1,4
61,191,76,38,4,183.0,1.0,95,30,14,8,2,2,-2,-1,-1,3
62,194,78,39,6,186.0,1.0,105,31,16,9,4,3,5,3,1,4
63,197,71,35,11,189.0,1.0,95,31,9,5,9,6,0,0,-1,3
