,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,1,67,33,7,2.0,3.0,105,0,0,0,0,1,0,0,0,0
1,3,64,31,4,6.0,2.0,95,0,-3,-2,9,6,-2,-1,-1,-1
2,5,64,31,4,10.0,2.0,105,1,-3,-2,9,6,2,1,0,-1
3,7,67,33,7,14.0,3.0,95,1,0,0,0,1,1,1,1,0
4,9,71,35,11,18.0,3.0,105,2,4,2,4,3,2,1,1,1
5,11,72,36,0,22.0,3.0,95,2,5,3,5,4,5,3,1,2
6,13,71,35,11,26.0,3.0,105,3,4,2,4,3,0,0,-1,1
7,15,69,34,9,30.0,2.0,95,3,2,1,2,2,0,0,-1,0
8,17,67,33,7,34.0,3.0,105,4,0,0,0,1,5,3,-1,-1
9,19,64,31,4,38.0,2.0,95,4,-3,-2,9,6,-2,-1,-1,-2
10,21,64,31,4,42.0,2.0,105,5,-3,-2,9,6,2,1,0,-2
11,23,67,33,7,46.0,2.0,95,5,0,0,0,1,1,1,1,-1
12,26,71,35,11,50.0,3.0,105,6,4,2,4,3,-1,-1,1,0
13,28,69,34,9,54.0,3.0,95,6,2,1,2,2,-3,-2,-1,-1
14,30,67,33,7,58.0,6.0,105,7,0,0,0,1,0,0,-1,-2
15,32,74,37,2,66.0,3.0,105,8,7,4,7,5,7,4,1,-1
16,34,67,33,7,70.0,2.0,95,8,0,0,0,1,0,0,-1,-2
17,36,76,38,4,74.0,3.0,105,9,9,5,9,6,9,5,1,-1
18,38,72,36,0,78.0,2.0,95,9,5,3,5,4,-2,-1,-1,-2
19,40,72,36,0,82.0,2.0,105,10,5,3,5,4,1,1,0,-2
20,42,69,34,9,86.0,2.0,95,10,2,1,2,2,-2,-1,-1,-3
21,44,66,32,6,90.0,2.0,105,11,-1,-1,11,7,-1,-1,-1,-4
22,46,74,37,2,94.0,2.0,95,11,7,4,7,5,5,3,1,-3
23,48,67,33,7,98.0,3.0,105,12,0,0,0,1,5,3,-1,-4
24,50,64,31,4,102.0,2.0,95,12,-3,-2,9,6,-2,-1,-1,-5
25,52,64,31,4,106.0,2.0,105,13,-3,-2,9,6,2,1,0,-5
26,54,67,33,7,110.0,3.0,95,13,0,0,0,1,1,1,1,-4
27,56,71,35,11,114.0,3.0,105,14,4,2,4,3,2,1,1,-3
28,58,72,36,0,118.0,3.0,95,14,5,3,5,4,5,3,1,-2
29,60,71,35,11,122.0,4.0,105,15,4,2,4,3,0,0,-1,-3
