,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,76,38,4,0.0,2.0,105,0,12,7,0,1,0,0,0,0
1,2,76,38,4,3.0,2.0,95,0,12,7,0,1,0,0,0,0
2,4,80,40,8,6.0,1.0,95,0,16,9,4,3,2,1,1,1
3,7,73,36,1,9.0,2.0,105,1,9,5,9,6,-3,-2,-1,0
4,9,78,39,6,12.0,2.0,95,1,14,8,2,2,0,0,1,1
5,11,80,40,8,15.0,1.0,95,1,16,9,4,3,4,2,1,2
6,14,71,35,11,18.0,2.0,105,2,7,4,7,5,-5,-3,-1,1
7,16,76,38,4,21.0,2.0,95,2,12,7,0,1,0,0,1,2
8,18,80,40,8,24.0,1.0,95,2,16,9,4,3,2,1,1,3
9,21,71,35,11,27.0,2.0,105,3,7,4,7,5,-5,-3,-1,2
10,23,80,40,8,30.0,2.0,95,3,16,9,4,3,-3,-2,1,3
11,25,80,40,8,33.0,1.0,95,3,16,9,4,3,2,1,0,3
12,28,76,38,4,36.0,2.0,105,4,12,7,0,1,-2,-1,-1,2
13,30,76,38,4,39.0,2.0,95,4,12,7,0,1,0,0,0,2
14,32,80,40,8,42.0,1.0,95,4,16,9,4,3,2,1,1,3
15,35,73,36,1,45.0,2.0,105,5,9,5,9,6,-3,-2,-1,2
16,37,78,39,6,48.0,2.0,95,5,14,8,2,2,0,0,1,3
17,39,80,40,8,51.0,1.0,95,5,16,9,4,3,4,2,1,4
18,42,71,35,11,54.0,2.0,105,6,7,4,7,5,-5,-3,-1,3
19,44,76,38,4,57.0,2.0,95,6,12,7,0,1,0,0,1,4
20,46,80,40,8,60.0,1.0,95,6,16,9,4,3,2,1,1,5
21,49,71,35,11,63.0,2.0,105,7,7,4,7,5,-5,-3,-1,4
22,51,80,40,8,66.0,2.0,95,7,16,9,4,3,-3,-2,1,5
23,53,76,38,4,69.0,1.0,95,7,12,7,0,1,-2,-1,-1,4
24,56,81,41,9,72.0,2.0,105,8,17,10,5,4,1,1,1,5
25,58,73,36,1,75.0,1.0,95,8,9,5,9,6,0,0,-1,4
26,61,75,38,3,78.0,1.0,95,8,11,7,11,1,-1,0,1,5
27,64,80,40,8,81.0,2.0,105,9,16,9,4,3,2,1,1,6
28,66,71,35,11,84.0,1.0,95,9,7,4,7,5,0,0,-1,5
29,69,68,33,8,87.0,1.0,95,9,4,2,4,3,-1,-1,-1,4
30,72,73,36,1,90.0,2.0,105,10,9,5,9,6,2,1,1,5
31,74,66,32,6,93.0,1.0,95,10,2,1,2,2,0,0,-1,4
32,77,71,35,11,96.0,1.0,95,10,7,4,7,5,2,1,1,5
33,80,76,38,4,99.0,1.0,105,11,12,7,0,1,1,0,1,6
34,84,80,40,8,102.0,1.0,95,11,16,9,4,3,4,2,1,7
35,87,80,40,8,105.0,1.0,95,11,16,9,4,3,4,2,0,7
36,90,81,41,9,108.0,2.0,105,12,17,10,5,4,5,3,1,8
37,92,73,36,1,111.0,1.0,95,12,9,5,9,6,0,0,-1,7
38,95,75,38,3,114.0,1.0,95,12,11,7,11,1,-1,0,1,8
39,98,80,40,8,117.0,2.0,105,13,16,9,4,3,2,1,1,9
40,100,71,35,11,120.0,1.0,95,13,7,4,7,5,0,0,-1,8
41,103,68,33,8,123.0,1.0,95,13,4,2,4,3,-1,-1,-1,7
42,106,73,36,1,126.0,1.0,105,14,9,5,9,6,2,1,1,8
43,110,78,39,6,129.0,1.0,95,14,14,8,2,2,5,3,1,9
44,113,78,39,6,132.0,1.0,95,14,14,8,2,2,-3,-2,0,9
45,116,83,42,11,135.0,3.0,105,15,19,11,7,5,2,1,1,10
46,117,83,42,11,138.0,2.0,95,15,19,11,7,5,0,0,0,10
47,119,80,40,8,141.0,2.0,95,15,16,9,4,3,-5,-3,-1,9
