,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,67,33,7,0.0,2.0,105,0,0,0,0,1,0,0,0,0
1,3,71,35,11,4.0,1.0,95,0,4,2,4,3,4,2,1,1
2,7,69,34,9,8.0,0.5,105,1,2,1,2,2,2,1,-1,0
3,11,71,35,11,12.0,1.0,95,1,4,2,4,3,-1,-1,1,1
4,15,69,34,9,16.0,2.0,105,2,2,1,2,2,-2,-1,-1,0
5,18,72,36,0,20.0,1.0,95,2,5,3,5,4,3,2,1,1
6,22,71,35,11,24.0,0.5,105,3,4,2,4,3,2,1,-1,0
7,26,72,36,0,28.0,1.0,95,3,5,3,5,4,-2,-1,1,1
8,30,69,34,9,32.0,0.5,105,4,2,1,2,2,0,0,-1,0
9,34,71,35,11,36.0,1.0,95,4,4,2,4,3,4,2,1,1
10,38,69,34,9,40.0,0.5,105,5,2,1,2,2,2,1,-1,0
11,42,71,35,11,44.0,1.0,95,5,4,2,4,3,-1,-1,1,1
12,46,69,34,9,48.0,1.0,105,6,2,1,2,2,-2,-1,-1,0
13,50,76,38,4,52.0,1.0,95,6,9,5,9,6,2,1,1,1
14,55,81,41,9,56.0,1.0,105,7,14,8,2,2,5,3,1,2
15,59,72,36,0,60.0,1.0,95,7,5,3,5,4,-2,-1,-1,1
16,63,67,33,7,64.0,2.0,105,8,0,0,0,1,-2,-1,-1,0
17,66,71,35,11,68.0,1.0,95,8,4,2,4,3,4,2,1,1
18,70,69,34,9,72.0,0.5,105,9,2,1,2,2,2,1,-1,0
19,74,71,35,11,76.0,1.0,95,9,4,2,4,3,-1,-1,1,1
20,78,69,34,9,80.0,2.0,105,10,2,1,2,2,-2,-1,-1,0
21,81,72,36,0,84.0,1.0,95,10,5,3,5,4,3,2,1,1
22,85,71,35,11,88.0,0.5,105,11,4,2,4,3,2,1,-1,0
23,89,72,36,0,92.0,1.0,95,11,5,3,5,4,-2,-1,1,1
24,93,69,34,9,96.0,0.5,105,12,2,1,2,2,0,0,-1,0
25,97,71,35,11,100.0,1.0,95,12,4,2,4,3,4,2,1,1
26,101,69,34,9,104.0,0.5,105,13,2,1,2,2,2,1,-1,0
27,105,71,35,11,108.0,1.0,95,13,4,2,4,3,-1,-1,1,1
28,109,69,34,9,112.0,1.0,105,14,2,1,2,2,-2,-1,-1,0
29,113,76,38,4,116.0,1.0,95,14,9,5,9,6,2,1,1,1
30,118,81,41,9,120.0,1.0,105,15,14,8,2,2,5,3,1,2
31,122,71,35,11,124.0,0.5,95,15,4,2,4,3,-3,-2,-1,1
32,127,79,40,7,128.0,2.0,105,16,12,7,0,1,1,1,1,2
33,130,79,40,7,132.0,1.0,95,16,12,7,0,1,1,1,0,2
34,134,79,40,7,136.0,1.0,105,17,12,7,0,1,1,1,0,2
35,138,71,35,11,140.0,1.0,95,17,4,2,4,3,-1,-1,-1,1
36,142,69,34,9,144.0,1.0,105,18,2,1,2,2,-2,-1,-1,0
37,146,81,41,9,148.0,1.0,95,18,14,8,2,2,1,1,1,1
38,150,81,41,9,152.0,1.0,105,19,14,8,2,2,2,1,0,1
39,154,71,35,11,156.0,0.5,95,19,4,2,4,3,-3,-2,-1,0
40,159,79,40,7,160.0,2.0,105,20,12,7,0,1,1,1,1,1
41,162,79,40,7,164.0,1.0,95,20,12,7,0,1,1,1,0,1
42,166,79,40,7,168.0,1.0,105,21,12,7,0,1,1,1,0,1
43,170,71,35,11,172.0,1.0,95,21,4,2,4,3,-1,-1,-1,0
44,174,69,34,9,176.0,1.0,105,22,2,1,2,2,-2,-1,-1,-1
45,178,76,38,4,180.0,1.0,95,22,9,5,9,6,2,1,1,0
46,183,81,41,9,184.0,1.0,105,23,14,8,2,2,5,3,1,1
47,187,71,35,11,188.0,0.5,95,23,4,2,4,3,-3,-2,-1,0
48,192,79,40,7,192.0,2.0,105,24,12,7,0,1,1,1,1,1
49,195,79,40,7,196.0,1.0,95,24,12,7,0,1,1,1,0,1
50,199,79,40,7,200.0,1.0,105,25,12,7,0,1,1,1,0,1
51,203,71,35,11,204.0,1.0,95,25,4,2,4,3,-1,-1,-1,0
52,207,69,34,9,208.0,1.0,105,26,2,1,2,2,-2,-1,-1,-1
53,211,81,41,9,212.0,1.0,95,26,14,8,2,2,1,1,1,0
54,215,81,41,9,216.0,1.0,105,27,14,8,2,2,2,1,0,0
55,219,71,35,11,220.0,0.5,95,27,4,2,4,3,-3,-2,-1,-1
56,224,79,40,7,224.0,2.0,105,28,12,7,0,1,1,1,1,0
57,227,79,40,7,228.0,1.0,95,28,12,7,0,1,1,1,0,0
58,231,79,40,7,232.0,1.0,105,29,12,7,0,1,1,1,0,0
59,235,71,35,11,236.0,1.0,95,29,4,2,4,3,-1,-1,-1,-1
60,239,69,34,9,240.0,1.0,105,30,2,1,2,2,-2,-1,-1,-2
61,243,76,38,4,244.0,1.0,95,30,9,5,9,6,2,1,1,-1
62,248,81,41,9,248.0,1.0,105,31,14,8,2,2,5,3,1,0
63,252,72,36,0,252.0,1.0,95,31,5,3,5,4,-2,-1,-1,-1
