,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,69,34,9,0.0,1.0,105,0,2,1,2,2,0,0,0,0
1,4,64,31,4,4.0,1.0,95,0,-3,-2,9,6,2,1,-1,-1
2,8,69,34,9,8.0,1.0,105,1,2,1,2,2,2,1,1,0
3,12,69,34,9,12.0,1.0,95,1,2,1,2,2,2,1,0,0
4,16,69,34,9,16.0,1.0,105,2,2,1,2,2,2,1,0,0
5,20,64,31,4,20.0,1.0,95,2,-3,-2,9,6,2,1,-1,-1
6,24,67,33,7,24.0,2.0,105,3,0,0,0,1,1,1,1,0
7,27,64,31,4,28.0,1.0,95,3,-3,-2,9,6,-3,-2,-1,-1
8,30,69,34,9,32.0,1.0,105,4,2,1,2,2,2,1,1,0
9,34,64,31,4,36.0,1.0,95,4,-3,-2,9,6,2,1,-1,-1
10,38,69,34,9,40.0,1.0,105,5,2,1,2,2,2,1,1,0
11,42,69,34,9,44.0,1.0,95,5,2,1,2,2,2,1,0,0
12,46,72,36,0,48.0,1.0,105,6,5,3,5,4,5,3,1,1
13,52,71,35,11,52.0,1.0,95,6,4,2,4,3,2,1,-1,0
14,58,69,34,9,56.0,1.0,105,7,2,1,2,2,2,1,-1,-1
15,62,67,33,7,60.0,4.0,95,7,0,0,0,1,3,2,-1,-2
16,63,69,34,9,64.0,1.0,105,8,2,1,2,2,2,1,1,-1
17,67,64,31,4,68.0,1.0,95,8,-3,-2,9,6,2,1,-1,-2
18,71,69,34,9,72.0,1.0,105,9,2,1,2,2,2,1,1,-1
19,75,69,34,9,76.0,1.0,95,9,2,1,2,2,2,1,0,-1
20,79,69,34,9,80.0,1.0,105,10,2,1,2,2,2,1,0,-1
21,83,64,31,4,84.0,1.0,95,10,-3,-2,9,6,2,1,-1,-2
22,87,67,33,7,88.0,2.0,105,11,0,0,0,1,1,1,1,-1
23,90,64,31,4,92.0,1.0,95,11,-3,-2,9,6,-3,-2,-1,-2
24,93,69,34,9,96.0,1.0,105,12,2,1,2,2,2,1,1,-1
25,97,64,31,4,100.0,1.0,95,12,-3,-2,9,6,2,1,-1,-2
26,101,69,34,9,104.0,1.0,105,13,2,1,2,2,2,1,1,-1
27,105,69,34,9,108.0,1.0,95,13,2,1,2,2,2,1,0,-1
28,109,72,36,0,112.0,1.0,105,14,5,3,5,4,5,3,1,0
29,115,71,35,11,116.0,1.0,95,14,4,2,4,3,2,1,-1,-1
30,121,69,34,9,120.0,1.0,105,15,2,1,2,2,2,1,-1,-2
31,125,67,33,7,124.0,4.0,95,15,0,0,0,1,3,2,-1,-3
32,126,71,35,11,128.0,1.0,105,16,4,2,4,3,4,2,1,-2
33,130,76,38,4,132.0,0.67,95,16,9,5,9,6,-2,-1,1,-1
34,135,67,33,7,136.0,1.0,105,17,0,0,0,1,-4,-2,-1,-2
35,139,69,34,9,140.0,1.0,95,17,2,1,2,2,2,1,1,-1
36,143,71,35,11,144.0,1.0,105,18,4,2,4,3,4,2,1,0
37,147,76,38,4,148.0,1.0,95,18,9,5,9,6,2,1,1,1
38,151,67,33,7,152.0,2.0,105,19,0,0,0,1,-4,-2,-1,0
39,154,64,31,4,156.0,1.0,95,19,-3,-2,9,6,-3,-2,-1,-1
40,158,71,35,11,160.0,1.0,105,20,4,2,4,3,4,2,1,0
41,162,76,38,4,164.0,0.67,95,20,9,5,9,6,-2,-1,1,1
42,167,72,36,0,168.0,0.67,105,21,5,3,5,4,1,1,-1,0
43,172,69,34,9,172.0,1.0,95,21,2,1,2,2,2,1,-1,-1
44,176,72,36,0,176.0,1.0,105,22,5,3,5,4,5,3,1,0
45,182,71,35,11,180.0,1.0,95,22,4,2,4,3,2,1,-1,-1
46,188,69,34,9,184.0,1.0,105,23,2,1,2,2,2,1,-1,-2
47,192,67,33,7,188.0,4.0,95,23,0,0,0,1,3,2,-1,-3
48,193,71,35,11,192.0,1.0,105,24,4,2,4,3,4,2,1,-2
49,197,76,38,4,196.0,0.67,95,24,9,5,9,6,-2,-1,1,-1
50,202,67,33,7,200.0,1.0,105,25,0,0,0,1,-4,-2,-1,-2
51,206,69,34,9,204.0,1.0,95,25,2,1,2,2,2,1,1,-1
52,210,71,35,11,208.0,1.0,105,26,4,2,4,3,4,2,1,0
53,214,76,38,4,212.0,1.0,95,26,9,5,9,6,2,1,1,1
54,218,67,33,7,216.0,2.0,105,27,0,0,0,1,-4,-2,-1,0
55,221,64,31,4,220.0,1.0,95,27,-3,-2,9,6,-3,-2,-1,-1
56,225,71,35,11,224.0,1.0,105,28,4,2,4,3,4,2,1,0
57,229,76,38,4,228.0,0.67,95,28,9,5,9,6,-2,-1,1,1
58,234,72,36,0,232.0,0.67,105,29,5,3,5,4,1,1,-1,0
59,239,69,34,9,236.0,1.0,95,29,2,1,2,2,2,1,-1,-1
60,243,72,36,0,240.0,1.0,105,30,5,3,5,4,5,3,1,0
61,249,71,35,11,244.0,1.0,95,30,4,2,4,3,2,1,-1,-1
62,255,69,34,9,248.0,1.0,105,31,2,1,2,2,2,1,-1,-2
63,259,67,33,7,252.0,4.0,95,31,0,0,0,1,3,2,-1,-3
