,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,64,31,4,0.0,0.67,105,0,-5,-3,7,5,0,0,0,0
1,4,71,35,11,2.0,0.5,105,1,2,1,2,2,-2,-1,1,1
2,8,64,31,4,4.0,1.0,105,2,-5,-3,7,5,-5,-3,-1,0
3,11,71,35,11,6.0,0.5,105,3,2,1,2,2,-2,-1,1,1
4,14,64,31,4,8.0,0.67,105,4,-5,-3,7,5,-5,-3,-1,0
5,18,71,35,11,10.0,0.5,105,5,2,1,2,2,-2,-1,1,1
6,22,64,31,4,12.0,1.0,105,6,-5,-3,7,5,-5,-3,-1,0
7,25,71,35,11,14.0,0.5,105,7,2,1,2,2,-2,-1,1,1
8,32,71,35,11,18.0,0.5,105,8,2,1,2,2,-2,-1,0,1
9,36,64,31,4,20.0,1.0,105,9,-5,-3,7,5,-5,-3,-1,0
10,39,71,35,11,22.0,0.5,105,10,2,1,2,2,-2,-1,1,1
11,42,64,31,4,24.0,0.67,105,11,-5,-3,7,5,-5,-3,-1,0
12,46,71,35,11,26.0,0.5,105,12,2,1,2,2,-2,-1,1,1
13,50,64,31,4,28.0,1.0,105,13,-5,-3,7,5,-5,-3,-1,0
14,53,71,35,11,30.0,0.5,105,14,2,1,2,2,-2,-1,1,1
15,61,71,35,11,34.0,0.5,105,15,2,1,2,2,-2,-1,0,1
16,65,73,36,1,36.0,0.5,105,16,4,2,4,3,4,2,1,2
17,69,71,35,11,38.0,0.5,105,17,2,1,2,2,-2,-1,-1,1
18,73,73,36,1,40.0,0.5,105,18,4,2,4,3,2,1,1,2
19,77,71,35,11,42.0,0.5,105,19,2,1,2,2,-2,-1,-1,1
20,81,64,31,4,44.0,0.67,105,20,-5,-3,7,5,-5,-3,-1,0
21,85,71,35,11,46.0,0.5,105,21,2,1,2,2,-2,-1,1,1
22,89,73,36,1,48.0,0.5,105,22,4,2,4,3,2,1,1,2
23,93,71,35,11,50.0,0.5,105,23,2,1,2,2,-2,-1,-1,1
24,97,73,36,1,52.0,0.5,105,24,4,2,4,3,4,2,1,2
25,102,78,39,6,54.0,0.5,105,25,9,5,9,6,2,1,1,3
26,106,73,36,1,56.0,0.5,105,26,4,2,4,3,2,1,-1,2
27,110,71,35,11,58.0,0.5,105,27,2,1,2,2,-2,-1,-1,1
28,114,64,31,4,60.0,0.5,105,28,-5,-3,7,5,-5,-3,-1,0
29,117,71,35,11,62.0,0.5,105,29,2,1,2,2,-2,-1,1,1
