,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,71,35,11,0.0,1.0,105,0,9,5,9,6,0,0,0,0
1,5,59,28,11,4.0,1.0,95,0,-3,-2,9,6,-5,-3,-1,-1
2,9,69,34,9,8.0,1.0,105,1,7,4,7,5,-2,-1,1,0
3,14,57,27,9,12.0,1.0,95,1,-5,-3,7,5,-5,-3,-1,-1
4,18,71,35,11,16.0,1.0,105,2,9,5,9,6,2,1,1,0
5,23,71,35,11,20.0,1.0,95,2,9,5,9,6,7,4,0,0
6,27,76,38,4,24.0,1.0,105,3,14,8,2,2,1,0,1,1
7,31,74,37,2,28.0,1.0,95,3,12,7,0,1,-2,-1,-1,0
8,35,71,35,11,32.0,1.0,105,4,9,5,9,6,-3,-2,-1,-1
9,40,59,28,11,36.0,1.0,95,4,-3,-2,9,6,-5,-3,-1,-2
10,44,69,34,9,40.0,1.0,105,5,7,4,7,5,-2,-1,1,-1
11,49,57,27,9,44.0,1.0,95,5,-5,-3,7,5,-5,-3,-1,-2
12,53,71,35,11,48.0,1.0,105,6,9,5,9,6,2,1,1,-1
13,58,71,35,11,52.0,1.0,95,6,9,5,9,6,7,4,0,-1
14,62,76,38,4,56.0,1.0,105,7,14,8,2,2,1,0,1,0
15,66,74,37,2,60.0,1.0,95,7,12,7,0,1,-2,-1,-1,-1
16,69,71,35,11,64.0,1.0,105,8,9,5,9,6,2,1,-1,-2
17,74,59,28,11,68.0,1.0,95,8,-3,-2,9,6,-5,-3,-1,-3
18,78,69,34,9,72.0,1.0,105,9,7,4,7,5,-2,-1,1,-2
19,83,57,27,9,76.0,1.0,95,9,-5,-3,7,5,-5,-3,-1,-3
20,87,71,35,11,80.0,1.0,105,10,9,5,9,6,2,1,1,-2
21,92,71,35,11,84.0,1.0,95,10,9,5,9,6,7,4,0,-2
22,96,76,38,4,88.0,1.0,105,11,14,8,2,2,1,0,1,-1
23,100,74,37,2,92.0,1.0,95,11,12,7,0,1,-2,-1,-1,-2
24,104,71,35,11,96.0,1.0,105,12,9,5,9,6,-3,-2,-1,-3
25,109,59,28,11,100.0,1.0,95,12,-3,-2,9,6,-5,-3,-1,-4
26,113,69,34,9,104.0,1.0,105,13,7,4,7,5,-2,-1,1,-3
27,118,57,27,9,108.0,1.0,95,13,-5,-3,7,5,-5,-3,-1,-4
28,122,71,35,11,112.0,1.0,105,14,9,5,9,6,2,1,1,-3
29,127,71,35,11,116.0,1.0,95,14,9,5,9,6,7,4,0,-3
30,131,76,38,4,120.0,1.0,105,15,14,8,2,2,1,0,1,-2
31,135,74,37,2,124.0,1.0,95,15,12,7,0,1,-2,-1,-1,-3
32,139,76,38,4,128.0,2.0,105,16,14,8,2,2,5,3,1,-2
33,142,83,42,11,132.0,1.0,95,16,21,12,9,6,7,4,1,-1
34,146,74,37,2,136.0,2.0,105,17,12,7,0,1,-2,-1,-1,-2
35,150,81,41,9,140.0,1.0,95,17,19,11,7,5,7,4,1,-1
36,155,76,38,4,144.0,2.0,105,18,14,8,2,2,2,1,-1,-2
37,158,83,42,11,148.0,1.0,95,18,21,12,9,6,7,4,1,-1
38,162,74,37,2,152.0,1.0,105,19,12,7,0,1,-2,-1,-1,-2
39,166,79,40,7,156.0,1.0,95,19,17,10,5,4,-2,-1,1,-1
40,170,79,40,7,160.0,1.0,105,20,17,10,5,4,1,1,0,-1
41,174,83,42,11,164.0,1.0,95,20,21,12,9,6,2,1,1,0
42,178,79,40,7,168.0,1.0,105,21,17,10,5,4,1,1,-1,-1
43,182,76,38,4,172.0,1.0,95,21,14,8,2,2,2,1,-1,-2
44,186,76,38,4,176.0,0.67,105,22,14,8,2,2,2,1,0,-2
45,191,74,37,2,180.0,1.0,95,22,12,7,0,1,-2,-1,-1,-3
46,195,74,37,2,184.0,1.0,105,23,12,7,0,1,1,1,0,-3
47,199,67,33,7,188.0,1.0,95,23,5,3,5,4,1,1,-1,-4
48,202,76,38,4,192.0,2.0,105,24,14,8,2,2,12,7,1,-3
49,205,83,42,11,196.0,1.0,95,24,21,12,9,6,7,4,1,-2
50,209,74,37,2,200.0,2.0,105,25,12,7,0,1,-2,-1,-1,-3
51,213,81,41,9,204.0,1.0,95,25,19,11,7,5,7,4,1,-2
52,218,76,38,4,208.0,2.0,105,26,14,8,2,2,2,1,-1,-3
53,221,83,42,11,212.0,1.0,95,26,21,12,9,6,7,4,1,-2
54,225,74,37,2,216.0,1.0,105,27,12,7,0,1,-2,-1,-1,-3
55,229,79,40,7,220.0,1.0,95,27,17,10,5,4,-2,-1,1,-2
56,233,79,40,7,224.0,1.0,105,28,17,10,5,4,1,1,0,-2
57,237,83,42,11,228.0,1.0,95,28,21,12,9,6,2,1,1,-1
58,241,79,40,7,232.0,1.0,105,29,17,10,5,4,1,1,-1,-2
59,245,76,38,4,236.0,1.0,95,29,14,8,2,2,2,1,-1,-3
60,249,76,38,4,240.0,0.67,105,30,14,8,2,2,2,1,0,-3
61,254,74,37,2,244.0,1.0,95,30,12,7,0,1,-2,-1,-1,-4
62,258,74,37,2,248.0,1.0,105,31,12,7,0,1,1,1,0,-4
63,262,67,33,7,252.0,1.0,95,31,5,3,5,4,1,1,-1,-5
