,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,1,69,34,9,1.0,1.0,105,0,7,4,7,5,0,0,0,0
1,5,62,30,2,5.0,1.0,95,0,0,0,0,1,-4,-2,-1,-1
2,9,69,34,9,9.0,1.0,105,1,7,4,7,5,3,2,1,0
3,13,78,39,6,13.0,1.0,95,1,16,9,4,3,2,1,1,1
4,17,78,39,6,17.0,2.0,105,2,16,9,4,3,2,1,0,1
5,20,74,37,2,21.0,1.0,95,2,12,7,0,1,-2,-1,-1,0
6,24,71,35,11,25.0,2.0,105,3,9,5,9,6,2,1,-1,-1
7,27,71,35,11,29.0,1.0,95,3,9,5,9,6,0,0,0,-1
8,31,69,34,9,33.0,1.0,105,4,7,4,7,5,-2,-1,-1,-2
9,35,62,30,2,37.0,1.0,95,4,0,0,0,1,-4,-2,-1,-3
10,39,69,34,9,41.0,1.0,105,5,7,4,7,5,3,2,1,-2
11,43,78,39,6,45.0,1.0,95,5,16,9,4,3,2,1,1,-1
12,47,78,39,6,49.0,2.0,105,6,16,9,4,3,2,1,0,-1
13,50,78,39,6,53.0,1.0,95,6,16,9,4,3,2,1,0,-1
14,56,74,37,2,57.0,1.0,105,7,12,7,0,1,-2,-1,-1,-2
15,60,64,31,4,61.0,1.0,95,7,2,1,2,2,-2,-1,-1,-3
16,66,69,34,9,65.0,1.0,105,8,7,4,7,5,-2,-1,1,-2
17,70,62,30,2,69.0,1.0,95,8,0,0,0,1,-4,-2,-1,-3
18,74,69,34,9,73.0,1.0,105,9,7,4,7,5,3,2,1,-2
19,78,78,39,6,77.0,1.0,95,9,16,9,4,3,2,1,1,-1
20,82,78,39,6,81.0,2.0,105,10,16,9,4,3,2,1,0,-1
21,85,74,37,2,85.0,1.0,95,10,12,7,0,1,-2,-1,-1,-2
22,89,71,35,11,89.0,2.0,105,11,9,5,9,6,2,1,-1,-3
23,92,71,35,11,93.0,1.0,95,11,9,5,9,6,0,0,0,-3
24,96,69,34,9,97.0,1.0,105,12,7,4,7,5,-2,-1,-1,-4
25,100,62,30,2,101.0,1.0,95,12,0,0,0,1,-4,-2,-1,-5
26,104,69,34,9,105.0,1.0,105,13,7,4,7,5,3,2,1,-4
27,108,78,39,6,109.0,1.0,95,13,16,9,4,3,2,1,1,-3
28,112,78,39,6,113.0,2.0,105,14,16,9,4,3,2,1,0,-3
29,115,78,39,6,117.0,1.0,95,14,16,9,4,3,2,1,0,-3
30,121,74,37,2,121.0,1.0,105,15,12,7,0,1,-2,-1,-1,-4
31,125,64,31,4,125.0,1.0,95,15,2,1,2,2,-2,-1,-1,-5
32,131,78,39,6,129.0,1.0,105,16,16,9,4,3,-1,-1,1,-4
33,137,74,37,2,133.0,1.0,95,16,12,7,0,1,-2,-1,-1,-5
34,141,71,35,11,137.0,2.0,105,17,9,5,9,6,2,1,-1,-6
35,144,71,35,11,141.0,1.0,95,17,9,5,9,6,0,0,0,-6
36,149,78,39,6,145.0,1.0,105,18,16,9,4,3,4,2,1,-5
37,155,74,37,2,149.0,1.0,95,18,12,7,0,1,-2,-1,-1,-6
38,159,81,41,9,153.0,1.0,105,19,19,11,7,5,2,1,1,-5
39,163,81,41,9,157.0,1.0,95,19,19,11,7,5,3,2,0,-5
40,167,78,39,6,161.0,1.0,105,20,16,9,4,3,-1,-1,-1,-6
41,173,74,37,2,165.0,1.0,95,20,12,7,0,1,-2,-1,-1,-7
42,177,71,35,11,169.0,2.0,105,21,9,5,9,6,2,1,-1,-8
43,180,71,35,11,173.0,1.0,95,21,9,5,9,6,0,0,0,-8
44,185,78,39,6,177.0,1.0,105,22,16,9,4,3,4,2,1,-7
45,191,78,39,6,181.0,1.0,95,22,16,9,4,3,2,1,0,-7
46,197,74,37,2,185.0,1.0,105,23,12,7,0,1,-2,-1,-1,-8
47,201,64,31,4,189.0,3.0,95,23,2,1,2,2,-2,-1,-1,-9
