,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,67,33,7,0.0,2.0,105,0,0,0,0,1,0,0,0,0
1,2,67,33,7,3.0,2.0,95,0,0,0,0,1,0,0,0,0
2,4,71,35,11,6.0,2.0,95,0,4,2,4,3,2,1,1,1
3,6,74,37,2,9.0,2.0,95,0,7,4,7,5,7,4,1,2
4,8,67,33,7,12.0,2.0,105,1,0,0,0,1,-4,-2,-1,1
5,10,67,33,7,15.0,2.0,95,1,0,0,0,1,0,0,0,1
6,12,69,34,9,18.0,2.0,95,1,2,1,2,2,-2,-1,1,2
7,14,72,36,0,21.0,1.0,95,1,5,3,5,4,1,1,1,3
8,17,67,33,7,24.0,2.0,105,2,0,0,0,1,-2,-1,-1,2
9,19,67,33,7,27.0,2.0,95,2,0,0,0,1,0,0,0,2
10,21,71,35,11,30.0,2.0,95,2,4,2,4,3,2,1,1,3
11,23,74,37,2,33.0,2.0,95,2,7,4,7,5,7,4,1,4
12,25,69,34,9,36.0,2.0,105,3,2,1,2,2,-2,-1,-1,3
13,27,76,38,4,39.0,1.0,95,3,9,5,9,6,0,0,1,4
14,30,69,34,9,42.0,2.0,95,3,2,1,2,2,-7,-4,-1,3
15,32,72,36,0,45.0,1.0,95,3,5,3,5,4,1,1,1,4
16,35,67,33,7,48.0,2.0,105,4,0,0,0,1,-2,-1,-1,3
17,37,67,33,7,51.0,2.0,95,4,0,0,0,1,0,0,0,3
18,39,71,35,11,54.0,2.0,95,4,4,2,4,3,2,1,1,4
19,41,74,37,2,57.0,2.0,95,4,7,4,7,5,7,4,1,5
20,43,67,33,7,60.0,2.0,105,5,0,0,0,1,-4,-2,-1,4
21,45,67,33,7,63.0,2.0,95,5,0,0,0,1,0,0,0,4
22,47,69,34,9,66.0,2.0,95,5,2,1,2,2,-2,-1,1,5
23,49,72,36,0,69.0,1.0,95,5,5,3,5,4,1,1,1,6
24,52,67,33,7,72.0,2.0,105,6,0,0,0,1,-2,-1,-1,5
25,54,67,33,7,75.0,2.0,95,6,0,0,0,1,0,0,0,5
26,56,71,35,11,78.0,2.0,95,6,4,2,4,3,2,1,1,6
27,58,74,37,2,81.0,2.0,95,6,7,4,7,5,7,4,1,7
28,60,69,34,9,84.0,2.0,105,7,2,1,2,2,-2,-1,-1,6
29,62,76,38,4,87.0,1.0,95,7,9,5,9,6,0,0,1,7
30,65,69,34,9,90.0,2.0,95,7,2,1,2,2,-7,-4,-1,6
31,67,72,36,0,93.0,1.0,95,7,5,3,5,4,1,1,1,7
32,70,74,37,2,96.0,2.0,105,8,7,4,7,5,5,3,1,8
33,72,74,37,2,99.0,2.0,95,8,7,4,7,5,0,0,0,8
34,74,71,35,11,102.0,2.0,95,8,4,2,4,3,-1,-1,-1,7
35,76,74,37,2,105.0,2.0,95,8,7,4,7,5,7,4,1,8
36,78,74,37,2,108.0,2.0,105,9,7,4,7,5,3,2,0,8
37,80,74,37,2,111.0,2.0,95,9,7,4,7,5,0,0,0,8
38,82,69,34,9,114.0,2.0,95,9,2,1,2,2,-2,-1,-1,7
39,84,72,36,0,117.0,1.0,95,9,5,3,5,4,1,1,1,8
40,87,74,37,2,120.0,2.0,105,10,7,4,7,5,5,3,1,9
41,89,74,37,2,123.0,2.0,95,10,7,4,7,5,0,0,0,9
42,91,71,35,11,126.0,2.0,95,10,4,2,4,3,-1,-1,-1,8
43,93,74,37,2,129.0,2.0,95,10,7,4,7,5,7,4,1,9
44,95,69,34,9,132.0,2.0,105,11,2,1,2,2,-2,-1,-1,8
45,97,76,38,4,135.0,1.0,95,11,9,5,9,6,0,0,1,9
46,100,69,34,9,138.0,2.0,95,11,2,1,2,2,-7,-4,-1,8
47,102,72,36,0,141.0,1.0,95,11,5,3,5,4,1,1,1,9
48,105,74,37,2,144.0,2.0,105,12,7,4,7,5,5,3,1,10
49,107,74,37,2,147.0,2.0,95,12,7,4,7,5,0,0,0,10
50,109,71,35,11,150.0,2.0,95,12,4,2,4,3,-1,-1,-1,9
51,111,74,37,2,153.0,2.0,95,12,7,4,7,5,7,4,1,10
52,113,74,37,2,156.0,2.0,105,13,7,4,7,5,3,2,0,10
53,115,74,37,2,159.0,2.0,95,13,7,4,7,5,0,0,0,10
54,117,69,34,9,162.0,2.0,95,13,2,1,2,2,-2,-1,-1,9
55,119,72,36,0,165.0,1.0,95,13,5,3,5,4,1,1,1,10
56,122,74,37,2,168.0,2.0,105,14,7,4,7,5,5,3,1,11
57,124,74,37,2,171.0,2.0,95,14,7,4,7,5,0,0,0,11
58,126,71,35,11,174.0,2.0,95,14,4,2,4,3,-1,-1,-1,10
59,128,74,37,2,177.0,2.0,95,14,7,4,7,5,7,4,1,11
60,130,69,34,9,180.0,2.0,105,15,2,1,2,2,-2,-1,-1,10
61,132,76,38,4,183.0,1.0,95,15,9,5,9,6,0,0,1,11
62,135,69,34,9,186.0,2.0,95,15,2,1,2,2,-7,-4,-1,10
63,137,72,36,0,189.0,1.0,95,15,5,3,5,4,1,1,1,11
