,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,1,67,33,7,1.0,1.0,105,0,7,4,7,5,0,0,0,0
1,5,69,34,9,5.0,1.0,95,0,9,5,9,6,2,1,1,1
2,9,67,33,7,9.0,1.0,105,1,7,4,7,5,-2,-1,-1,0
3,13,74,37,2,13.0,1.0,95,1,14,8,2,2,-2,-1,1,1
4,17,67,33,7,17.0,1.0,105,2,7,4,7,5,-5,-3,-1,0
5,21,69,34,9,21.0,1.0,95,2,9,5,9,6,2,1,1,1
6,25,79,40,7,25.0,1.0,105,3,19,11,7,5,-2,-1,1,2
7,29,72,36,0,29.0,0.5,95,3,12,7,0,1,-4,-2,-1,1
8,34,67,33,7,33.0,1.0,105,4,7,4,7,5,-2,-1,-1,0
9,38,69,34,9,37.0,1.0,95,4,9,5,9,6,2,1,1,1
10,42,67,33,7,41.0,1.0,105,5,7,4,7,5,-2,-1,-1,0
11,46,74,37,2,45.0,1.0,95,5,14,8,2,2,-2,-1,1,1
12,50,67,33,7,49.0,1.0,105,6,7,4,7,5,-5,-3,-1,0
13,54,69,34,9,53.0,1.0,95,6,9,5,9,6,2,1,1,1
14,58,79,40,7,57.0,1.0,105,7,19,11,7,5,-2,-1,1,2
15,62,72,36,0,61.0,0.5,95,7,12,7,0,1,-4,-2,-1,1
16,67,72,36,0,65.0,2.0,105,8,12,7,0,1,5,3,0,1
17,70,79,40,7,69.0,1.0,95,8,19,11,7,5,-2,-1,1,2
18,74,77,39,5,73.0,1.0,105,9,17,10,5,4,1,1,-1,1
19,78,79,40,7,77.0,1.0,95,9,19,11,7,5,2,1,1,2
20,82,72,36,0,81.0,2.0,105,10,12,7,0,1,-4,-2,-1,1
21,85,79,40,7,85.0,1.0,95,10,19,11,7,5,-2,-1,1,2
22,89,72,36,0,89.0,1.0,105,11,12,7,0,1,-4,-2,-1,1
23,93,60,29,0,93.0,0.5,95,11,0,0,0,1,-4,-2,-1,0
24,98,72,36,0,97.0,2.0,105,12,12,7,0,1,5,3,1,1
25,101,79,40,7,101.0,1.0,95,12,19,11,7,5,-2,-1,1,2
26,105,77,39,5,105.0,1.0,105,13,17,10,5,4,1,1,-1,1
27,109,79,40,7,109.0,1.0,95,13,19,11,7,5,2,1,1,2
28,113,72,36,0,113.0,1.0,105,14,12,7,0,1,-4,-2,-1,1
29,117,79,40,7,117.0,1.0,95,14,19,11,7,5,-2,-1,1,2
30,121,72,36,0,121.0,1.0,105,15,12,7,0,1,-4,-2,-1,1
31,125,60,29,0,125.0,0.5,95,15,0,0,0,1,-4,-2,-1,0
