,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,1,69,34,9,1.0,1.0,105,0,7,4,7,5,0,0,0,0
1,5,79,40,7,4.0,3.0,95,0,17,10,5,4,10,6,1,1
2,6,76,38,4,7.0,1.0,105,1,14,8,2,2,-3,-2,-1,0
3,9,76,38,4,10.0,1.0,95,1,14,8,2,2,-5,-3,0,0
4,12,78,39,6,13.0,3.0,105,2,16,9,4,3,-1,-1,1,1
5,13,74,37,2,16.0,1.0,95,2,12,7,0,1,-4,-2,-1,0
6,16,73,36,1,19.0,1.0,105,3,11,6,11,7,-1,-1,-1,-1
7,19,64,31,4,22.0,1.0,95,3,2,1,2,2,-3,-2,-1,-2
8,22,69,34,9,25.0,3.0,105,4,7,4,7,5,2,1,1,-1
9,23,79,40,7,28.0,3.0,95,4,17,10,5,4,10,6,1,0
10,24,76,38,4,31.0,1.0,105,5,14,8,2,2,-3,-2,-1,-1
11,27,76,38,4,34.0,1.0,95,5,14,8,2,2,-5,-3,0,-1
12,30,78,39,6,37.0,1.0,105,6,16,9,4,3,-1,-1,1,0
13,33,73,36,1,40.0,1.0,95,6,11,6,11,7,-1,-1,-1,-1
14,36,69,34,9,43.0,1.0,105,7,7,4,7,5,2,1,-1,-2
15,39,74,37,2,46.0,2.0,95,7,12,7,0,1,1,1,1,-1
16,41,69,34,9,49.0,1.0,105,8,7,4,7,5,-4,-2,-1,-2
17,45,79,40,7,52.0,3.0,95,8,17,10,5,4,10,6,1,-1
18,46,76,38,4,55.0,1.0,105,9,14,8,2,2,-3,-2,-1,-2
19,49,76,38,4,58.0,1.0,95,9,14,8,2,2,-5,-3,0,-2
20,52,78,39,6,61.0,3.0,105,10,16,9,4,3,-1,-1,1,-1
21,53,74,37,2,64.0,1.0,95,10,12,7,0,1,-4,-2,-1,-2
22,56,73,36,1,67.0,1.0,105,11,11,6,11,7,-1,-1,-1,-3
23,59,64,31,4,70.0,1.0,95,11,2,1,2,2,-3,-2,-1,-4
24,62,69,34,9,73.0,3.0,105,12,7,4,7,5,2,1,1,-3
25,63,79,40,7,76.0,3.0,95,12,17,10,5,4,10,6,1,-2
26,64,76,38,4,79.0,1.0,105,13,14,8,2,2,-3,-2,-1,-3
27,67,76,38,4,82.0,1.0,95,13,14,8,2,2,-5,-3,0,-3
28,70,78,39,6,85.0,1.0,105,14,16,9,4,3,-1,-1,1,-2
29,73,73,36,1,88.0,1.0,95,14,11,6,11,7,-1,-1,-1,-3
30,76,69,34,9,91.0,1.0,105,15,7,4,7,5,2,1,-1,-4
31,79,74,37,2,94.0,2.0,95,15,12,7,0,1,1,1,1,-3
32,81,79,40,7,97.0,1.0,105,16,17,10,5,4,3,2,1,-2
33,85,76,38,4,100.0,1.0,95,16,14,8,2,2,2,1,-1,-3
34,88,74,37,2,103.0,1.0,105,17,12,7,0,1,1,1,-1,-4
35,91,73,36,1,106.0,1.0,95,17,11,6,11,7,-1,-1,-1,-5
36,94,69,34,9,109.0,1.0,105,18,7,4,7,5,2,1,-1,-6
37,98,62,30,2,112.0,3.0,95,18,0,0,0,1,-7,-4,-1,-7
38,99,78,39,6,115.0,1.0,105,19,16,9,4,3,16,9,1,-6
39,102,73,36,1,118.0,1.0,95,19,11,6,11,7,-1,-1,-1,-7
40,105,78,39,6,121.0,1.0,105,20,16,9,4,3,2,1,1,-6
41,108,76,38,4,124.0,1.0,95,20,14,8,2,2,2,1,-1,-7
42,111,74,37,2,127.0,1.0,105,21,12,7,0,1,1,1,-1,-8
43,114,71,35,11,130.0,1.0,95,21,9,5,9,6,-3,-2,-1,-9
44,118,78,39,6,133.0,1.0,105,22,16,9,4,3,2,1,1,-8
45,121,73,36,1,136.0,1.0,95,22,11,6,11,7,-1,-1,-1,-9
46,124,69,34,9,139.0,1.0,105,23,7,4,7,5,2,1,-1,-10
47,127,74,37,2,142.0,2.0,95,23,12,7,0,1,1,1,1,-9
48,129,79,40,7,145.0,1.0,105,24,17,10,5,4,3,2,1,-8
49,133,76,38,4,148.0,1.0,95,24,14,8,2,2,2,1,-1,-9
50,136,74,37,2,151.0,1.0,105,25,12,7,0,1,1,1,-1,-10
51,139,73,36,1,154.0,1.0,95,25,11,6,11,7,-1,-1,-1,-11
52,142,69,34,9,157.0,1.0,105,26,7,4,7,5,2,1,-1,-12
53,146,62,30,2,160.0,3.0,95,26,0,0,0,1,-7,-4,-1,-13
54,147,78,39,6,163.0,1.0,105,27,16,9,4,3,16,9,1,-12
55,150,73,36,1,166.0,1.0,95,27,11,6,11,7,-1,-1,-1,-13
56,153,78,39,6,169.0,1.0,105,28,16,9,4,3,2,1,1,-12
57,156,76,38,4,172.0,1.0,95,28,14,8,2,2,2,1,-1,-13
58,159,74,37,2,175.0,1.0,105,29,12,7,0,1,1,1,-1,-14
59,162,71,35,11,178.0,1.0,95,29,9,5,9,6,-3,-2,-1,-15
60,166,78,39,6,181.0,1.0,105,30,16,9,4,3,2,1,1,-14
61,169,73,36,1,184.0,1.0,95,30,11,6,11,7,-1,-1,-1,-15
62,172,69,34,9,187.0,1.0,105,31,7,4,7,5,2,1,-1,-16
63,175,74,37,2,190.0,2.0,95,31,12,7,0,1,1,1,1,-15
