,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,64,31,4,0.0,1.0,105,0,0,0,0,1,0,0,0,0
1,3,69,34,9,3.0,1.0,95,0,5,3,5,4,0,0,1,1
2,6,69,34,9,6.0,1.0,105,1,5,3,5,4,2,1,0,1
3,9,69,34,9,9.0,1.0,95,1,5,3,5,4,0,0,0,1
4,12,71,35,11,12.0,2.0,105,2,7,4,7,5,7,4,1,2
5,14,69,34,9,15.0,1.0,95,2,5,3,5,4,2,1,-1,1
6,17,67,33,7,18.0,1.0,105,3,3,2,3,3,3,2,-1,0
7,20,69,34,9,21.0,3.0,95,3,5,3,5,4,0,0,1,1
8,21,64,31,4,24.0,1.0,105,4,0,0,0,1,-5,-3,-1,0
9,24,69,34,9,27.0,1.0,95,4,5,3,5,4,0,0,1,1
10,27,69,34,9,30.0,1.0,105,5,5,3,5,4,2,1,0,1
11,30,69,34,9,33.0,1.0,95,5,5,3,5,4,-2,-1,0,1
12,33,71,35,11,36.0,2.0,105,6,7,4,7,5,7,4,1,2
13,35,69,34,9,39.0,1.0,95,6,5,3,5,4,2,1,-1,1
14,38,62,30,2,42.0,1.0,105,7,-2,-1,10,7,-2,-1,-1,0
15,41,64,31,4,45.0,3.0,95,7,0,0,0,1,0,0,1,1
16,42,64,31,4,48.0,1.0,105,8,0,0,0,1,0,0,0,1
17,45,69,34,9,51.0,1.0,95,8,5,3,5,4,0,0,1,2
18,48,69,34,9,54.0,1.0,105,9,5,3,5,4,2,1,0,2
19,51,69,34,9,57.0,1.0,95,9,5,3,5,4,0,0,0,2
20,54,71,35,11,60.0,2.0,105,10,7,4,7,5,7,4,1,3
21,56,69,34,9,63.0,1.0,95,10,5,3,5,4,2,1,-1,2
22,59,67,33,7,66.0,1.0,105,11,3,2,3,3,3,2,-1,1
23,62,69,34,9,69.0,3.0,95,11,5,3,5,4,0,0,1,2
24,63,64,31,4,72.0,1.0,105,12,0,0,0,1,-5,-3,-1,1
25,66,69,34,9,75.0,1.0,95,12,5,3,5,4,0,0,1,2
26,69,69,34,9,78.0,1.0,105,13,5,3,5,4,2,1,0,2
27,72,69,34,9,81.0,1.0,95,13,5,3,5,4,-2,-1,0,2
28,75,71,35,11,84.0,2.0,105,14,7,4,7,5,7,4,1,3
29,77,69,34,9,87.0,1.0,95,14,5,3,5,4,2,1,-1,2
30,80,62,30,2,90.0,1.0,105,15,-2,-1,10,7,-2,-1,-1,1
31,83,64,31,4,93.0,3.0,95,15,0,0,0,1,0,0,1,2
32,84,62,30,2,96.0,1.0,105,16,-2,-1,10,7,-2,-1,-1,1
33,87,67,33,7,99.0,1.0,95,16,3,2,3,3,3,2,1,2
34,90,69,34,9,102.0,2.0,105,17,5,3,5,4,5,3,1,3
35,94,62,30,2,108.0,1.0,105,18,-2,-1,10,7,-2,-1,-1,2
36,97,67,33,7,111.0,1.0,95,18,3,2,3,3,3,2,1,3
37,100,71,35,11,114.0,2.0,105,19,7,4,7,5,7,4,1,4
38,102,69,34,9,117.0,1.0,95,19,5,3,5,4,2,1,-1,3
39,105,62,30,2,120.0,1.0,105,20,-2,-1,10,7,-2,-1,-1,2
40,108,67,33,7,123.0,1.0,95,20,3,2,3,3,3,2,1,3
41,111,69,34,9,126.0,2.0,105,21,5,3,5,4,5,3,1,4
42,115,71,35,11,132.0,2.0,105,22,7,4,7,5,7,4,1,5
43,117,69,34,9,135.0,1.0,95,22,5,3,5,4,2,1,-1,4
44,120,62,30,2,138.0,1.0,105,23,-2,-1,10,7,-2,-1,-1,3
45,123,64,31,4,141.0,1.0,95,23,0,0,0,1,0,0,1,4
46,126,62,30,2,144.0,1.0,105,24,-2,-1,10,7,-2,-1,-1,3
47,129,67,33,7,147.0,1.0,95,24,3,2,3,3,3,2,1,4
48,132,69,34,9,150.0,2.0,105,25,5,3,5,4,5,3,1,5
49,136,62,30,2,156.0,1.0,105,26,-2,-1,10,7,-2,-1,-1,4
50,139,67,33,7,159.0,1.0,95,26,3,2,3,3,3,2,1,5
51,142,71,35,11,162.0,2.0,105,27,7,4,7,5,7,4,1,6
52,144,69,34,9,165.0,1.0,95,27,5,3,5,4,2,1,-1,5
53,147,62,30,2,168.0,1.0,105,28,-2,-1,10,7,-2,-1,-1,4
54,150,67,33,7,171.0,1.0,95,28,3,2,3,3,3,2,1,5
55,153,69,34,9,174.0,2.0,105,29,5,3,5,4,5,3,1,6
56,157,71,35,11,180.0,2.0,105,30,7,4,7,5,7,4,1,7
57,159,69,34,9,183.0,1.0,95,30,5,3,5,4,2,1,-1,6
58,162,62,30,2,186.0,1.0,105,31,-2,-1,10,7,-2,-1,-1,5
59,165,64,31,4,189.0,1.0,95,31,0,0,0,1,0,0,1,6
