,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,66,32,6,2.0,3.0,105,0,4,2,4,3,0,0,0,0
1,6,64,31,4,8.0,1.0,105,1,2,1,2,2,-2,-1,-1,-1
2,11,59,28,11,14.0,3.0,105,2,-3,-2,9,6,-2,-1,-1,-2
3,15,64,31,4,20.0,3.0,105,3,2,1,2,2,-3,-2,1,-1
4,19,66,32,6,26.0,3.0,105,4,4,2,4,3,-1,-1,1,0
5,23,64,31,4,32.0,1.0,105,5,2,1,2,2,0,0,-1,-1
6,28,59,28,11,38.0,3.0,105,6,-3,-2,9,6,-2,-1,-1,-2
7,32,61,29,1,44.0,4.0,105,7,-1,-1,11,7,-1,-1,1,-1
8,35,66,32,6,50.0,3.0,105,8,4,2,4,3,-1,-1,1,0
9,39,61,29,1,56.0,4.0,105,9,-1,-1,11,7,-5,-3,-1,-1
10,41,59,28,11,62.0,3.0,105,10,-3,-2,9,6,-3,-2,-1,-2
11,45,64,31,4,68.0,4.0,105,11,2,1,2,2,-3,-2,1,-1
12,48,59,28,11,74.0,3.0,105,12,-3,-2,9,6,-2,-1,-1,-2
13,52,64,31,4,80.0,4.0,105,13,2,1,2,2,-3,-2,1,-1
14,54,62,30,2,86.0,6.0,105,14,0,0,0,1,0,0,-1,-2
15,55,62,30,2,92.0,6.0,105,15,0,0,0,1,0,0,0,-2
16,56,71,35,11,98.0,2.0,105,16,9,5,9,6,9,5,1,-1
17,61,73,36,1,104.0,4.0,105,17,11,6,11,7,-1,-1,1,0
18,64,73,36,1,110.0,2.0,105,18,11,6,11,7,4,2,0,0
19,67,67,33,7,116.0,6.0,105,19,5,3,5,4,1,1,-1,-1
20,68,66,32,6,122.0,2.0,105,20,4,2,4,3,-1,-1,-1,-2
21,72,64,31,4,128.0,2.0,105,21,2,1,2,2,2,1,-1,-3
22,74,59,28,11,134.0,3.0,105,22,-3,-2,9,6,-2,-1,-1,-4
23,78,61,29,1,140.0,3.0,105,23,-1,-1,11,7,-3,-2,1,-3
24,82,66,32,6,146.0,3.0,105,24,4,2,4,3,-1,-1,1,-2
25,86,64,31,4,152.0,1.0,105,25,2,1,2,2,-2,-1,-1,-3
26,91,59,28,11,158.0,3.0,105,26,-3,-2,9,6,-2,-1,-1,-4
27,95,64,31,4,164.0,4.0,105,27,2,1,2,2,-3,-2,1,-3
28,98,59,28,11,170.0,3.0,105,28,-3,-2,9,6,-2,-1,-1,-4
29,102,64,31,4,176.0,4.0,105,29,2,1,2,2,-3,-2,1,-3
30,104,62,30,2,182.0,6.0,105,30,0,0,0,1,0,0,-1,-4
31,105,62,30,2,188.0,6.0,105,31,0,0,0,1,0,0,0,-4
