,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,73,36,1,2.0,2.0,105,0,11,6,11,7,0,0,0,0
1,7,73,36,1,8.0,2.0,105,1,11,6,11,7,2,1,0,0
2,11,78,39,6,14.0,1.5,105,2,16,9,4,3,2,1,1,1
3,17,73,36,1,20.0,2.0,105,3,11,6,11,7,4,2,-1,0
4,21,73,36,1,26.0,2.0,105,4,11,6,11,7,-1,-1,0,0
5,26,73,36,1,32.0,2.0,105,5,11,6,11,7,2,1,0,0
6,30,78,39,6,38.0,1.5,105,6,16,9,4,3,2,1,1,1
7,36,69,34,9,44.0,4.0,105,7,7,4,7,5,-4,-2,-1,0
8,39,73,36,1,50.0,2.0,105,8,11,6,11,7,-1,-1,1,1
9,44,73,36,1,56.0,2.0,105,9,11,6,11,7,2,1,0,1
10,48,78,39,6,62.0,1.5,105,10,16,9,4,3,2,1,1,2
11,54,73,36,1,68.0,2.0,105,11,11,6,11,7,4,2,-1,1
12,58,73,36,1,74.0,2.0,105,12,11,6,11,7,-1,-1,0,1
13,63,73,36,1,80.0,2.0,105,13,11,6,11,7,2,1,0,1
14,67,78,39,6,86.0,1.5,105,14,16,9,4,3,2,1,1,2
15,73,69,34,9,92.0,4.0,105,15,7,4,7,5,-4,-2,-1,1
16,76,78,39,6,98.0,2.0,105,16,16,9,4,3,-1,-1,1,2
17,81,76,38,4,104.0,2.0,105,17,14,8,2,2,2,1,-1,1
18,85,78,39,6,110.0,1.5,105,18,16,9,4,3,2,1,1,2
19,91,73,36,1,116.0,2.0,105,19,11,6,11,7,4,2,-1,1
20,94,73,36,1,122.0,3.0,105,20,11,6,11,7,-3,-2,0,1
21,98,71,35,11,128.0,4.0,105,21,9,5,9,6,-7,-4,-1,0
22,101,74,37,2,134.0,2.0,105,22,12,7,0,1,1,1,1,1
23,106,69,34,9,140.0,4.0,105,23,7,4,7,5,-4,-2,-1,0
24,109,78,39,6,146.0,2.0,105,24,16,9,4,3,-1,-1,1,1
25,114,76,38,4,152.0,2.0,105,25,14,8,2,2,2,1,-1,0
26,118,78,39,6,158.0,1.5,105,26,16,9,4,3,2,1,1,1
27,124,73,36,1,164.0,2.0,105,27,11,6,11,7,4,2,-1,0
28,127,73,36,1,170.0,3.0,105,28,11,6,11,7,-3,-2,0,0
29,131,71,35,11,176.0,4.0,105,29,9,5,9,6,-7,-4,-1,-1
30,134,74,37,2,182.0,2.0,105,30,12,7,0,1,1,1,1,0
31,139,69,34,9,188.0,4.0,105,31,7,4,7,5,-4,-2,-1,-1
