,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,74,37,2,1.0,1.0,105,0,7,4,7,5,0,0,0,0
1,5,67,33,7,4.0,1.5,95,0,0,0,0,1,0,0,-1,-1
2,8,74,37,2,7.0,1.0,105,1,7,4,7,5,7,4,1,0
3,11,69,34,9,10.0,1.0,95,1,2,1,2,2,-2,-1,-1,-1
4,14,74,37,2,13.0,1.0,105,2,7,4,7,5,-2,-1,1,0
5,17,67,33,7,16.0,1.5,95,2,0,0,0,1,0,0,-1,-1
6,20,72,36,0,19.0,1.0,105,3,5,3,5,4,5,3,1,0
7,23,69,34,9,22.0,1.0,95,3,2,1,2,2,3,2,-1,-1
8,26,71,35,11,25.0,1.0,105,4,4,2,4,3,-1,-1,1,0
9,29,67,33,7,28.0,1.5,95,4,0,0,0,1,0,0,-1,-1
10,32,74,37,2,31.0,1.0,105,5,7,4,7,5,7,4,1,0
11,35,71,35,11,34.0,1.0,95,5,4,2,4,3,4,2,-1,-1
12,38,76,38,4,37.0,1.0,105,6,9,5,9,6,-3,-2,1,0
13,41,74,37,2,40.0,1.0,95,6,7,4,7,5,2,1,-1,-1
14,44,72,36,0,43.0,1.0,105,7,5,3,5,4,1,1,-1,-2
15,47,67,33,7,46.0,2.0,95,7,0,0,0,1,1,1,-1,-3
16,50,74,37,2,49.0,1.0,105,8,7,4,7,5,-2,-1,1,-2
17,53,67,33,7,52.0,1.5,95,8,0,0,0,1,0,0,-1,-3
18,56,74,37,2,55.0,1.0,105,9,7,4,7,5,7,4,1,-2
19,59,69,34,9,58.0,1.0,95,9,2,1,2,2,-2,-1,-1,-3
20,62,74,37,2,61.0,1.0,105,10,7,4,7,5,-2,-1,1,-2
21,65,67,33,7,64.0,1.5,95,10,0,0,0,1,0,0,-1,-3
22,68,72,36,0,67.0,1.0,105,11,5,3,5,4,5,3,1,-2
23,71,69,34,9,70.0,1.0,95,11,2,1,2,2,3,2,-1,-3
24,74,71,35,11,73.0,1.0,105,12,4,2,4,3,-1,-1,1,-2
25,77,67,33,7,76.0,1.5,95,12,0,0,0,1,0,0,-1,-3
26,80,74,37,2,79.0,1.0,105,13,7,4,7,5,7,4,1,-2
27,83,71,35,11,82.0,1.0,95,13,4,2,4,3,4,2,-1,-3
28,86,76,38,4,85.0,1.0,105,14,9,5,9,6,-3,-2,1,-2
29,89,74,37,2,88.0,1.0,95,14,7,4,7,5,2,1,-1,-3
30,92,72,36,0,91.0,1.0,105,15,5,3,5,4,1,1,-1,-4
31,95,67,33,7,94.0,2.0,95,15,0,0,0,1,1,1,-1,-5
32,98,67,33,7,97.0,2.0,105,16,0,0,0,1,-2,-1,0,-5
33,100,79,40,7,100.0,1.0,95,16,12,7,0,1,0,0,1,-4
34,103,74,37,2,103.0,1.0,105,17,7,4,7,5,-5,-3,-1,-5
35,106,69,34,9,106.0,1.0,95,17,2,1,2,2,-2,-1,-1,-6
36,109,65,32,5,109.0,2.0,105,18,-2,-1,10,7,-2,-1,-1,-7
37,111,77,39,5,112.0,1.0,95,18,10,6,10,7,0,0,1,-6
38,114,72,36,0,115.0,1.0,105,19,5,3,5,4,-5,-3,-1,-7
39,117,65,32,5,118.0,1.0,95,19,-2,-1,10,7,0,0,-1,-8
40,120,67,33,7,121.0,1.0,105,20,0,0,0,1,-2,-1,1,-7
41,123,79,40,7,124.0,1.0,95,20,12,7,0,1,0,0,1,-6
42,126,76,38,4,127.0,1.0,105,21,9,5,9,6,-3,-2,-1,-7
43,129,74,37,2,130.0,1.0,95,21,7,4,7,5,-5,-3,-1,-8
44,132,76,38,4,133.0,1.0,105,22,9,5,9,6,-1,-1,1,-7
45,135,74,37,2,136.0,1.0,95,22,7,4,7,5,2,1,-1,-8
46,138,72,36,0,139.0,1.0,105,23,5,3,5,4,1,1,-1,-9
47,141,67,33,7,142.0,2.0,95,23,0,0,0,1,1,1,-1,-10
48,144,67,33,7,145.0,2.0,105,24,0,0,0,1,-2,-1,0,-10
49,146,79,40,7,148.0,1.0,95,24,12,7,0,1,0,0,1,-9
50,149,74,37,2,151.0,1.0,105,25,7,4,7,5,-5,-3,-1,-10
51,152,69,34,9,154.0,1.0,95,25,2,1,2,2,-2,-1,-1,-11
52,155,65,32,5,157.0,2.0,105,26,-2,-1,10,7,-2,-1,-1,-12
53,157,77,39,5,160.0,1.0,95,26,10,6,10,7,0,0,1,-11
54,160,72,36,0,163.0,1.0,105,27,5,3,5,4,-5,-3,-1,-12
55,163,65,32,5,166.0,1.0,95,27,-2,-1,10,7,0,0,-1,-13
