,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,62,30,2,0.0,1.0,105,0,-5,-3,7,5,0,0,0,0
1,4,66,32,6,4.0,0.5,105,1,-1,-1,11,7,-1,-1,1,1
2,9,71,35,11,8.0,1.0,105,2,4,2,4,3,-1,-1,1,2
3,13,69,34,9,12.0,0.5,105,3,2,1,2,2,-2,-1,-1,1
4,18,62,30,2,16.0,1.0,105,4,-5,-3,7,5,-7,-4,-1,0
5,22,66,32,6,20.0,0.5,105,5,-1,-1,11,7,-1,-1,1,1
6,27,71,35,11,24.0,1.0,105,6,4,2,4,3,-1,-1,1,2
7,32,67,33,7,28.0,4.0,105,7,0,0,0,1,1,1,-1,1
8,33,62,30,2,32.0,1.0,95,7,-5,-3,7,5,-5,-3,-1,0
9,37,66,32,6,36.0,0.5,105,8,-1,-1,11,7,-1,-1,1,1
10,42,71,35,11,40.0,1.0,105,9,4,2,4,3,-1,-1,1,2
11,46,69,34,9,44.0,0.5,105,10,2,1,2,2,-2,-1,-1,1
12,51,62,30,2,48.0,1.0,105,11,-5,-3,7,5,-7,-4,-1,0
13,55,66,32,6,52.0,0.5,105,12,-1,-1,11,7,-1,-1,1,1
14,60,71,35,11,56.0,1.0,105,13,4,2,4,3,-1,-1,1,2
15,65,67,33,7,60.0,4.0,105,14,0,0,0,1,1,1,-1,1
16,66,74,37,2,64.0,1.0,95,14,7,4,7,5,7,4,1,2
17,70,72,36,0,68.0,0.5,105,15,5,3,5,4,1,1,-1,1
18,75,71,35,11,72.0,1.0,105,16,4,2,4,3,-1,-1,-1,0
19,79,69,34,9,76.0,0.5,105,17,2,1,2,2,-2,-1,-1,-1
20,84,74,37,2,80.0,1.0,105,18,7,4,7,5,5,3,1,0
21,88,72,36,0,84.0,0.5,105,19,5,3,5,4,1,1,-1,-1
22,93,71,35,11,88.0,1.0,105,20,4,2,4,3,-1,-1,-1,-2
23,98,67,33,7,92.0,4.0,105,21,0,0,0,1,1,1,-1,-3
24,99,74,37,2,96.0,1.0,95,21,7,4,7,5,7,4,1,-2
25,103,72,36,0,100.0,0.5,105,22,5,3,5,4,1,1,-1,-3
26,108,71,35,11,104.0,1.0,105,23,4,2,4,3,-1,-1,-1,-4
27,112,69,34,9,108.0,0.5,105,24,2,1,2,2,-2,-1,-1,-5
28,117,74,37,2,112.0,1.0,105,25,7,4,7,5,5,3,1,-4
29,121,72,36,0,116.0,0.5,105,26,5,3,5,4,1,1,-1,-5
30,126,71,35,11,120.0,1.0,105,27,4,2,4,3,-1,-1,-1,-6
31,131,67,33,7,124.0,4.0,105,28,0,0,0,1,1,1,-1,-7
