,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,76,38,4,0.0,3.0,105,0,12,7,0,1,0,0,0,0
1,4,76,38,4,6.0,2.0,105,1,12,7,0,1,-2,-1,0,0
2,8,71,35,11,12.0,3.0,105,2,7,4,7,5,2,1,-1,-1
3,12,67,33,7,18.0,1.0,105,3,3,2,3,3,-2,-1,-1,-2
4,16,64,31,4,24.0,2.0,105,4,0,0,0,1,5,3,-1,-3
5,19,69,34,9,30.0,2.0,105,5,5,3,5,4,-2,-1,1,-2
6,22,64,31,4,36.0,18.0,105,6,0,0,0,1,2,1,-1,-3
7,24,67,33,7,60.0,3.0,105,7,3,2,3,3,5,3,1,-2
8,28,69,34,9,66.0,2.0,105,8,5,3,5,4,-2,-1,1,-1
9,31,67,33,7,72.0,10.0,105,9,3,2,3,3,5,3,-1,-2
10,33,76,38,4,84.0,3.0,105,10,12,7,0,1,2,1,1,-1
11,37,76,38,4,90.0,2.0,105,11,12,7,0,1,-2,-1,0,-1
12,40,74,37,2,96.0,10.0,105,12,10,6,10,7,3,2,-1,-2
13,42,76,38,4,108.0,3.0,105,13,12,7,0,1,2,1,1,-1
14,46,76,38,4,114.0,2.0,105,14,12,7,0,1,-2,-1,0,-1
15,50,71,35,11,120.0,3.0,105,15,7,4,7,5,2,1,-1,-2
16,54,67,33,7,126.0,1.0,105,16,3,2,3,3,-2,-1,-1,-3
17,58,64,31,4,132.0,2.0,105,17,0,0,0,1,5,3,-1,-4
18,61,69,34,9,138.0,2.0,105,18,5,3,5,4,-2,-1,1,-3
19,66,67,33,7,144.0,10.0,105,19,3,2,3,3,-2,-1,-1,-4
20,68,67,33,7,156.0,3.0,105,20,3,2,3,3,5,3,0,-4
21,72,69,34,9,162.0,2.0,105,21,5,3,5,4,-2,-1,1,-3
22,75,67,33,7,168.0,10.0,105,22,3,2,3,3,5,3,-1,-4
23,77,76,38,4,180.0,3.0,105,23,12,7,0,1,2,1,1,-3
24,81,76,38,4,186.0,2.0,105,24,12,7,0,1,-2,-1,0,-3
25,84,74,37,2,192.0,10.0,105,25,10,6,10,7,3,2,-1,-4
26,86,76,38,4,204.0,3.0,105,26,12,7,0,1,2,1,1,-3
27,90,76,38,4,210.0,2.0,105,27,12,7,0,1,-2,-1,0,-3
28,94,71,35,11,216.0,3.0,105,28,7,4,7,5,2,1,-1,-4
29,98,67,33,7,222.0,1.0,105,29,3,2,3,3,-2,-1,-1,-5
30,102,64,31,4,228.0,2.0,105,30,0,0,0,1,5,3,-1,-6
31,105,69,34,9,234.0,2.0,105,31,5,3,5,4,-2,-1,1,-5
32,110,67,33,7,240.0,10.0,105,32,3,2,3,3,-2,-1,-1,-6
33,111,67,33,7,246.0,6.0,105,33,3,2,3,3,0,0,0,-6
34,112,76,38,4,252.0,2.0,105,34,12,7,0,1,9,5,1,-5
35,117,71,35,11,258.0,2.0,105,35,7,4,7,5,0,0,-1,-6
36,121,74,37,2,264.0,2.0,105,36,10,6,10,7,3,2,1,-5
37,124,71,35,11,270.0,6.0,105,37,7,4,7,5,2,1,-1,-6
38,125,69,34,9,276.0,2.0,105,38,5,3,5,4,-2,-1,-1,-7
39,130,71,35,11,282.0,2.0,105,39,7,4,7,5,2,1,1,-6
40,133,64,31,4,288.0,2.0,105,40,0,0,0,1,-3,-2,-1,-7
41,137,64,31,4,294.0,6.0,105,41,0,0,0,1,2,1,0,-7
42,138,76,38,4,300.0,2.0,105,42,12,7,0,1,12,7,1,-6
43,143,71,35,11,306.0,2.0,105,43,7,4,7,5,0,0,-1,-7
44,147,74,37,2,312.0,2.0,105,44,10,6,10,7,3,2,1,-6
45,150,71,35,11,318.0,6.0,105,45,7,4,7,5,2,1,-1,-7
46,151,69,34,9,324.0,2.0,105,46,5,3,5,4,-2,-1,-1,-8
47,156,71,35,11,330.0,2.0,105,47,7,4,7,5,2,1,1,-7
48,159,64,31,4,336.0,2.0,105,48,0,0,0,1,-3,-2,-1,-8
49,163,64,31,4,342.0,6.0,105,49,0,0,0,1,2,1,0,-8
50,164,62,30,2,348.0,6.0,105,50,-2,-1,10,7,-2,-1,-1,-9
51,165,67,33,7,354.0,3.0,105,51,3,2,3,3,5,3,1,-8
52,170,64,31,4,360.0,4.0,105,52,0,0,0,1,-1,-1,-1,-9
53,172,64,31,4,366.0,2.0,105,53,0,0,0,1,5,3,0,-9
54,175,69,34,9,372.0,2.0,105,54,5,3,5,4,-2,-1,1,-8
55,178,64,31,4,378.0,12.0,105,55,0,0,0,1,2,1,-1,-9
