,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,1,76,38,4,0.5,1.5,105,0,16,9,4,3,0,0,0,0
1,6,67,33,7,4.5,1.5,95,0,7,4,7,5,-5,-3,-1,-1
2,10,76,38,4,8.5,1.5,105,1,16,9,4,3,4,2,1,0
3,15,72,36,0,12.5,2.0,95,1,12,7,0,1,-4,-2,-1,-1
4,18,77,39,5,16.5,1.5,105,2,17,10,5,4,1,1,1,0
5,23,69,34,9,20.5,1.5,95,2,9,5,9,6,-5,-3,-1,-1
6,27,71,35,11,24.5,1.5,105,3,11,6,11,7,-1,-1,1,0
7,32,67,33,7,28.5,2.0,95,3,7,4,7,5,-4,-2,-1,-1
8,35,72,36,0,32.5,1.5,105,4,12,7,0,1,-5,-3,1,0
9,38,71,35,11,36.5,1.5,95,4,11,6,11,7,-1,-1,-1,-1
10,42,76,38,4,40.5,1.5,105,5,16,9,4,3,4,2,1,0
11,47,72,36,0,44.5,2.0,95,5,12,7,0,1,-4,-2,-1,-1
12,50,81,41,9,48.5,1.5,105,6,21,12,9,6,2,1,1,0
13,54,77,39,5,52.5,1.5,95,6,17,10,5,4,1,1,-1,-1
14,58,71,35,11,56.5,0.67,105,7,11,6,11,7,-1,-1,-1,-2
15,64,72,36,0,60.5,2.0,95,7,12,7,0,1,1,1,1,-1
16,67,76,38,4,64.5,1.5,105,8,16,9,4,3,-1,-1,1,0
17,72,76,38,4,68.5,1.5,95,8,16,9,4,3,-3,-2,0,0
18,77,76,38,4,72.5,1.5,105,9,16,9,4,3,-3,-2,0,0
19,82,72,36,0,76.5,2.0,95,9,12,7,0,1,-4,-2,-1,-1
20,85,77,39,5,80.5,1.5,105,10,17,10,5,4,1,1,1,0
21,90,77,39,5,84.5,1.5,95,10,17,10,5,4,-4,-2,0,0
22,95,77,39,5,88.5,1.5,105,11,17,10,5,4,-4,-2,0,0
23,100,74,37,2,92.5,2.0,95,11,14,8,2,2,-3,-2,-1,-1
24,103,76,38,4,96.5,1.5,105,12,16,9,4,3,-1,-1,1,0
25,108,76,38,4,100.5,1.5,95,12,16,9,4,3,-3,-2,0,0
26,113,76,38,4,104.5,1.5,105,13,16,9,4,3,-3,-2,0,0
27,118,72,36,0,108.5,2.0,95,13,12,7,0,1,-4,-2,-1,-1
28,121,81,41,9,112.5,0.67,105,14,21,12,9,6,2,1,1,0
29,127,77,39,5,116.5,0.67,95,14,17,10,5,4,-2,-1,-1,-1
30,133,71,35,11,120.5,0.67,105,15,11,6,11,7,-5,-3,-1,-2
31,139,72,36,0,124.5,2.0,95,15,12,7,0,1,1,1,1,-1
