,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,78,39,6,0.0,1.0,105,0,7,4,7,5,0,0,0,0
1,4,66,32,6,4.0,1.0,95,0,-5,-3,7,5,-3,-2,-1,-1
2,8,69,34,9,8.0,2.0,105,1,-2,-1,10,7,-2,-1,1,0
3,11,69,34,9,12.0,1.0,95,1,-2,-1,10,7,-2,-1,0,0
4,15,78,39,6,16.0,1.0,105,2,7,4,7,5,2,1,1,1
5,19,66,32,6,20.0,1.0,95,2,-5,-3,7,5,-3,-2,-1,0
6,23,69,34,9,24.0,1.0,105,3,-2,-1,10,7,-2,-1,1,1
7,27,71,35,11,28.0,1.0,95,3,0,0,0,1,2,1,1,2
8,33,78,39,6,32.0,1.0,105,4,7,4,7,5,2,1,1,3
9,37,66,32,6,36.0,1.0,95,4,-5,-3,7,5,-3,-2,-1,2
10,41,69,34,9,40.0,2.0,105,5,-2,-1,10,7,-2,-1,1,3
11,44,69,34,9,44.0,1.0,95,5,-2,-1,10,7,-2,-1,0,3
12,48,78,39,6,48.0,1.0,105,6,7,4,7,5,2,1,1,4
13,52,76,38,4,52.0,1.0,95,6,5,3,5,4,-2,-1,-1,3
14,56,74,37,2,56.0,1.0,105,7,3,2,3,3,-2,-1,-1,2
15,60,71,35,11,60.0,1.0,95,7,0,0,0,1,5,3,-1,1
16,66,78,39,6,64.0,1.0,105,8,7,4,7,5,2,1,1,2
17,70,66,32,6,68.0,1.0,95,8,-5,-3,7,5,-3,-2,-1,1
18,74,69,34,9,72.0,2.0,105,9,-2,-1,10,7,-2,-1,1,2
19,77,69,34,9,76.0,1.0,95,9,-2,-1,10,7,-2,-1,0,2
20,81,78,39,6,80.0,1.0,105,10,7,4,7,5,2,1,1,3
21,85,66,32,6,84.0,1.0,95,10,-5,-3,7,5,-3,-2,-1,2
22,89,69,34,9,88.0,1.0,105,11,-2,-1,10,7,-2,-1,1,3
23,93,71,35,11,92.0,1.0,95,11,0,0,0,1,2,1,1,4
24,99,78,39,6,96.0,1.0,105,12,7,4,7,5,2,1,1,5
25,103,66,32,6,100.0,1.0,95,12,-5,-3,7,5,-3,-2,-1,4
26,107,69,34,9,104.0,2.0,105,13,-2,-1,10,7,-2,-1,1,5
27,110,69,34,9,108.0,1.0,95,13,-2,-1,10,7,-2,-1,0,5
28,114,78,39,6,112.0,1.0,105,14,7,4,7,5,2,1,1,6
29,118,76,38,4,116.0,1.0,95,14,5,3,5,4,-2,-1,-1,5
30,122,74,37,2,120.0,1.0,105,15,3,2,3,3,-2,-1,-1,4
31,126,71,35,11,124.0,1.0,95,15,0,0,0,1,5,3,-1,3
32,132,74,37,2,128.0,2.0,105,16,3,2,3,3,1,1,1,4
33,135,69,34,9,132.0,1.0,95,16,-2,-1,10,7,-5,-3,-1,3
34,139,83,42,11,136.0,1.0,105,17,12,7,0,1,2,1,1,4
35,143,76,38,4,140.0,1.0,95,17,5,3,5,4,-2,-1,-1,3
36,147,74,37,2,144.0,2.0,105,18,3,2,3,3,-2,-1,-1,2
37,150,69,34,9,148.0,1.0,95,18,-2,-1,10,7,-5,-3,-1,1
38,154,83,42,11,152.0,1.0,105,19,12,7,0,1,2,1,1,2
39,158,76,38,4,156.0,1.0,95,19,5,3,5,4,-2,-1,-1,1
40,164,76,38,4,160.0,0.5,105,20,5,3,5,4,-2,-1,0,1
41,168,69,34,9,164.0,1.0,95,20,-2,-1,10,7,-5,-3,-1,0
42,172,83,42,11,168.0,1.0,105,21,12,7,0,1,2,1,1,1
43,176,76,38,4,172.0,1.0,95,21,5,3,5,4,-2,-1,-1,0
44,180,78,39,6,176.0,1.0,105,22,7,4,7,5,2,1,1,1
45,184,66,32,6,180.0,1.0,95,22,-5,-3,7,5,-3,-2,-1,0
46,188,69,34,9,184.0,1.0,105,23,-2,-1,10,7,-2,-1,1,1
47,192,71,35,11,188.0,1.0,95,23,0,0,0,1,2,1,1,2
48,198,74,37,2,192.0,1.0,105,24,3,2,3,3,1,1,1,3
49,202,81,41,9,196.0,2.0,95,24,10,6,10,7,3,2,1,4
50,205,83,42,11,200.0,1.0,105,25,12,7,0,1,2,1,1,5
51,209,76,38,4,204.0,1.0,95,25,5,3,5,4,-2,-1,-1,4
52,213,74,37,2,208.0,1.0,105,26,3,2,3,3,-2,-1,-1,3
53,217,81,41,9,212.0,1.0,95,26,10,6,10,7,3,2,1,4
54,221,83,42,11,216.0,1.0,105,27,12,7,0,1,2,1,1,5
55,225,76,38,4,220.0,1.0,95,27,5,3,5,4,-2,-1,-1,4
56,231,74,37,2,224.0,2.0,105,28,3,2,3,3,-4,-2,-1,3
57,235,81,41,9,228.0,1.0,95,28,10,6,10,7,7,4,1,4
58,239,83,42,11,232.0,1.0,105,29,12,7,0,1,2,1,1,5
59,243,76,38,4,236.0,1.0,95,29,5,3,5,4,-2,-1,-1,4
60,247,78,39,6,240.0,1.0,105,30,7,4,7,5,2,1,1,5
61,251,66,32,6,244.0,1.0,95,30,-5,-3,7,5,-3,-2,-1,4
62,255,69,34,9,248.0,1.0,105,31,-2,-1,10,7,-2,-1,1,5
63,259,71,35,11,252.0,1.0,95,31,0,0,0,1,2,1,1,6
