,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,67,33,7,2.0,3.0,105,0,0,0,0,1,0,0,0,0
1,3,79,40,7,5.0,2.0,95,0,12,7,0,1,12,7,1,1
2,5,74,37,2,8.0,1.0,105,1,7,4,7,5,-2,-1,-1,0
3,8,69,34,9,11.0,1.0,95,1,2,1,2,2,2,1,-1,-1
4,11,62,30,2,14.0,2.0,105,2,-5,-3,7,5,-2,-1,-1,-2
5,13,67,33,7,17.0,1.0,95,2,0,0,0,1,3,2,1,-1
6,16,71,35,11,20.0,1.0,105,3,4,2,4,3,4,2,1,0
7,19,69,34,9,23.0,1.0,95,3,2,1,2,2,0,0,-1,-1
8,22,67,33,7,26.0,1.0,105,4,0,0,0,1,3,2,-1,-2
9,25,79,40,7,29.0,2.0,95,4,12,7,0,1,12,7,1,-1
10,27,74,37,2,32.0,1.0,105,5,7,4,7,5,-2,-1,-1,-2
11,30,69,34,9,35.0,1.0,95,5,2,1,2,2,2,1,-1,-3
12,33,62,30,2,38.0,2.0,105,6,-5,-3,7,5,-2,-1,-1,-4
13,35,69,34,9,41.0,1.0,95,6,2,1,2,2,2,1,1,-3
14,38,71,35,11,44.0,1.0,105,7,4,2,4,3,2,1,1,-2
15,41,67,33,7,47.0,1.0,95,7,0,0,0,1,0,0,-1,-3
16,44,67,33,7,50.0,3.0,105,8,0,0,0,1,-2,-1,0,-3
17,45,79,40,7,53.0,2.0,95,8,12,7,0,1,12,7,1,-2
18,47,74,37,2,56.0,1.0,105,9,7,4,7,5,-2,-1,-1,-3
19,50,69,34,9,59.0,1.0,95,9,2,1,2,2,2,1,-1,-4
20,53,62,30,2,62.0,2.0,105,10,-5,-3,7,5,-2,-1,-1,-5
21,55,67,33,7,65.0,1.0,95,10,0,0,0,1,3,2,1,-4
22,58,71,35,11,68.0,1.0,105,11,4,2,4,3,4,2,1,-3
23,61,69,34,9,71.0,1.0,95,11,2,1,2,2,0,0,-1,-4
24,64,67,33,7,74.0,1.0,105,12,0,0,0,1,3,2,-1,-5
25,67,79,40,7,77.0,2.0,95,12,12,7,0,1,12,7,1,-4
26,69,74,37,2,80.0,1.0,105,13,7,4,7,5,-2,-1,-1,-5
27,72,69,34,9,83.0,1.0,95,13,2,1,2,2,2,1,-1,-6
28,75,62,30,2,86.0,2.0,105,14,-5,-3,7,5,-2,-1,-1,-7
29,77,69,34,9,89.0,1.0,95,14,2,1,2,2,2,1,1,-6
30,80,71,35,11,92.0,1.0,105,15,4,2,4,3,2,1,1,-5
31,83,67,33,7,95.0,2.0,95,15,0,0,0,1,0,0,-1,-6
32,85,76,38,4,98.0,3.0,105,16,9,5,9,6,2,1,1,-5
33,86,79,40,7,101.0,1.0,95,16,12,7,0,1,3,2,1,-4
34,89,71,35,11,104.0,1.0,105,17,4,2,4,3,-5,-3,-1,-5
35,92,79,40,7,107.0,1.0,95,17,12,7,0,1,3,2,1,-4
36,95,71,35,11,110.0,1.0,105,18,4,2,4,3,-5,-3,-1,-5
37,98,79,40,7,113.0,1.0,95,18,12,7,0,1,3,2,1,-4
38,101,78,39,6,116.0,1.0,105,19,11,6,11,7,2,1,-1,-5
39,104,71,35,11,119.0,1.0,95,19,4,2,4,3,0,0,-1,-6
40,107,76,38,4,122.0,1.0,105,20,9,5,9,6,2,1,1,-5
41,110,79,40,7,125.0,1.0,95,20,12,7,0,1,3,2,1,-4
42,113,81,41,9,128.0,1.0,105,21,14,8,2,2,5,3,1,-3
43,116,79,40,7,131.0,1.0,95,21,12,7,0,1,1,1,-1,-4
44,119,71,35,11,134.0,1.0,105,22,4,2,4,3,-1,-1,-1,-5
45,122,69,34,9,137.0,1.0,95,22,2,1,2,2,-2,-1,-1,-6
46,125,71,35,11,140.0,1.0,105,23,4,2,4,3,2,1,1,-5
47,128,67,33,7,143.0,2.0,95,23,0,0,0,1,1,1,-1,-6
48,130,76,38,4,146.0,3.0,105,24,9,5,9,6,2,1,1,-5
49,131,79,40,7,149.0,1.0,95,24,12,7,0,1,3,2,1,-4
50,134,71,35,11,152.0,1.0,105,25,4,2,4,3,-5,-3,-1,-5
51,137,79,40,7,155.0,1.0,95,25,12,7,0,1,3,2,1,-4
52,140,71,35,11,158.0,1.0,105,26,4,2,4,3,-5,-3,-1,-5
53,143,79,40,7,161.0,1.0,95,26,12,7,0,1,3,2,1,-4
54,146,78,39,6,164.0,1.0,105,27,11,6,11,7,2,1,-1,-5
55,149,71,35,11,167.0,1.0,95,27,4,2,4,3,0,0,-1,-6
56,152,76,38,4,170.0,1.0,105,28,9,5,9,6,2,1,1,-5
57,155,79,40,7,173.0,1.0,95,28,12,7,0,1,3,2,1,-4
58,158,81,41,9,176.0,1.0,105,29,14,8,2,2,5,3,1,-3
59,161,79,40,7,179.0,1.0,95,29,12,7,0,1,1,1,-1,-4
60,164,71,35,11,182.0,1.0,105,30,4,2,4,3,-1,-1,-1,-5
61,167,69,34,9,185.0,1.0,95,30,2,1,2,2,-2,-1,-1,-6
62,170,71,35,11,188.0,1.0,105,31,4,2,4,3,2,1,1,-5
63,173,67,33,7,191.0,3.0,95,31,0,0,0,1,1,1,-1,-6
