,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,3,74,37,2,3.0,2.0,105,0,12,7,0,1,0,0,0,0
1,6,74,37,2,7.0,1.0,95,0,12,7,0,1,1,1,0,0
2,10,81,41,9,11.0,1.0,105,1,19,11,7,5,2,1,1,1
3,16,81,41,9,15.0,1.0,95,1,19,11,7,5,-2,-1,0,1
4,20,71,35,11,19.0,1.0,105,2,9,5,9,6,-3,-2,-1,0
5,26,74,37,2,23.0,2.0,95,2,12,7,0,1,1,1,1,1
6,29,69,34,9,27.0,1.0,105,3,7,4,7,5,-2,-1,-1,0
7,35,69,34,9,31.0,1.0,95,3,7,4,7,5,-2,-1,0,0
8,39,67,33,7,35.0,3.0,105,4,5,3,5,4,1,1,-1,-1
9,41,71,35,11,39.0,3.0,95,4,9,5,9,6,2,1,1,0
10,43,74,37,2,43.0,2.0,105,5,12,7,0,1,1,1,1,1
11,46,78,39,6,47.0,0.67,95,5,16,9,4,3,2,1,1,2
12,51,79,40,7,51.0,1.0,105,6,17,10,5,4,-2,-1,1,3
13,55,71,35,11,55.0,1.0,95,6,9,5,9,6,-3,-2,-1,2
14,60,78,39,6,59.0,1.0,105,7,16,9,4,3,2,1,1,3
15,64,74,37,2,63.0,1.0,95,7,12,7,0,1,1,1,-1,2
16,68,74,37,2,67.0,2.0,105,8,12,7,0,1,1,1,0,2
17,71,74,37,2,71.0,1.0,95,8,12,7,0,1,1,1,0,2
18,75,81,41,9,75.0,1.0,105,9,19,11,7,5,2,1,1,3
19,81,81,41,9,79.0,1.0,95,9,19,11,7,5,-2,-1,0,3
20,85,71,35,11,83.0,1.0,105,10,9,5,9,6,-3,-2,-1,2
21,91,74,37,2,87.0,2.0,95,10,12,7,0,1,1,1,1,3
22,94,69,34,9,91.0,1.0,105,11,7,4,7,5,-2,-1,-1,2
23,100,69,34,9,95.0,1.0,95,11,7,4,7,5,-2,-1,0,2
24,104,67,33,7,99.0,3.0,105,12,5,3,5,4,1,1,-1,1
25,106,71,35,11,103.0,3.0,95,12,9,5,9,6,2,1,1,2
26,108,74,37,2,107.0,2.0,105,13,12,7,0,1,1,1,1,3
27,111,78,39,6,111.0,0.67,95,13,16,9,4,3,2,1,1,4
28,116,79,40,7,115.0,1.0,105,14,17,10,5,4,-2,-1,1,5
29,120,71,35,11,119.0,1.0,95,14,9,5,9,6,-3,-2,-1,4
30,125,78,39,6,123.0,1.0,105,15,16,9,4,3,2,1,1,5
31,129,81,41,9,127.0,2.0,95,15,19,11,7,5,8,5,1,6
32,132,78,39,6,131.0,1.0,105,16,16,9,4,3,-3,-2,-1,5
33,136,78,39,6,135.0,1.0,95,16,16,9,4,3,-3,-2,0,5
34,140,76,38,4,139.0,1.0,105,17,14,8,2,2,-5,-3,-1,4
35,144,76,38,4,143.0,1.0,95,17,14,8,2,2,-5,-3,0,4
36,147,74,37,2,147.0,1.0,105,18,12,7,0,1,1,1,-1,3
37,151,74,37,2,151.0,1.0,95,18,12,7,0,1,-4,-2,0,3
38,155,69,34,9,155.0,1.0,105,19,7,4,7,5,-5,-3,-1,2
39,159,69,34,9,159.0,1.0,95,19,7,4,7,5,-5,-3,0,2
40,163,67,33,7,163.0,3.0,105,20,5,3,5,4,-2,-1,-1,1
41,165,71,35,11,167.0,3.0,95,20,9,5,9,6,2,1,1,2
42,167,74,37,2,171.0,2.0,105,21,12,7,0,1,1,1,1,3
43,170,78,39,6,175.0,0.67,95,21,16,9,4,3,2,1,1,4
44,175,79,40,7,179.0,1.0,105,22,17,10,5,4,-2,-1,1,5
45,179,71,35,11,183.0,1.0,95,22,9,5,9,6,-3,-2,-1,4
46,184,78,39,6,187.0,1.0,105,23,16,9,4,3,2,1,1,5
47,188,81,41,9,191.0,2.0,95,23,19,11,7,5,8,5,1,6
48,191,78,39,6,195.0,1.0,105,24,16,9,4,3,-3,-2,-1,5
49,195,78,39,6,199.0,1.0,95,24,16,9,4,3,-3,-2,0,5
50,199,76,38,4,203.0,1.0,105,25,14,8,2,2,-5,-3,-1,4
51,203,76,38,4,207.0,1.0,95,25,14,8,2,2,-5,-3,0,4
52,206,74,37,2,211.0,1.0,105,26,12,7,0,1,1,1,-1,3
53,210,74,37,2,215.0,1.0,95,26,12,7,0,1,-4,-2,0,3
54,214,69,34,9,219.0,1.0,105,27,7,4,7,5,-5,-3,-1,2
55,218,69,34,9,223.0,1.0,95,27,7,4,7,5,-5,-3,0,2
56,222,67,33,7,227.0,3.0,105,28,5,3,5,4,-2,-1,-1,1
57,224,71,35,11,231.0,3.0,95,28,9,5,9,6,2,1,1,2
58,226,74,37,2,235.0,2.0,105,29,12,7,0,1,1,1,1,3
59,229,78,39,6,239.0,0.67,95,29,16,9,4,3,2,1,1,4
60,234,79,40,7,243.0,1.0,105,30,17,10,5,4,-2,-1,1,5
61,238,71,35,11,247.0,1.0,95,30,9,5,9,6,-3,-2,-1,4
62,243,78,39,6,251.0,1.0,105,31,16,9,4,3,2,1,1,5
63,247,74,37,2,255.0,1.0,95,31,12,7,0,1,1,1,-1,4
64,250,78,39,6,258.0,1.0,105,32,16,9,4,3,-3,-2,1,5
65,254,78,39,6,262.0,1.0,95,32,16,9,4,3,-3,-2,0,5
66,258,76,38,4,266.0,1.0,105,33,14,8,2,2,-5,-3,-1,4
67,262,76,38,4,270.0,1.0,95,33,14,8,2,2,-5,-3,0,4
68,265,74,37,2,274.0,1.0,105,34,12,7,0,1,1,1,-1,3
69,269,74,37,2,278.0,1.0,95,34,12,7,0,1,-4,-2,0,3
70,273,69,34,9,282.0,1.0,105,35,7,4,7,5,-5,-3,-1,2
71,277,69,34,9,286.0,1.0,95,35,7,4,7,5,-5,-3,0,2
72,281,67,33,7,290.0,3.0,105,36,5,3,5,4,-2,-1,-1,1
73,283,71,35,11,294.0,3.0,95,36,9,5,9,6,2,1,1,2
74,285,74,37,2,298.0,2.0,105,37,12,7,0,1,1,1,1,3
75,288,78,39,6,302.0,0.67,95,37,16,9,4,3,2,1,1,4
76,293,79,40,7,306.0,1.0,105,38,17,10,5,4,-2,-1,1,5
77,297,71,35,11,310.0,1.0,95,38,9,5,9,6,-3,-2,-1,4
