,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,71,35,11,2.0,1.0,105,0,4,2,4,3,0,0,0,0
1,6,62,30,2,6.0,1.0,95,0,-5,-3,7,5,-5,-3,-1,-1
2,10,71,35,11,10.0,0.67,105,1,4,2,4,3,4,2,1,0
3,15,79,40,7,14.0,1.0,95,1,12,7,0,1,-2,-1,1,1
4,19,69,34,9,18.0,1.0,105,2,2,1,2,2,2,1,-1,0
5,23,60,29,0,22.0,1.0,95,2,-7,-4,5,4,-5,-3,-1,-1
6,27,69,34,9,26.0,0.67,105,3,2,1,2,2,4,2,1,0
7,32,78,39,6,30.0,1.0,95,3,11,6,11,7,-1,-1,1,1
8,36,71,35,11,34.0,1.0,105,4,4,2,4,3,2,1,-1,0
9,40,66,32,6,38.0,1.0,95,4,-1,-1,11,7,0,0,-1,-1
10,44,71,35,11,42.0,1.0,105,5,4,2,4,3,4,2,1,0
11,48,67,33,7,46.0,1.0,95,5,0,0,0,1,5,3,-1,-1
12,52,74,37,2,50.0,1.0,105,6,7,4,7,5,2,1,1,0
13,56,79,40,7,54.0,2.0,95,6,12,7,0,1,1,1,1,1
14,59,78,39,6,58.0,1.0,105,7,11,6,11,7,-1,-1,-1,0
15,63,67,33,7,62.0,3.0,95,7,0,0,0,1,-2,-1,-1,-1
16,65,71,35,11,66.0,1.0,105,8,4,2,4,3,2,1,1,0
17,69,62,30,2,70.0,1.0,95,8,-5,-3,7,5,-5,-3,-1,-1
18,73,71,35,11,74.0,0.67,105,9,4,2,4,3,4,2,1,0
19,78,79,40,7,78.0,1.0,95,9,12,7,0,1,-2,-1,1,1
20,82,69,34,9,82.0,1.0,105,10,2,1,2,2,2,1,-1,0
21,86,60,29,0,86.0,1.0,95,10,-7,-4,5,4,-5,-3,-1,-1
22,90,69,34,9,90.0,0.67,105,11,2,1,2,2,4,2,1,0
23,95,78,39,6,94.0,1.0,95,11,11,6,11,7,-1,-1,1,1
24,99,71,35,11,98.0,1.0,105,12,4,2,4,3,2,1,-1,0
25,103,66,32,6,102.0,1.0,95,12,-1,-1,11,7,0,0,-1,-1
26,107,71,35,11,106.0,1.0,105,13,4,2,4,3,4,2,1,0
27,111,67,33,7,110.0,1.0,95,13,0,0,0,1,5,3,-1,-1
28,115,74,37,2,114.0,1.0,105,14,7,4,7,5,2,1,1,0
