,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,69,34,9,0.5,0.67,105,0,0,0,0,1,0,0,0,0
1,6,69,34,9,2.5,0.5,105,1,0,0,0,1,3,2,0,0
2,11,78,39,6,4.5,0.5,105,2,9,5,9,6,2,1,1,1
3,17,71,35,11,6.5,0.5,105,3,2,1,2,2,2,1,-1,0
4,21,69,34,9,8.5,1.0,105,4,0,0,0,1,5,3,-1,-1
5,24,69,34,9,10.5,0.5,105,5,0,0,0,1,3,2,0,-1
6,28,76,38,4,12.5,0.5,105,6,7,4,7,5,0,0,1,0
7,33,71,35,11,14.5,0.5,105,7,2,1,2,2,0,0,-1,-1
8,38,69,34,9,16.5,0.67,105,8,0,0,0,1,-2,-1,-1,-2
9,42,69,34,9,18.5,0.5,105,9,0,0,0,1,3,2,0,-2
10,47,78,39,6,20.5,0.5,105,10,9,5,9,6,2,1,1,-1
11,53,71,35,11,22.5,0.5,105,11,2,1,2,2,2,1,-1,-2
12,57,69,34,9,24.5,1.0,105,12,0,0,0,1,5,3,-1,-3
13,60,69,34,9,26.5,0.5,105,13,0,0,0,1,3,2,0,-3
14,64,76,38,4,28.5,0.5,105,14,7,4,7,5,0,0,1,-2
15,69,71,35,11,30.5,0.5,105,15,2,1,2,2,0,0,-1,-3
16,73,76,38,4,32.5,1.0,105,16,7,4,7,5,3,2,1,-2
17,77,78,39,6,34.5,0.5,105,17,9,5,9,6,2,1,1,-1
18,81,71,35,11,36.5,0.5,105,18,2,1,2,2,-5,-3,-1,-2
19,85,71,35,11,38.5,0.5,105,19,2,1,2,2,-2,-1,0,-2
20,89,76,38,4,40.5,1.0,105,20,7,4,7,5,7,4,1,-1
21,93,78,39,6,42.5,0.5,105,21,9,5,9,6,2,1,1,0
22,97,71,35,11,44.5,0.5,105,22,2,1,2,2,2,1,-1,-1
23,101,71,35,11,46.5,0.5,105,23,2,1,2,2,-2,-1,0,-1
24,105,76,38,4,48.5,1.0,105,24,7,4,7,5,3,2,1,0
25,109,78,39,6,50.5,0.5,105,25,9,5,9,6,2,1,1,1
26,113,71,35,11,52.5,0.5,105,26,2,1,2,2,-5,-3,-1,0
27,117,71,35,11,54.5,0.5,105,27,2,1,2,2,-2,-1,0,0
28,121,69,34,9,56.5,0.67,105,28,0,0,0,1,0,0,-1,-1
29,125,69,34,9,58.5,0.5,105,29,0,0,0,1,3,2,0,-1
30,130,76,38,4,60.5,0.5,105,30,7,4,7,5,-2,-1,1,0
31,134,71,35,11,62.5,0.5,105,31,2,1,2,2,0,0,-1,-1
