,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,71,35,11,0.0,1.0,105,0,9,5,9,6,0,0,0,0
1,3,64,31,4,3.0,1.0,95,0,2,1,2,2,2,1,-1,-1
2,6,73,36,1,6.0,1.0,105,1,11,6,11,7,9,5,1,0
3,9,67,33,7,9.0,1.0,95,1,5,3,5,4,-2,-1,-1,-1
4,12,71,35,11,12.0,1.0,105,2,9,5,9,6,9,5,1,0
5,15,64,31,4,15.0,1.0,95,2,2,1,2,2,2,1,-1,-1
6,18,67,33,7,18.0,1.0,105,3,5,3,5,4,3,2,1,0
7,21,67,33,7,21.0,1.0,95,3,5,3,5,4,0,0,0,0
8,24,71,35,11,24.0,1.0,105,4,9,5,9,6,9,5,1,1
9,27,64,31,4,27.0,1.0,95,4,2,1,2,2,2,1,-1,0
10,30,73,36,1,30.0,1.0,105,5,11,6,11,7,9,5,1,1
11,33,67,33,7,33.0,1.0,95,5,5,3,5,4,-2,-1,-1,0
12,36,71,35,11,36.0,1.0,105,6,9,5,9,6,9,5,1,1
13,40,73,36,1,39.0,1.0,95,6,11,6,11,7,2,1,1,2
14,43,67,33,7,42.0,1.0,105,7,5,3,5,4,-2,-1,-1,1
15,46,67,33,7,45.0,1.0,95,7,5,3,5,4,0,0,0,1
16,49,67,33,7,48.0,1.0,105,8,5,3,5,4,5,3,0,1
17,52,66,32,6,51.0,1.0,95,8,4,2,4,3,-5,-3,-1,0
18,55,67,33,7,54.0,1.0,105,9,5,3,5,4,-2,-1,1,1
19,58,73,36,1,57.0,1.0,95,9,11,6,11,7,2,1,1,2
20,61,67,33,7,60.0,1.0,105,10,5,3,5,4,-2,-1,-1,1
21,64,66,32,6,63.0,1.0,95,10,4,2,4,3,-5,-3,-1,0
22,67,67,33,7,66.0,1.0,105,11,5,3,5,4,-2,-1,1,1
23,70,67,33,7,69.0,1.0,95,11,5,3,5,4,0,0,0,1
24,73,67,33,7,72.0,1.0,105,12,5,3,5,4,5,3,0,1
25,76,66,32,6,75.0,1.0,95,12,4,2,4,3,-5,-3,-1,0
26,79,67,33,7,78.0,1.0,105,13,5,3,5,4,-2,-1,1,1
27,82,73,36,1,81.0,1.0,95,13,11,6,11,7,2,1,1,2
28,85,71,35,11,84.0,1.0,105,14,9,5,9,6,2,1,-1,1
29,89,73,36,1,87.0,1.0,95,14,11,6,11,7,2,1,1,2
30,92,67,33,7,90.0,1.0,105,15,5,3,5,4,-2,-1,-1,1
31,95,67,33,7,93.0,1.0,95,15,5,3,5,4,0,0,0,1
32,98,74,37,2,96.0,1.0,105,16,12,7,0,1,12,7,1,2
33,101,76,38,4,99.0,1.0,95,16,14,8,2,2,2,1,1,3
34,104,74,37,2,102.0,1.0,105,17,12,7,0,1,-5,-3,-1,2
35,107,74,37,2,105.0,1.0,95,17,12,7,0,1,0,0,0,2
36,110,74,37,2,108.0,1.0,105,18,12,7,0,1,7,4,0,2
37,114,76,38,4,111.0,1.0,95,18,14,8,2,2,2,1,1,3
38,117,67,33,7,114.0,1.0,105,19,5,3,5,4,-12,-7,-1,2
39,120,67,33,7,117.0,1.0,95,19,5,3,5,4,0,0,0,2
40,123,74,37,2,120.0,1.0,105,20,12,7,0,1,12,7,1,3
41,127,76,38,4,123.0,1.0,95,20,14,8,2,2,2,1,1,4
42,130,74,37,2,126.0,1.0,105,21,12,7,0,1,-5,-3,-1,3
43,133,74,37,2,129.0,1.0,95,21,12,7,0,1,0,0,0,3
44,136,79,40,7,132.0,1.0,105,22,17,10,5,4,12,7,1,4
45,139,74,37,2,135.0,1.0,95,22,12,7,0,1,-2,-1,-1,3
46,142,69,34,9,138.0,1.0,105,23,7,4,7,5,2,1,-1,2
47,146,66,32,6,141.0,1.0,95,23,4,2,4,3,-1,-1,-1,1
48,149,71,35,11,144.0,2.0,105,24,9,5,9,6,9,5,1,2
49,151,69,34,9,147.0,2.0,95,24,7,4,7,5,2,1,-1,1
50,153,71,35,11,150.0,2.0,105,25,9,5,9,6,4,2,1,2
51,155,69,34,9,153.0,1.0,95,25,7,4,7,5,2,1,-1,1
52,158,71,35,11,156.0,2.0,105,26,9,5,9,6,7,4,1,2
53,160,69,34,9,159.0,2.0,95,26,7,4,7,5,2,1,-1,1
54,162,67,33,7,162.0,1.0,105,27,5,3,5,4,0,0,-1,0
55,165,67,33,7,165.0,1.0,95,27,5,3,5,4,0,0,0,0
56,168,71,35,11,168.0,1.0,105,28,9,5,9,6,9,5,1,1
57,171,69,34,9,171.0,1.0,95,28,7,4,7,5,2,1,-1,0
58,174,71,35,11,174.0,1.0,105,29,9,5,9,6,4,2,1,1
59,177,69,34,9,177.0,1.0,95,29,7,4,7,5,2,1,-1,0
60,180,71,35,11,180.0,0.5,105,30,9,5,9,6,7,4,1,1
61,184,73,36,1,183.0,1.0,95,30,11,6,11,7,2,1,1,2
62,187,67,33,7,186.0,1.0,105,31,5,3,5,4,-2,-1,-1,1
63,190,67,33,7,189.0,1.0,95,31,5,3,5,4,0,0,0,1
