,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,55,26,7,0.0,1.0,105,0,-10,-6,2,2,0,0,0,0
1,4,67,33,7,4.0,4.0,95,0,2,1,2,2,5,3,1,1
2,5,69,34,9,8.0,1.0,105,1,4,2,4,3,2,1,1,2
3,9,67,33,7,12.0,3.0,95,1,2,1,2,2,5,3,-1,1
4,11,65,32,5,16.0,2.0,105,2,0,0,0,1,1,1,-1,0
5,14,70,35,10,20.0,1.0,95,2,5,3,5,4,5,3,1,1
6,18,70,35,10,24.0,1.0,105,3,5,3,5,4,5,3,0,1
7,22,67,33,7,28.0,1.0,95,3,2,1,2,2,2,1,-1,0
8,26,67,33,7,32.0,2.0,105,4,2,1,2,2,2,1,0,0
9,29,69,34,9,36.0,1.0,95,4,4,2,4,3,2,1,1,1
10,33,65,32,5,40.0,2.0,105,5,0,0,0,1,-2,-1,-1,0
11,36,70,35,10,44.0,1.0,95,5,5,3,5,4,5,3,1,1
12,40,70,35,10,48.0,1.0,105,6,5,3,5,4,5,3,0,1
13,44,62,30,2,52.0,1.0,95,6,-3,-2,9,6,-3,-2,-1,0
14,48,70,35,10,56.0,1.0,105,7,5,3,5,4,1,1,1,1
15,52,67,33,7,60.0,4.0,95,7,2,1,2,2,-3,-2,-1,0
16,53,55,26,7,64.0,1.0,105,8,-10,-6,2,2,-12,-7,-1,-1
17,57,67,33,7,68.0,4.0,95,8,2,1,2,2,5,3,1,0
18,58,69,34,9,72.0,1.0,105,9,4,2,4,3,2,1,1,1
19,62,67,33,7,76.0,3.0,95,9,2,1,2,2,5,3,-1,0
20,64,65,32,5,80.0,2.0,105,10,0,0,0,1,1,1,-1,-1
21,67,70,35,10,84.0,1.0,95,10,5,3,5,4,5,3,1,0
22,71,70,35,10,88.0,1.0,105,11,5,3,5,4,5,3,0,0
23,75,67,33,7,92.0,1.0,95,11,2,1,2,2,2,1,-1,-1
24,79,67,33,7,96.0,2.0,105,12,2,1,2,2,2,1,0,-1
25,82,69,34,9,100.0,1.0,95,12,4,2,4,3,2,1,1,0
26,86,65,32,5,104.0,2.0,105,13,0,0,0,1,-2,-1,-1,-1
27,89,70,35,10,108.0,1.0,95,13,5,3,5,4,5,3,1,0
28,93,70,35,10,112.0,1.0,105,14,5,3,5,4,5,3,0,0
29,97,62,30,2,116.0,1.0,95,14,-3,-2,9,6,-3,-2,-1,-1
30,101,70,35,10,120.0,1.0,105,15,5,3,5,4,1,1,1,0
31,105,67,33,7,124.0,4.0,95,15,2,1,2,2,-3,-2,-1,-1
32,106,79,40,7,128.0,2.0,105,16,14,8,2,2,12,7,1,0
33,109,77,39,5,132.0,1.0,95,16,12,7,0,1,-2,-1,-1,-1
34,113,79,40,7,136.0,0.5,105,17,14,8,2,2,0,0,1,0
35,118,77,39,5,140.0,1.0,95,17,12,7,0,1,-2,-1,-1,-1
36,122,79,40,7,144.0,2.0,105,18,14,8,2,2,10,6,1,0
37,125,77,39,5,148.0,1.0,95,18,12,7,0,1,-2,-1,-1,-1
38,129,79,40,7,152.0,1.0,105,19,14,8,2,2,0,0,1,0
39,133,81,41,9,156.0,1.0,95,19,16,9,4,3,2,1,1,1
40,137,79,40,7,160.0,2.0,105,20,14,8,2,2,5,3,-1,0
41,140,77,39,5,164.0,1.0,95,20,12,7,0,1,-2,-1,-1,-1
42,144,79,40,7,168.0,0.5,105,21,14,8,2,2,0,0,1,0
43,149,77,39,5,172.0,1.0,95,21,12,7,0,1,-2,-1,-1,-1
44,153,70,35,10,176.0,1.0,105,22,5,3,5,4,1,1,-1,-2
45,157,62,30,2,180.0,1.0,95,22,-3,-2,9,6,-3,-2,-1,-3
46,161,70,35,10,184.0,1.0,105,23,5,3,5,4,1,1,1,-2
47,165,67,33,7,188.0,4.0,95,23,2,1,2,2,-3,-2,-1,-3
48,166,79,40,7,192.0,2.0,105,24,14,8,2,2,12,7,1,-2
49,169,77,39,5,196.0,1.0,95,24,12,7,0,1,-2,-1,-1,-3
50,173,79,40,7,200.0,0.5,105,25,14,8,2,2,0,0,1,-2
51,178,77,39,5,204.0,1.0,95,25,12,7,0,1,-2,-1,-1,-3
52,182,79,40,7,208.0,2.0,105,26,14,8,2,2,10,6,1,-2
53,185,77,39,5,212.0,1.0,95,26,12,7,0,1,-2,-1,-1,-3
54,189,79,40,7,216.0,1.0,105,27,14,8,2,2,0,0,1,-2
55,193,81,41,9,220.0,1.0,95,27,16,9,4,3,2,1,1,-1
56,197,79,40,7,224.0,2.0,105,28,14,8,2,2,5,3,-1,-2
57,200,77,39,5,228.0,1.0,95,28,12,7,0,1,-2,-1,-1,-3
58,204,79,40,7,232.0,0.5,105,29,14,8,2,2,0,0,1,-2
59,209,77,39,5,236.0,1.0,95,29,12,7,0,1,-2,-1,-1,-3
60,213,70,35,10,240.0,1.0,105,30,5,3,5,4,1,1,-1,-4
61,217,62,30,2,244.0,1.0,95,30,-3,-2,9,6,-3,-2,-1,-5
62,221,70,35,10,248.0,1.0,105,31,5,3,5,4,1,1,1,-4
63,225,67,33,7,252.0,4.0,95,31,2,1,2,2,-3,-2,-1,-5
