,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,1,62,30,2,1.0,1.0,105,0,-3,-2,9,6,0,0,0,0
1,5,67,33,7,5.0,2.0,95,0,2,1,2,2,1,1,1,1
2,8,71,35,11,9.0,1.0,105,1,6,3,6,4,2,1,1,2
3,12,76,38,4,13.0,1.0,95,1,11,6,11,7,9,5,1,3
4,16,69,34,9,17.0,1.0,105,2,4,2,4,3,2,1,-1,2
5,20,65,32,5,21.0,2.0,95,2,0,0,0,1,1,1,-1,1
6,23,69,34,9,25.0,1.0,105,3,4,2,4,3,2,1,1,2
7,27,74,37,2,29.0,1.0,95,3,9,5,9,6,9,5,1,3
8,31,62,30,2,33.0,1.0,105,4,-3,-2,9,6,-3,-2,-1,2
9,35,67,33,7,37.0,2.0,95,4,2,1,2,2,1,1,1,3
10,38,70,35,10,41.0,1.0,105,5,5,3,5,4,1,1,1,4
11,42,70,35,10,45.0,1.0,95,5,5,3,5,4,1,1,0,4
12,46,77,39,5,49.0,1.0,105,6,12,7,0,1,1,1,1,5
13,50,72,36,0,53.0,1.0,95,6,7,4,7,5,-2,-1,-1,4
14,54,70,35,10,57.0,1.0,105,7,5,3,5,4,1,1,-1,3
15,58,67,33,7,61.0,3.0,95,7,2,1,2,2,1,1,-1,2
16,60,62,30,2,65.0,1.0,105,8,-3,-2,9,6,-3,-2,-1,1
17,64,67,33,7,69.0,2.0,95,8,2,1,2,2,1,1,1,2
18,67,71,35,11,73.0,1.0,105,9,6,3,6,4,2,1,1,3
19,71,76,38,4,77.0,1.0,95,9,11,6,11,7,9,5,1,4
20,75,69,34,9,81.0,1.0,105,10,4,2,4,3,2,1,-1,3
21,79,65,32,5,85.0,2.0,95,10,0,0,0,1,1,1,-1,2
22,82,69,34,9,89.0,1.0,105,11,4,2,4,3,2,1,1,3
23,86,74,37,2,93.0,1.0,95,11,9,5,9,6,9,5,1,4
24,90,62,30,2,97.0,1.0,105,12,-3,-2,9,6,-3,-2,-1,3
25,94,67,33,7,101.0,2.0,95,12,2,1,2,2,1,1,1,4
26,97,70,35,10,105.0,1.0,105,13,5,3,5,4,1,1,1,5
27,101,70,35,10,109.0,1.0,95,13,5,3,5,4,1,1,0,5
28,105,77,39,5,113.0,1.0,105,14,12,7,0,1,1,1,1,6
29,109,72,36,0,117.0,1.0,95,14,7,4,7,5,-2,-1,-1,5
30,113,70,35,10,121.0,1.0,105,15,5,3,5,4,1,1,-1,4
31,117,67,33,7,125.0,3.0,95,15,2,1,2,2,1,1,-1,3
32,119,74,37,2,129.0,1.0,105,16,9,5,9,6,2,1,1,4
33,123,79,40,7,133.0,2.0,95,16,14,8,2,2,1,1,1,5
34,126,82,42,10,137.0,1.0,105,17,17,10,5,4,1,1,1,6
35,130,82,42,10,141.0,1.0,95,17,17,10,5,4,3,2,0,6
36,134,72,36,0,145.0,1.0,105,18,7,4,7,5,-5,-3,-1,5
37,138,77,39,5,149.0,2.0,95,18,12,7,0,1,-2,-1,1,6
38,141,81,41,9,153.0,1.0,105,19,16,9,4,3,4,2,1,7
39,145,81,41,9,157.0,1.0,95,19,16,9,4,3,4,2,0,7
40,149,74,37,2,161.0,1.0,105,20,9,5,9,6,-3,-2,-1,6
41,153,79,40,7,165.0,2.0,95,20,14,8,2,2,1,1,1,7
42,156,82,42,10,169.0,1.0,105,21,17,10,5,4,1,1,1,8
43,160,74,37,2,173.0,1.0,95,21,9,5,9,6,-3,-2,-1,7
44,164,77,39,5,177.0,1.0,105,22,12,7,0,1,1,1,1,8
45,168,72,36,0,181.0,1.0,95,22,7,4,7,5,-2,-1,-1,7
46,172,70,35,10,185.0,1.0,105,23,5,3,5,4,1,1,-1,6
47,176,67,33,7,189.0,3.0,95,23,2,1,2,2,1,1,-1,5
48,178,74,37,2,193.0,1.0,105,24,9,5,9,6,2,1,1,6
49,182,79,40,7,197.0,2.0,95,24,14,8,2,2,1,1,1,7
50,185,82,42,10,201.0,1.0,105,25,17,10,5,4,1,1,1,8
51,189,82,42,10,205.0,1.0,95,25,17,10,5,4,3,2,0,8
52,193,72,36,0,209.0,1.0,105,26,7,4,7,5,-5,-3,-1,7
53,197,77,39,5,213.0,2.0,95,26,12,7,0,1,-2,-1,1,8
54,200,81,41,9,217.0,1.0,105,27,16,9,4,3,4,2,1,9
55,204,81,41,9,221.0,1.0,95,27,16,9,4,3,4,2,0,9
56,208,74,37,2,225.0,1.0,105,28,9,5,9,6,-3,-2,-1,8
57,212,79,40,7,229.0,2.0,95,28,14,8,2,2,1,1,1,9
58,215,82,42,10,233.0,1.0,105,29,17,10,5,4,1,1,1,10
59,219,74,37,2,237.0,1.0,95,29,9,5,9,6,-3,-2,-1,9
60,223,77,39,5,241.0,1.0,105,30,12,7,0,1,1,1,1,10
61,227,72,36,0,245.0,1.0,95,30,7,4,7,5,-2,-1,-1,9
62,231,70,35,10,249.0,1.0,105,31,5,3,5,4,1,1,-1,8
63,235,67,33,7,253.0,3.0,95,31,2,1,2,2,1,1,-1,7
