,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,71,35,11,2.0,1.0,105,0,0,0,0,1,0,0,0,0
1,6,74,37,2,6.0,1.0,95,0,3,2,3,3,8,5,1,1
2,10,71,35,11,10.0,0.5,105,1,0,0,0,1,2,1,-1,0
3,15,66,32,6,14.0,1.0,95,1,-5,-3,7,5,-1,-1,-1,-1
4,21,66,32,6,18.0,1.0,105,2,-5,-3,7,5,2,1,0,-1
5,27,63,31,3,22.0,1.0,95,2,-8,-4,4,4,-1,0,-1,-2
6,31,74,37,2,26.0,1.0,105,3,3,2,3,3,1,1,1,-1
7,35,71,35,11,30.0,1.0,95,3,0,0,0,1,2,1,-1,-2
8,39,71,35,11,34.0,1.0,105,4,0,0,0,1,-2,-1,0,-2
9,43,74,37,2,38.0,1.0,95,4,3,2,3,3,8,5,1,-1
10,47,71,35,11,42.0,0.5,105,5,0,0,0,1,2,1,-1,-2
11,52,66,32,6,46.0,1.0,95,5,-5,-3,7,5,-1,-1,-1,-3
12,58,62,30,2,50.0,0.5,105,6,-9,-5,3,3,-2,-1,-1,-4
13,64,59,28,11,54.0,2.0,95,6,-12,-7,0,1,-2,-1,-1,-5
14,67,74,37,2,58.0,0.5,105,7,3,2,3,3,1,1,1,-4
15,72,71,35,11,62.0,1.0,95,7,0,0,0,1,2,1,-1,-5
16,76,71,35,11,66.0,1.0,105,8,0,0,0,1,-2,-1,0,-5
17,80,74,37,2,70.0,1.0,95,8,3,2,3,3,8,5,1,-4
18,84,71,35,11,74.0,0.5,105,9,0,0,0,1,2,1,-1,-5
19,89,66,32,6,78.0,1.0,95,9,-5,-3,7,5,-1,-1,-1,-6
20,95,66,32,6,82.0,1.0,105,10,-5,-3,7,5,2,1,0,-6
21,101,63,31,3,86.0,1.0,95,10,-8,-4,4,4,-1,0,-1,-7
22,105,74,37,2,90.0,1.0,105,11,3,2,3,3,1,1,1,-6
23,109,71,35,11,94.0,1.0,95,11,0,0,0,1,2,1,-1,-7
24,113,71,35,11,98.0,1.0,105,12,0,0,0,1,-2,-1,0,-7
25,117,74,37,2,102.0,1.0,95,12,3,2,3,3,8,5,1,-6
26,121,71,35,11,106.0,0.5,105,13,0,0,0,1,2,1,-1,-7
27,126,66,32,6,110.0,1.0,95,13,-5,-3,7,5,-1,-1,-1,-8
28,132,62,30,2,114.0,0.5,105,14,-9,-5,3,3,-2,-1,-1,-9
29,138,59,28,11,118.0,2.0,95,14,-12,-7,0,1,-2,-1,-1,-10
30,141,74,37,2,122.0,0.5,105,15,3,2,3,3,1,1,1,-9
31,146,71,35,11,126.0,1.0,95,15,0,0,0,1,2,1,-1,-10
32,150,71,35,11,130.0,1.0,105,16,0,0,0,1,-2,-1,0,-10
33,154,83,42,11,134.0,1.0,95,16,12,7,0,1,2,1,1,-9
34,158,69,34,9,138.0,1.0,105,17,-2,-1,10,7,-2,-1,-1,-10
35,162,81,41,9,142.0,1.0,95,17,10,6,10,7,1,1,1,-9
36,166,71,35,11,146.0,1.0,105,18,0,0,0,1,2,1,-1,-10
37,170,83,42,11,150.0,1.0,95,18,12,7,0,1,2,1,1,-9
38,174,78,39,6,154.0,0.5,105,19,7,4,7,5,2,1,-1,-10
39,178,74,37,2,158.0,0.5,95,19,3,2,3,3,-2,-1,-1,-11
40,184,71,35,11,162.0,1.0,105,20,0,0,0,1,-2,-1,-1,-12
41,188,83,42,11,166.0,1.0,95,20,12,7,0,1,2,1,1,-11
42,192,69,34,9,170.0,1.0,105,21,-2,-1,10,7,-2,-1,-1,-12
43,196,81,41,9,174.0,1.0,95,21,10,6,10,7,1,1,1,-11
44,200,71,35,11,178.0,0.5,105,22,0,0,0,1,2,1,-1,-12
45,205,74,37,2,182.0,1.0,95,22,3,2,3,3,-2,-1,1,-11
46,209,78,39,6,186.0,1.0,105,23,7,4,7,5,-1,-1,1,-10
47,213,71,35,11,190.0,1.0,95,23,0,0,0,1,-2,-1,-1,-11
48,217,71,35,11,194.0,1.0,105,24,0,0,0,1,-2,-1,0,-11
49,221,83,42,11,198.0,1.0,95,24,12,7,0,1,2,1,1,-10
50,225,69,34,9,202.0,1.0,105,25,-2,-1,10,7,-2,-1,-1,-11
51,229,81,41,9,206.0,1.0,95,25,10,6,10,7,1,1,1,-10
52,233,71,35,11,210.0,1.0,105,26,0,0,0,1,2,1,-1,-11
53,237,83,42,11,214.0,1.0,95,26,12,7,0,1,2,1,1,-10
54,241,78,39,6,218.0,0.5,105,27,7,4,7,5,2,1,-1,-11
55,245,74,37,2,222.0,0.5,95,27,3,2,3,3,-2,-1,-1,-12
56,251,71,35,11,226.0,1.0,105,28,0,0,0,1,-2,-1,-1,-13
57,255,83,42,11,230.0,1.0,95,28,12,7,0,1,2,1,1,-12
58,259,69,34,9,234.0,1.0,105,29,-2,-1,10,7,-2,-1,-1,-13
59,263,81,41,9,238.0,1.0,95,29,10,6,10,7,1,1,1,-12
60,267,71,35,11,242.0,0.5,105,30,0,0,0,1,2,1,-1,-13
61,272,74,37,2,246.0,1.0,95,30,3,2,3,3,-2,-1,1,-12
62,276,78,39,6,250.0,1.0,105,31,7,4,7,5,-1,-1,1,-11
63,280,71,35,11,254.0,1.0,95,31,0,0,0,1,-2,-1,-1,-12
