,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,66,32,6,0.0,1.0,105,0,-1,-1,11,7,0,0,0,0
1,4,69,34,9,4.0,1.0,95,0,2,1,2,2,3,2,1,1
2,8,67,33,7,8.0,1.0,105,1,0,0,0,1,1,1,-1,0
3,14,74,37,2,12.0,1.0,95,1,7,4,7,5,10,6,1,1
4,18,66,32,6,16.0,1.0,105,2,-1,-1,11,7,2,1,-1,0
5,22,69,34,9,20.0,1.0,95,2,2,1,2,2,3,2,1,1
6,26,67,33,7,24.0,1.0,105,3,0,0,0,1,1,1,-1,0
7,30,64,31,4,28.0,1.0,95,3,-3,-2,9,6,0,0,-1,-1
8,33,66,32,6,32.0,1.0,105,4,-1,-1,11,7,4,2,1,0
9,37,69,34,9,36.0,1.0,95,4,2,1,2,2,3,2,1,1
10,41,67,33,7,40.0,1.0,105,5,0,0,0,1,1,1,-1,0
11,47,74,37,2,44.0,1.0,95,5,7,4,7,5,10,6,1,1
12,51,66,32,6,48.0,1.0,105,6,-1,-1,11,7,2,1,-1,0
13,55,69,34,9,52.0,1.0,95,6,2,1,2,2,3,2,1,1
14,59,67,33,7,56.0,1.0,105,7,0,0,0,1,1,1,-1,0
15,63,64,31,4,60.0,1.0,95,7,-3,-2,9,6,0,0,-1,-1
16,66,69,34,9,64.0,1.0,105,8,2,1,2,2,7,4,1,0
17,70,74,37,2,68.0,1.0,95,8,7,4,7,5,1,1,1,1
18,76,71,35,11,72.0,1.0,105,9,4,2,4,3,2,1,-1,0
19,80,71,35,11,76.0,1.0,95,9,4,2,4,3,2,1,0,0
20,84,78,39,6,80.0,1.0,105,10,11,6,11,7,-1,-1,1,1
21,88,74,37,2,84.0,1.0,95,10,7,4,7,5,1,1,-1,0
22,92,73,36,1,88.0,1.0,105,11,6,3,6,4,2,1,-1,-1
23,96,66,32,6,92.0,1.0,95,11,-1,-1,11,7,2,1,-1,-2
24,99,69,34,9,96.0,1.0,105,12,2,1,2,2,7,4,1,-1
25,103,74,37,2,100.0,1.0,95,12,7,4,7,5,1,1,1,0
26,109,71,35,11,104.0,0.67,105,13,4,2,4,3,2,1,-1,-1
27,114,81,41,9,108.0,0.5,95,13,14,8,2,2,3,2,1,0
28,118,81,41,9,112.0,1.0,105,14,14,8,2,2,2,1,0,0
29,123,74,37,2,116.0,1.0,95,14,7,4,7,5,-2,-1,-1,-1
30,127,73,36,1,120.0,1.0,105,15,6,3,6,4,2,1,-1,-2
31,131,66,32,6,124.0,1.0,95,15,-1,-1,11,7,2,1,-1,-3
32,134,66,32,6,128.0,3.0,105,16,-1,-1,11,7,4,2,0,-3
33,136,69,34,9,132.0,2.0,95,16,2,1,2,2,2,1,1,-2
34,139,67,33,7,136.0,0.67,105,17,0,0,0,1,0,0,-1,-3
35,144,67,33,7,140.0,0.67,95,17,0,0,0,1,0,0,0,-3
36,149,66,32,6,144.0,1.0,105,18,-1,-1,11,7,-1,-1,-1,-4
37,153,69,34,9,148.0,1.0,95,18,2,1,2,2,2,1,1,-3
38,157,73,36,1,152.0,1.0,105,19,6,3,6,4,2,1,1,-2
39,161,66,32,6,156.0,1.0,95,19,-1,-1,11,7,2,1,-1,-3
40,164,66,32,6,160.0,3.0,105,20,-1,-1,11,7,4,2,0,-3
41,166,69,34,9,164.0,2.0,95,20,2,1,2,2,2,1,1,-2
42,169,67,33,7,168.0,0.67,105,21,0,0,0,1,0,0,-1,-3
43,174,67,33,7,172.0,0.67,95,21,0,0,0,1,0,0,0,-3
44,179,66,32,6,176.0,1.0,105,22,-1,-1,11,7,-1,-1,-1,-4
45,183,69,34,9,180.0,1.0,95,22,2,1,2,2,2,1,1,-3
46,187,73,36,1,184.0,1.0,105,23,6,3,6,4,2,1,1,-2
47,191,66,32,6,188.0,1.0,95,23,-1,-1,11,7,2,1,-1,-3
