,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,74,37,2,0.0,1.0,105,0,12,7,0,1,0,0,0,0
1,3,76,38,4,3.0,1.0,95,0,14,8,2,2,-1,-1,1,1
2,6,74,37,2,6.0,1.0,105,1,12,7,0,1,2,1,-1,0
3,9,70,35,10,9.0,1.0,95,1,8,5,8,6,1,1,-1,-1
4,12,65,32,5,12.0,3.0,105,2,3,2,3,3,-2,-1,-1,-2
5,13,64,31,4,15.0,1.0,95,2,2,1,2,2,-1,-1,-1,-3
6,16,57,27,9,18.0,1.0,105,3,-5,-3,7,5,-3,-2,-1,-4
7,19,62,30,2,21.0,1.0,95,3,0,0,0,1,2,1,1,-3
8,22,74,37,2,24.0,1.0,105,4,12,7,0,1,5,3,1,-2
9,25,76,38,4,27.0,1.0,95,4,14,8,2,2,-1,-1,1,-1
10,28,74,37,2,30.0,1.0,105,5,12,7,0,1,2,1,-1,-2
11,31,70,35,10,33.0,1.0,95,5,8,5,8,6,1,1,-1,-3
12,34,66,32,6,36.0,2.0,105,6,4,2,4,3,-1,-1,-1,-4
13,36,72,36,0,39.0,1.0,95,6,10,6,10,7,-2,-1,1,-3
14,39,66,32,6,42.0,1.0,105,7,4,2,4,3,-1,-1,-1,-4
15,42,62,30,2,45.0,2.0,95,7,0,0,0,1,2,1,-1,-5
16,44,74,37,2,48.0,1.0,105,8,12,7,0,1,5,3,1,-4
17,47,76,38,4,51.0,1.0,95,8,14,8,2,2,-1,-1,1,-3
18,50,74,37,2,54.0,1.0,105,9,12,7,0,1,2,1,-1,-4
19,53,70,35,10,57.0,1.0,95,9,8,5,8,6,1,1,-1,-5
20,56,65,32,5,60.0,3.0,105,10,3,2,3,3,-2,-1,-1,-6
21,57,64,31,4,63.0,1.0,95,10,2,1,2,2,-1,-1,-1,-7
22,60,57,27,9,66.0,1.0,105,11,-5,-3,7,5,-3,-2,-1,-8
23,63,62,30,2,69.0,1.0,95,11,0,0,0,1,2,1,1,-7
24,66,74,37,2,72.0,1.0,105,12,12,7,0,1,5,3,1,-6
25,69,76,38,4,75.0,1.0,95,12,14,8,2,2,-1,-1,1,-5
26,72,74,37,2,78.0,1.0,105,13,12,7,0,1,2,1,-1,-6
27,75,70,35,10,81.0,1.0,95,13,8,5,8,6,1,1,-1,-7
28,78,66,32,6,84.0,2.0,105,14,4,2,4,3,-1,-1,-1,-8
29,80,72,36,0,87.0,1.0,95,14,10,6,10,7,-2,-1,1,-7
30,83,66,32,6,90.0,1.0,105,15,4,2,4,3,-1,-1,-1,-8
31,86,62,30,2,93.0,2.0,95,15,0,0,0,1,2,1,-1,-9
32,88,69,34,9,96.0,1.0,105,16,7,4,7,5,2,1,1,-8
33,91,77,39,5,99.0,1.0,95,16,15,9,3,3,3,2,1,-7
34,94,81,41,9,102.0,1.0,105,17,19,11,7,5,7,4,1,-6
35,97,77,39,5,105.0,1.0,95,17,15,9,3,3,3,2,-1,-7
36,100,72,36,0,108.0,3.0,105,18,10,6,10,7,-2,-1,-1,-8
37,101,76,38,4,111.0,1.0,95,18,14,8,2,2,4,2,1,-7
38,104,79,40,7,114.0,1.0,105,19,17,10,5,4,3,2,1,-6
39,107,76,38,4,117.0,1.0,95,19,14,8,2,2,-3,-2,-1,-7
40,110,69,34,9,120.0,1.0,105,20,7,4,7,5,-3,-2,-1,-8
41,113,77,39,5,123.0,1.0,95,20,15,9,3,3,3,2,1,-7
42,116,81,41,9,126.0,1.0,105,21,19,11,7,5,7,4,1,-6
43,119,79,40,7,129.0,1.0,95,21,17,10,5,4,-2,-1,-1,-7
44,122,72,36,0,132.0,1.0,105,22,10,6,10,7,-2,-1,-1,-8
45,125,79,40,7,135.0,1.0,95,22,17,10,5,4,3,2,1,-7
46,128,76,38,4,138.0,1.0,105,23,14,8,2,2,-3,-2,-1,-8
47,131,74,37,2,141.0,2.0,95,23,12,7,0,1,1,1,-1,-9
