,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,67,33,7,2.0,4.0,105,0,3,2,3,3,0,0,0,0
1,3,64,31,4,6.0,1.0,95,0,0,0,0,1,-3,-2,-1,-1
2,6,62,30,2,10.0,1.0,105,1,-2,-1,10,7,0,0,-1,-2
3,9,67,33,7,14.0,1.0,95,1,3,2,3,3,0,0,1,-1
4,12,67,33,7,18.0,1.0,105,2,3,2,3,3,-2,-1,0,-1
5,15,72,36,0,22.0,1.5,95,2,8,5,8,6,1,1,1,0
6,18,67,33,7,26.0,1.0,105,3,3,2,3,3,-2,-1,-1,-1
7,21,64,31,4,30.0,2.0,95,3,0,0,0,1,-7,-4,-1,-2
8,23,71,35,11,34.0,1.0,105,4,7,4,7,5,9,5,1,-1
9,25,67,33,7,36.0,4.0,105,5,3,2,3,3,-2,-1,-1,-2
10,26,64,31,4,40.0,1.0,95,5,0,0,0,1,-3,-2,-1,-3
11,29,62,30,2,44.0,1.0,105,6,-2,-1,10,7,0,0,-1,-4
12,32,67,33,7,48.0,1.0,95,6,3,2,3,3,0,0,1,-3
13,35,67,33,7,52.0,1.0,105,7,3,2,3,3,-2,-1,0,-3
14,38,76,38,4,56.0,0.5,95,7,12,7,0,1,5,3,1,-2
15,42,67,33,7,60.0,1.0,105,8,3,2,3,3,-4,-2,-1,-3
16,45,62,30,2,64.0,1.0,95,8,-2,-1,10,7,-9,-5,-1,-4
17,47,74,37,2,68.0,1.5,105,9,10,6,10,7,12,7,1,-3
18,52,74,37,2,74.0,1.5,105,10,10,6,10,7,0,0,0,-3
19,56,67,33,7,80.0,1.0,105,11,3,2,3,3,-7,-4,-1,-4
20,61,67,33,7,88.0,1.0,105,12,3,2,3,3,-4,-2,0,-4
21,64,71,35,11,92.0,1.0,95,12,7,4,7,5,0,0,1,-3
22,66,71,35,11,96.0,1.0,105,13,7,4,7,5,2,1,0,-3
23,68,67,33,7,98.0,4.0,105,14,3,2,3,3,-2,-1,-1,-4
24,69,64,31,4,102.0,1.0,95,14,0,0,0,1,-3,-2,-1,-5
25,72,62,30,2,106.0,1.0,105,15,-2,-1,10,7,0,0,-1,-6
26,75,67,33,7,110.0,1.0,95,15,3,2,3,3,0,0,1,-5
27,78,67,33,7,114.0,1.0,105,16,3,2,3,3,-2,-1,0,-5
28,81,76,38,4,118.0,0.5,95,16,12,7,0,1,5,3,1,-4
29,85,67,33,7,122.0,1.0,105,17,3,2,3,3,-4,-2,-1,-5
30,88,62,30,2,126.0,1.0,95,17,-2,-1,10,7,-9,-5,-1,-6
