,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,64,31,4,0.0,1.0,105,0,2,1,2,2,0,0,0,0
1,4,71,35,11,4.0,1.0,95,0,9,5,9,6,2,1,1,1
2,10,71,35,11,8.0,0.5,105,1,9,5,9,6,2,1,0,1
3,15,66,32,6,12.0,1.0,95,1,4,2,4,3,0,0,-1,0
4,19,64,31,4,16.0,1.0,105,2,2,1,2,2,-2,-1,-1,-1
5,23,71,35,11,20.0,1.0,95,2,9,5,9,6,2,1,1,0
6,27,78,39,6,24.0,1.0,105,3,16,9,4,3,2,1,1,1
7,32,76,38,4,28.0,1.0,95,3,14,8,2,2,2,1,-1,0
8,36,64,31,4,32.0,1.0,105,4,2,1,2,2,-5,-3,-1,-1
9,40,71,35,11,36.0,1.0,95,4,9,5,9,6,2,1,1,0
10,46,71,35,11,40.0,0.5,105,5,9,5,9,6,-2,-1,0,0
11,51,66,32,6,44.0,1.0,95,5,4,2,4,3,0,0,-1,-1
12,55,74,37,2,48.0,0.5,105,6,12,7,0,1,5,3,1,0
13,60,74,37,2,52.0,1.0,95,6,12,7,0,1,1,1,0,0
14,64,67,33,7,56.0,0.5,105,7,5,3,5,4,-2,-1,-1,-1
15,69,67,33,7,60.0,1.0,95,7,5,3,5,4,1,1,0,-1
16,73,64,31,4,64.0,1.0,105,8,2,1,2,2,2,1,-1,-2
17,77,71,35,11,68.0,1.0,95,8,9,5,9,6,2,1,1,-1
18,83,71,35,11,72.0,0.5,105,9,9,5,9,6,2,1,0,-1
19,88,66,32,6,76.0,1.0,95,9,4,2,4,3,0,0,-1,-2
20,92,64,31,4,80.0,1.0,105,10,2,1,2,2,-2,-1,-1,-3
21,96,71,35,11,84.0,1.0,95,10,9,5,9,6,2,1,1,-2
22,100,78,39,6,88.0,1.0,105,11,16,9,4,3,2,1,1,-1
23,105,76,38,4,92.0,1.0,95,11,14,8,2,2,2,1,-1,-2
24,109,64,31,4,96.0,1.0,105,12,2,1,2,2,-5,-3,-1,-3
25,113,71,35,11,100.0,1.0,95,12,9,5,9,6,2,1,1,-2
26,119,71,35,11,104.0,0.5,105,13,9,5,9,6,-2,-1,0,-2
27,124,66,32,6,108.0,1.0,95,13,4,2,4,3,0,0,-1,-3
28,128,74,37,2,112.0,0.5,105,14,12,7,0,1,5,3,1,-2
29,133,74,37,2,116.0,1.0,95,14,12,7,0,1,1,1,0,-2
30,137,67,33,7,120.0,0.5,105,15,5,3,5,4,-2,-1,-1,-3
31,142,67,33,7,124.0,1.0,95,15,5,3,5,4,1,1,0,-3
32,146,67,33,7,128.0,1.0,105,16,5,3,5,4,5,3,0,-3
33,152,74,37,2,132.0,1.0,95,16,12,7,0,1,3,2,1,-2
34,156,69,34,9,136.0,1.0,105,17,7,4,7,5,-2,-1,-1,-3
35,160,69,34,9,140.0,1.0,95,17,7,4,7,5,2,1,0,-3
36,164,76,38,4,144.0,1.0,105,18,14,8,2,2,2,1,1,-2
37,168,76,38,4,148.0,1.0,95,18,14,8,2,2,5,3,0,-2
38,173,69,34,9,152.0,1.0,105,19,7,4,7,5,-2,-1,-1,-3
39,177,74,37,2,156.0,0.5,95,19,12,7,0,1,1,1,1,-2
40,182,76,38,4,160.0,0.5,105,20,14,8,2,2,7,4,1,-1
41,187,74,37,2,164.0,1.0,95,20,12,7,0,1,-2,-1,-1,-2
42,191,69,34,9,168.0,1.0,105,21,7,4,7,5,-2,-1,-1,-3
43,195,66,32,6,172.0,1.0,95,21,4,2,4,3,-1,-1,-1,-4
44,199,67,33,7,176.0,1.0,105,22,5,3,5,4,5,3,1,-3
45,203,74,37,2,180.0,1.0,95,22,12,7,0,1,3,2,1,-2
46,208,69,34,9,184.0,1.0,105,23,7,4,7,5,-2,-1,-1,-3
47,212,64,31,4,188.0,1.0,95,23,2,1,2,2,-2,-1,-1,-4
48,218,67,33,7,192.0,1.0,105,24,5,3,5,4,1,1,1,-3
49,224,74,37,2,196.0,1.0,95,24,12,7,0,1,3,2,1,-2
50,228,69,34,9,200.0,1.0,105,25,7,4,7,5,-2,-1,-1,-3
51,232,69,34,9,204.0,1.0,95,25,7,4,7,5,2,1,0,-3
52,236,76,38,4,208.0,1.0,105,26,14,8,2,2,2,1,1,-2
53,240,76,38,4,212.0,1.0,95,26,14,8,2,2,5,3,0,-2
54,245,69,34,9,216.0,1.0,105,27,7,4,7,5,-2,-1,-1,-3
55,249,74,37,2,220.0,0.5,95,27,12,7,0,1,1,1,1,-2
56,254,76,38,4,224.0,0.5,105,28,14,8,2,2,7,4,1,-1
57,259,74,37,2,228.0,1.0,95,28,12,7,0,1,-2,-1,-1,-2
58,263,69,34,9,232.0,1.0,105,29,7,4,7,5,-2,-1,-1,-3
59,267,66,32,6,236.0,1.0,95,29,4,2,4,3,-1,-1,-1,-4
60,271,67,33,7,240.0,1.0,105,30,5,3,5,4,5,3,1,-3
61,275,74,37,2,244.0,1.0,95,30,12,7,0,1,3,2,1,-2
62,280,69,34,9,248.0,1.0,105,31,7,4,7,5,-2,-1,-1,-3
63,284,64,31,4,252.0,1.0,95,31,2,1,2,2,-2,-1,-1,-4
