,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,72,36,0,1.0,2.0,105,0,3,2,3,3,0,0,0,0
1,4,71,35,11,4.0,1.0,95,0,2,1,2,2,2,1,-1,-1
2,7,69,34,9,7.0,2.0,105,1,0,0,0,1,2,1,-1,-2
3,9,72,36,0,10.0,2.0,95,1,3,2,3,3,1,1,1,-1
4,11,76,38,4,13.0,1.0,105,2,7,4,7,5,2,1,1,0
5,14,74,37,2,16.0,2.0,95,2,5,3,5,4,-2,-1,-1,-1
6,16,71,35,11,19.0,2.0,105,3,2,1,2,2,-1,-1,-1,-2
7,18,67,33,7,22.0,1.0,95,3,-2,-1,10,7,0,0,-1,-3
8,21,72,36,0,25.0,2.0,105,4,3,2,3,3,1,1,1,-2
9,23,71,35,11,28.0,1.0,95,4,2,1,2,2,2,1,-1,-3
10,26,69,34,9,31.0,2.0,105,5,0,0,0,1,2,1,-1,-4
11,28,72,36,0,34.0,2.0,95,5,3,2,3,3,1,1,1,-3
12,30,76,38,4,37.0,1.0,105,6,7,4,7,5,2,1,1,-2
13,33,77,39,5,40.0,1.0,95,6,8,5,8,6,-2,-1,1,-1
14,36,76,38,4,43.0,2.0,105,7,7,4,7,5,2,1,-1,-2
15,38,69,34,9,46.0,2.0,95,7,0,0,0,1,0,0,-1,-3
16,40,79,40,7,49.0,2.0,105,8,10,6,10,7,1,1,1,-2
17,42,74,37,2,52.0,1.0,95,8,5,3,5,4,-2,-1,-1,-3
18,45,76,38,4,55.0,1.0,105,9,7,4,7,5,2,1,1,-2
19,48,81,41,9,58.0,2.0,95,9,12,7,0,1,1,1,1,-1
20,50,81,41,9,61.0,1.0,105,10,12,7,0,1,-2,-1,0,-1
21,53,74,37,2,64.0,2.0,95,10,5,3,5,4,-2,-1,-1,-2
22,55,71,35,11,67.0,2.0,105,11,2,1,2,2,-8,-5,-1,-3
23,57,67,33,7,70.0,1.0,95,11,-2,-1,10,7,0,0,-1,-4
24,60,72,36,0,73.0,2.0,105,12,3,2,3,3,1,1,1,-3
25,62,71,35,11,76.0,1.0,95,12,2,1,2,2,2,1,-1,-4
26,65,69,34,9,79.0,2.0,105,13,0,0,0,1,2,1,-1,-5
27,67,72,36,0,82.0,2.0,95,13,3,2,3,3,1,1,1,-4
28,69,76,38,4,85.0,1.0,105,14,7,4,7,5,2,1,1,-3
29,72,77,39,5,88.0,1.0,95,14,8,5,8,6,-2,-1,1,-2
30,75,76,38,4,91.0,2.0,105,15,7,4,7,5,2,1,-1,-3
31,77,69,34,9,94.0,2.0,95,15,0,0,0,1,0,0,-1,-4
